incident_number,alarm_type,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
602690-17062012,1120,industry_facility,Week_ends,0,3,0,100
602829-17062012,6200,office,Week_ends,0,71,0,100
602900-17062012,6200,industry_facility,Week_ends,0,31,0,100
603219-18062012,6110,rest_home,Work_days,0,80,0,100
603405-18062012,1100,hospital,Work_days,0,79,0,100
603753-19062012,6200,industry_facility,Work_days,0,67,0,100
603860-19062012,6100,house,Work_days,0,226,0,100
605258-22062012,1370,others,Work_days,0,2,0,100
605600-22062012,0,rest_home,Work_days,0,15,0,100
605723-23062012,6200,school,Week_ends,0,80,0,100
606087-23062012,0,others,Week_ends,0,20,0,100
606580-24062012,1100,restaurant,Week_ends,0,14,0,100
606929-25062012,7100,others,Work_days,0,1,0,100
607674-26062012,0,tansport,Work_days,0,2,0,100
607692-26062012,0,hotel,Work_days,0,13,0,100
607746-26062012,0,school,Work_days,0,11,0,100
607806-26062012,0,public_facility,Work_days,0,13,0,100
607820-26062012,0,house,Work_days,0,11,0,100
607849-26062012,0,shopping_mall,Work_days,0,5,0,100
607903-26062012,0,industry_facility,Work_days,0,2,0,100
609368-29062012,7110,others,Work_days,0,19,0,100
609712-30062012,1900,apartment,Week_ends,0,17,0,100
609945-30062012,6200,tansport,Week_ends,0,21,0,100
610283-30062012,6110,hotel,Week_ends,0,60,0,100
610836-01072012,0,industry_facility,Week_ends,0,1,0,100
611320-02072012,6120,industry_facility,Work_days,0,20,0,100
611321-02072012,1170,industry_facility,Work_days,0,6,0,100
613591-07072012,6110,shopping_mall,Week_ends,0,20,0,100
613761-07072012,7110,others,Week_ends,0,9,0,100
614644-08072012,1900,shopping_mall,Week_ends,0,4,0,100
615681-10072012,6120,office,Work_days,0,3,0,100
616653-12072012,6110,shopping_mall,Work_days,0,64,0,100
616870-13072012,1900,public_facility,Work_days,0,14,0,100
617509-14072012,6100,house,Week_ends,0,64,0,100
620889-20072012,1100,restaurant,Work_days,0,18,0,100
621628-22072012,1200,apartment,Week_ends,0,3,0,100
626267-31072012,1120,hotel,Work_days,0,15,0,100
627055-01082012,1200,office,Work_days,0,9,0,100
627308-02082012,1200,others,Work_days,0,22,0,100
637517-16082012,1190,office,Work_days,0,1,0,100
639900-19082012,6200,house,Week_ends,0,15,0,100
641482-21082012,1200,apartment,Work_days,0,2,0,100
644239-25082012,1120,apartment,Week_ends,0,3,0,100
649184-01092012,1900,others,Week_ends,0,27,0,100
649287-01092012,1900,industry_facility,Week_ends,0,1,0,100
649288-01092012,1120,others,Week_ends,0,41,0,100
650652-02092012,1100,tansport,Week_ends,0,29,0,100
650814-02092012,1120,hotel,Week_ends,0,4,0,100
657941-09092012,0,hospital,Week_ends,0,6,0,100
662272-15092012,0,house,Week_ends,0,2,0,100
662782-16092012,0,public_facility,Week_ends,0,5,0,100
673549-30092012,0,school,Week_ends,0,6,0,100
683838-14102012,6110,house,Week_ends,0,8,0,100
685522-16102012,1170,others,Work_days,0,7,0,100
685785-17102012,1120,hospital,Work_days,0,15,0,100
689078-21102012,6120,others,Week_ends,0,11,0,100
690003-22102012,1900,shopping_mall,Work_days,0,4,0,100
697576-01112012,1200,public_facility,Work_days,0,6,0,100
704462-10112012,1100,hospital,Week_ends,0,18,0,100
704497-10112012,1160,office,Week_ends,0,2,0,100
707465-14112012,6110,restaurant,Work_days,0,3,0,100
708026-15112012,6600,apartment,Work_days,0,2,0,100
709634-18112012,1100,rest_home,Week_ends,0,32,0,100
710009-19112012,1120,industry_facility,Work_days,0,22,0,100
714238-25112012,1170,industry_facility,Week_ends,0,4,0,100
714349-25112012,1200,others,Week_ends,0,5,0,100
719876-03122012,1120,office,Work_days,0,36,0,100
719887-03122012,1160,office,Work_days,0,1,0,100
724698-08122012,6110,restaurant,Week_ends,0,1,0,100
735528-23122012,0,apartment,Week_ends,0,8,0,100
012854-13012013,1900,public_facility,Week_ends,0,3,0,100
020161-20012013,1200,public_facility,Week_ends,0,1,0,100
063896-30032013,6210,office,Week_ends,0,8,0,100
069245-09042013,6210,office,Work_days,0,16,0,100
076580-21042013,1120,office,Week_ends,0,4,0,100
120009-07072013,1120,hospital,Week_ends,0,3,0,100
121869-10072013,8990,others,Work_days,0,1,0,100
174879-27092013,1200,shopping_mall,Work_days,0,1,0,100
182228-05102013,6200,restaurant,Week_ends,0,1,0,100
220396-12112013,1120,public_facility,Work_days,0,1,0,100
234686-06122013,1200,hotel,Work_days,0,14,0,100
235343-07122013,1200,hotel,Week_ends,0,3,0,100
011746-18012014,0,office,Week_ends,0,2,0,100
031535-15022014,0,shopping_mall,Week_ends,0,1,0,100
037114-25022014,2270,others,Work_days,0,3,0,100
062375-12042014,1110,others,Week_ends,0,1,0,100
115841-18072014,1130,shopping_mall,Work_days,0,1,0,100
161935-04102014,0,hotel,Week_ends,0,1,0,100
170676-15102014,1110,others,Work_days,0,2,0,100
176281-25102014,2350,others,Week_ends,0,2,0,100
181530-01112014,1200,shopping_mall,Week_ends,0,1,0,100
182319-01112014,0,rest_home,Week_ends,0,1,0,100
205828-03122014,1900,school,Work_days,0,1,0,100
213596-14122014,4310,others,Week_ends,0,1,0,100
223401-30122014,2270,office,Work_days,0,5,0,100
009606-17012015,0,tansport,Week_ends,0,1,0,100
058408-15042015,1140,apartment,Work_days,0,2,0,100
068161-22042015,4110,others,Work_days,0,1,0,100
070286-25042015,2270,office,Week_ends,0,1,0,100
