incident_number,alarm_type,repeat_count,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
602192-16062012,6200,1,others,Week_ends,0,39,0,100
602380-16062012,1100,1,school,Week_ends,0,25,0,100
602461-16062012,6110,1,others,Week_ends,0,34,0,100
602686-17062012,6990,1,school,Week_ends,0,65,0,100
602690-17062012,1120,0,industry_facility,Week_ends,0,3,0,100
602707-17062012,6990,2,school,Week_ends,0,8,0,100
602804-17062012,6990,1,hotel,Week_ends,0,120,0,100
602829-17062012,6200,0,office,Week_ends,0,60,0,100
602844-17062012,6900,1,shopping_mall,Week_ends,0,70,0,100
602900-17062012,6200,0,industry_facility,Week_ends,0,27,0,100
602944-17062012,6990,1,hospital,Week_ends,0,98,0,100
602989-17062012,6900,2,apartment,Week_ends,0,19,0,100
603033-17062012,6900,3,apartment,Week_ends,0,7,0,100
603190-18062012,6100,2,hospital,Work_days,0,99,0,100
603219-18062012,6110,0,rest_home,Work_days,0,63,0,100
603309-18062012,6900,1,office,Work_days,0,127,0,100
603405-18062012,1100,0,hospital,Work_days,0,66,0,100
603461-18062012,1120,1,others,Work_days,0,14,0,100
603477-18062012,1100,1,industry_facility,Work_days,0,4,0,100
603510-18062012,1100,1,hospital,Work_days,0,10,0,100
603753-19062012,6200,0,industry_facility,Work_days,0,57,0,100
603860-19062012,6100,0,house,Work_days,0,200,0,100
604813-21062012,6990,1,rest_home,Work_days,0,172,0,100
605258-22062012,1370,0,others,Work_days,0,2,0,100
605302-22062012,6990,2,apartment,Work_days,0,81,0,100
605600-22062012,0,0,rest_home,Work_days,0,15,0,100
605723-23062012,6200,0,school,Week_ends,0,60,0,100
606039-23062012,6990,1,house,Week_ends,0,15,0,100
606087-23062012,0,0,others,Week_ends,0,19,0,100
606446-24062012,6990,0,industry_facility,Week_ends,0,181,0,100
606512-24062012,6100,1,school,Week_ends,0,72,0,100
606521-24062012,6100,1,industry_facility,Week_ends,0,15,0,100
606580-24062012,1100,0,restaurant,Week_ends,0,12,0,100
606611-24062012,6200,1,industry_facility,Week_ends,0,4,0,100
606885-25062012,6990,2,industry_facility,Work_days,0,10,0,100
606917-25062012,6100,2,school,Work_days,0,45,0,100
606929-25062012,7100,0,others,Work_days,0,1,0,100
607026-25062012,6110,1,apartment,Work_days,0,36,0,100
607032-25062012,6900,2,shopping_mall,Work_days,0,21,0,100
607674-26062012,0,0,tansport,Work_days,0,2,0,100
607692-26062012,0,0,hotel,Work_days,0,13,0,100
607746-26062012,0,0,school,Work_days,0,11,0,100
607806-26062012,0,0,public_facility,Work_days,0,12,0,100
607820-26062012,0,0,house,Work_days,0,11,0,100
607849-26062012,0,0,shopping_mall,Work_days,0,5,0,100
607903-26062012,0,0,industry_facility,Work_days,0,2,0,100
608469-27062012,6900,1,rest_home,Work_days,0,221,0,100
609167-29062012,6100,1,public_facility,Work_days,0,165,0,100
609368-29062012,7110,0,others,Work_days,0,18,0,100
609536-29062012,6110,2,others,Work_days,0,17,0,100
609610-29062012,1100,1,apartment,Work_days,0,46,0,100
609712-30062012,1900,0,apartment,Week_ends,0,11,0,100
609733-30062012,1100,1,others,Week_ends,0,67,0,100
609746-30062012,1900,1,apartment,Week_ends,0,2,0,100
609765-30062012,1900,2,apartment,Week_ends,0,2,0,100
609922-30062012,6100,2,others,Week_ends,0,59,0,100
609945-30062012,6200,0,tansport,Week_ends,0,19,0,100
609974-30062012,1100,2,apartment,Week_ends,0,3,0,100
610283-30062012,6110,0,hotel,Week_ends,0,55,0,100
610292-30062012,1900,3,apartment,Week_ends,0,1,0,100
610434-01072012,1900,4,apartment,Week_ends,0,1,0,100
610471-01072012,1100,2,school,Week_ends,0,9,0,100
610836-01072012,0,1,industry_facility,Week_ends,0,1,0,100
611237-02072012,6200,1,apartment,Work_days,0,92,0,100
611309-02072012,6900,2,office,Work_days,0,18,0,100
611320-02072012,6120,0,industry_facility,Work_days,0,19,0,100
611321-02072012,1170,0,industry_facility,Work_days,0,5,0,100
611403-03072012,6900,3,apartment,Work_days,0,14,0,100
611408-03072012,6120,1,industry_facility,Work_days,0,1,0,100
611409-03072012,1170,1,industry_facility,Work_days,0,1,0,100
611562-03072012,6900,3,office,Work_days,0,6,0,100
611691-03072012,6200,2,shopping_mall,Work_days,0,21,0,100
611808-03072012,6200,3,shopping_mall,Work_days,0,7,0,100
611828-03072012,6200,4,shopping_mall,Work_days,0,4,0,100
611912-03072012,6900,4,apartment,Work_days,0,10,0,100
611946-04072012,6100,3,others,Work_days,0,39,0,100
612022-04072012,6900,5,apartment,Work_days,0,6,0,100
612533-05072012,6100,4,others,Work_days,0,12,0,100
612694-05072012,6110,3,school,Work_days,0,18,0,100
613265-06072012,6100,3,hospital,Work_days,0,22,0,100
613591-07072012,6110,0,shopping_mall,Week_ends,0,18,0,100
613761-07072012,7110,0,others,Week_ends,0,8,0,100
613957-07072012,6990,2,shopping_mall,Week_ends,0,30,0,100
614068-07072012,6110,1,apartment,Week_ends,0,12,0,100
614644-08072012,1900,0,shopping_mall,Week_ends,0,4,0,100
615681-10072012,6120,0,office,Work_days,0,3,0,100
616364-12072012,6990,1,house,Work_days,0,22,0,100
616597-12072012,1100,1,office,Work_days,0,33,0,100
616653-12072012,6110,0,shopping_mall,Work_days,0,57,0,100
616677-12072012,1100,2,office,Work_days,0,12,0,100
616729-13072012,1100,3,office,Work_days,0,6,0,100
616747-13072012,6200,1,industry_facility,Work_days,0,6,0,100
616750-13072012,6110,1,hotel,Work_days,0,8,0,100
616766-13072012,1100,1,shopping_mall,Work_days,0,54,0,100
616870-13072012,1900,0,public_facility,Work_days,0,9,0,100
616949-13072012,6200,1,school,Work_days,0,39,0,100
617019-13072012,1100,4,office,Work_days,0,3,0,100
617374-14072012,6900,2,hospital,Week_ends,0,29,0,100
617472-14072012,6110,3,school,Week_ends,0,5,0,100
617509-14072012,6100,0,house,Week_ends,0,58,0,100
617530-14072012,6200,1,school,Week_ends,0,16,0,100
617531-14072012,6990,3,others,Week_ends,0,16,0,100
617688-14072012,1100,1,public_facility,Week_ends,0,12,0,100
617744-14072012,1100,2,public_facility,Week_ends,0,3,0,100
617797-14072012,6100,1,rest_home,Week_ends,0,58,0,100
618247-15072012,6100,1,hotel,Week_ends,0,47,0,100
618960-17072012,6200,2,industry_facility,Work_days,0,3,0,100
618980-17072012,6110,1,public_facility,Work_days,0,38,0,100
619240-17072012,6100,2,rest_home,Work_days,0,27,0,100
619332-17072012,6990,4,apartment,Work_days,0,7,0,100
619334-17072012,6990,5,apartment,Work_days,0,2,0,100
619336-17072012,6990,6,apartment,Work_days,0,2,0,100
619344-17072012,6990,7,apartment,Work_days,0,2,0,100
619610-18072012,6990,8,apartment,Work_days,0,2,0,100
620336-19072012,6990,2,school,Work_days,0,16,0,100
620418-19072012,6990,3,school,Work_days,0,3,0,100
620889-20072012,1100,0,restaurant,Work_days,0,17,0,100
621079-21072012,6200,1,office,Week_ends,0,11,0,100
621298-21072012,6100,1,office,Week_ends,0,25,0,100
621302-21072012,6110,2,school,Week_ends,0,12,0,100
621628-22072012,1200,0,apartment,Week_ends,0,2,0,100
621641-22072012,1100,1,apartment,Week_ends,0,11,0,100
621642-22072012,1200,1,apartment,Week_ends,0,1,0,100
622656-24072012,6100,3,rest_home,Work_days,0,11,0,100
622802-24072012,6990,2,office,Work_days,0,41,0,100
623059-25072012,6900,2,rest_home,Work_days,0,36,0,100
624151-27072012,1120,2,others,Work_days,0,3,0,100
624537-28072012,6990,2,office,Week_ends,0,14,0,100
624582-28072012,6990,3,office,Week_ends,0,4,0,100
624621-28072012,6990,4,office,Week_ends,0,4,0,100
624717-28072012,6990,2,hotel,Week_ends,0,22,0,100
624901-28072012,6200,1,shopping_mall,Week_ends,0,42,0,100
625028-28072012,1100,2,others,Week_ends,0,21,0,100
625161-29072012,6900,2,office,Week_ends,0,5,0,100
625663-30072012,6200,1,hotel,Work_days,0,38,0,100
625734-30072012,6990,2,public_facility,Work_days,0,28,0,100
626267-31072012,1120,0,hotel,Work_days,0,13,0,100
626340-31072012,6100,1,shopping_mall,Work_days,0,133,0,100
626426-31072012,6990,3,hospital,Work_days,0,25,0,100
626786-01082012,6100,5,others,Work_days,0,4,0,100
627055-01082012,1200,0,office,Work_days,0,6,0,100
627197-01082012,1200,1,office,Work_days,0,1,0,100
627205-01082012,6110,1,industry_facility,Work_days,0,18,0,100
627266-01082012,1200,2,office,Work_days,0,1,0,100
627308-02082012,1200,3,others,Work_days,0,1,0,100
627325-02082012,6100,6,others,Work_days,0,2,0,100
627652-02082012,6100,7,others,Work_days,0,1,0,100
627694-02082012,6990,3,shopping_mall,Work_days,0,24,0,100
627812-02082012,1200,4,office,Work_days,0,1,0,100
627895-03082012,6100,8,others,Work_days,0,1,0,100
627919-03082012,6990,3,public_facility,Work_days,0,9,0,100
628745-04082012,6200,1,hospital,Week_ends,0,7,0,100
629238-04082012,6990,3,shopping_mall,Week_ends,0,10,0,100
629438-05082012,6990,4,shopping_mall,Week_ends,0,3,0,100
629467-05082012,6990,5,shopping_mall,Week_ends,0,2,0,100
631001-07082012,6100,1,industry_facility,Work_days,0,21,0,100
632812-10082012,6200,1,rest_home,Work_days,0,34,0,100
632818-10082012,6990,4,shopping_mall,Work_days,0,7,0,100
632839-10082012,6990,5,shopping_mall,Work_days,0,2,0,100
634101-11082012,6900,1,rest_home,Week_ends,0,84,0,100
634103-11082012,6900,2,rest_home,Week_ends,0,13,0,100
634199-11082012,6100,2,apartment,Week_ends,0,13,0,100
634291-11082012,6110,0,office,Week_ends,0,60,0,100
634600-11082012,6100,1,shopping_mall,Week_ends,0,49,0,100
634684-11082012,6900,1,restaurant,Week_ends,0,5,0,100
634758-11082012,6200,1,apartment,Week_ends,0,36,0,100
634857-12082012,6200,1,rest_home,Week_ends,0,9,0,100
634868-12082012,1100,3,others,Week_ends,0,7,0,100
634883-12082012,6900,2,shopping_mall,Week_ends,0,15,0,100
635379-12082012,1100,4,others,Week_ends,0,2,0,100
636072-14082012,1100,3,others,Work_days,0,15,0,100
636182-14082012,6100,1,house,Work_days,0,24,0,100
