incident_number,alarm_type,repeat_count,time_of_day2,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
602192-16062012,6200,1,Night-time,others,Week_ends,0,18,0,100
602299-16062012,6110,0,Office Hours,school,Week_ends,0,62,0,100
602311-16062012,6990,1,Office Hours,apartment,Week_ends,0,41,0,100
602324-16062012,6900,1,Office Hours,school,Week_ends,0,31,0,100
602335-16062012,6100,0,Office Hours,school,Week_ends,0,117,0,100
602380-16062012,1100,1,Cooking-time,school,Week_ends,0,14,0,100
602461-16062012,6110,1,Office Hours,others,Week_ends,0,7,0,100
602600-16062012,6900,0,Cooking-time,restaurant,Week_ends,0,19,0,100
602622-16062012,6200,0,Night-time,rest_home,Week_ends,0,23,0,100
602647-16062012,6990,1,Night-time,others,Week_ends,0,165,0,100
602686-17062012,6990,1,Night-time,school,Week_ends,0,22,0,100
602690-17062012,1120,0,Night-time,industry_facility,Week_ends,0,2,0,100
602707-17062012,6990,2,Night-time,school,Week_ends,0,3,0,100
602804-17062012,6990,1,Office Hours,hotel,Week_ends,0,23,0,100
602829-17062012,6200,0,Cooking-time,office,Week_ends,0,35,0,100
602844-17062012,6900,1,Cooking-time,shopping_mall,Week_ends,0,30,0,100
602900-17062012,6200,0,Office Hours,industry_facility,Week_ends,0,6,0,100
602906-17062012,6990,1,Office Hours,shopping_mall,Week_ends,0,41,0,100
602944-17062012,6990,1,Office Hours,hospital,Week_ends,0,25,0,100
602989-17062012,6900,2,Cooking-time,apartment,Week_ends,0,13,0,100
603022-17062012,1100,0,Cooking-time,office,Week_ends,0,24,0,100
603033-17062012,6900,3,Cooking-time,apartment,Week_ends,0,5,0,100
603190-18062012,6100,2,Cooking-time,hospital,Work_days,0,48,0,100
603219-18062012,6110,0,Cooking-time,rest_home,Work_days,0,21,0,100
603309-18062012,6900,1,Office Hours,office,Work_days,0,33,0,100
603405-18062012,1100,0,Office Hours,hospital,Work_days,0,13,0,100
603444-18062012,1100,0,Office Hours,industry_facility,Work_days,0,18,0,100
603461-18062012,1120,1,Office Hours,others,Work_days,0,2,0,100
