incident_number,alarm_type,repeat_count,time_of_day2,build_type,true_alarm,false_alarm,true_percentage,false_percentage
602192-16062012,6200,1,Night-time,others,0,39,0,100
602380-16062012,1100,1,Cooking-time,school,0,49,0,100
602461-16062012,6110,1,Office Hours,others,0,31,0,100
602600-16062012,6900,0,Cooking-time,restaurant,0,71,0,100
602690-17062012,1120,0,Night-time,industry_facility,0,5,0,100
602707-17062012,6990,2,Night-time,school,0,12,0,100
602804-17062012,6990,1,Office Hours,hotel,0,99,0,100
602844-17062012,6900,1,Cooking-time,shopping_mall,0,109,0,100
602900-17062012,6200,0,Office Hours,industry_facility,0,23,0,100
602944-17062012,6990,1,Office Hours,hospital,0,96,0,100
603033-17062012,6900,3,Cooking-time,apartment,0,11,0,100
603190-18062012,6100,2,Cooking-time,hospital,0,59,0,100
603309-18062012,6900,1,Office Hours,office,0,42,0,100
603405-18062012,1100,0,Office Hours,hospital,0,17,0,100
603444-18062012,1100,0,Office Hours,industry_facility,0,22,0,100
603461-18062012,1120,1,Office Hours,others,0,3,0,100
603477-18062012,1100,1,Office Hours,industry_facility,0,1,0,100
603510-18062012,1100,1,Cooking-time,hospital,0,10,0,100
603595-19062012,6200,0,Night-time,school,0,77,0,100
603662-19062012,6200,1,Night-time,shopping_mall,0,34,0,100
603754-19062012,6900,1,Office Hours,shopping_mall,0,50,0,100
603785-19062012,6990,1,Office Hours,public_facility,0,76,0,100
603823-19062012,1100,0,Cooking-time,hospital,0,41,0,100
603860-19062012,6100,0,Cooking-time,house,0,137,0,100
604097-20062012,6100,2,Night-time,hospital,0,41,0,100
604132-20062012,6900,1,Cooking-time,industry_facility,0,36,0,100
604232-20062012,6990,1,Office Hours,industry_facility,0,28,0,100
604354-20062012,6110,0,Office Hours,hospital,0,42,0,100
604423-20062012,6100,0,Office Hours,house,0,65,0,100
604681-21062012,1100,0,Night-time,industry_facility,0,37,0,100
604692-21062012,1100,0,Night-time,hospital,0,21,0,100
604813-21062012,6990,1,Office Hours,rest_home,0,49,0,100
604993-21062012,6990,2,Cooking-time,shopping_mall,0,46,0,100
605105-22062012,6110,0,Night-time,rest_home,0,23,0,100
605258-22062012,1370,0,Office Hours,others,0,1,0,100
605600-22062012,0,0,Cooking-time,rest_home,0,8,0,100
605832-23062012,6100,1,Cooking-time,tansport,0,28,0,100
606039-23062012,6990,1,Office Hours,house,0,11,0,100
606399-24062012,6900,1,Night-time,hotel,0,68,0,100
606465-24062012,6200,0,Night-time,industry_facility,0,26,0,100
606521-24062012,6100,1,Cooking-time,industry_facility,0,13,0,100
606580-24062012,1100,0,Office Hours,restaurant,0,5,0,100
606611-24062012,6200,1,Cooking-time,industry_facility,0,4,0,100
606719-24062012,6900,1,Office Hours,public_facility,0,51,0,100
606885-25062012,6990,2,Night-time,industry_facility,0,2,0,100
606895-25062012,6990,2,Night-time,others,0,125,0,100
606917-25062012,6100,2,Night-time,school,0,18,0,100
606929-25062012,7100,0,Cooking-time,others,0,1,0,100
607026-25062012,6110,1,Office Hours,apartment,0,14,0,100
607032-25062012,6900,2,Office Hours,shopping_mall,0,8,0,100
607197-25062012,6110,2,Office Hours,apartment,0,2,0,100
607460-26062012,6200,0,Cooking-time,tansport,0,28,0,100
607669-26062012,0,0,Office Hours,office,0,3,0,100
607671-26062012,0,0,Office Hours,rest_home,0,6,0,100
607674-26062012,0,0,Cooking-time,tansport,0,2,0,100
607692-26062012,0,0,Cooking-time,hotel,0,6,0,100
607746-26062012,0,0,Cooking-time,school,0,12,0,100
607806-26062012,0,0,Office Hours,public_facility,0,3,0,100
607820-26062012,0,0,Office Hours,house,0,2,0,100
607849-26062012,0,0,Office Hours,shopping_mall,0,2,0,100
607867-26062012,0,0,Cooking-time,house,0,8,0,100
607903-26062012,0,0,Cooking-time,industry_facility,0,2,0,100
607922-26062012,0,0,Cooking-time,public_facility,0,6,0,100
608004-26062012,0,0,Night-time,others,0,24,0,100
608021-27062012,0,0,Night-time,public_facility,0,7,0,100
608055-27062012,0,0,Night-time,apartment,0,10,0,100
608065-27062012,0,0,Night-time,shopping_mall,0,1,0,100
608068-27062012,0,0,Night-time,house,0,3,0,100
