incident_number,alarm_type,repeat_count,work_end,true_alarm,false_alarm,true_percentage,false_percentage
603461-18062012,1120,1,Work_days,0,21,0,100
605258-22062012,1370,0,Work_days,0,2,0,100
606087-23062012,0,0,Week_ends,0,51,0,100
606929-25062012,7100,0,Work_days,0,1,0,100
609712-30062012,1900,0,Week_ends,0,42,0,100
609746-30062012,1900,1,Week_ends,0,6,0,100
609765-30062012,1900,2,Week_ends,0,2,0,100
609974-30062012,1100,2,Week_ends,0,48,0,100
610292-30062012,1900,3,Week_ends,0,1,0,100
610434-01072012,1900,4,Week_ends,0,1,0,100
610836-01072012,0,1,Week_ends,0,3,0,100
611321-02072012,1170,0,Work_days,0,12,0,100
611408-03072012,6120,1,Work_days,0,3,0,100
611409-03072012,1170,1,Work_days,0,1,0,100
611808-03072012,6200,3,Work_days,0,20,0,100
611828-03072012,6200,4,Work_days,0,8,0,100
611946-04072012,6100,3,Work_days,0,121,0,100
612022-04072012,6900,5,Work_days,0,28,0,100
612533-05072012,6100,4,Work_days,0,37,0,100
612694-05072012,6110,3,Work_days,0,29,0,100
616729-13072012,1100,3,Work_days,0,38,0,100
617019-13072012,1100,4,Work_days,0,18,0,100
617472-14072012,6110,3,Week_ends,0,11,0,100
617531-14072012,6990,3,Week_ends,0,51,0,100
619332-17072012,6990,4,Work_days,0,61,0,100
619336-17072012,6990,6,Work_days,0,14,0,100
619344-17072012,6990,7,Work_days,0,9,0,100
619610-18072012,6990,8,Work_days,0,7,0,100
621302-21072012,6110,2,Week_ends,0,28,0,100
621628-22072012,1200,0,Week_ends,0,9,0,100
621642-22072012,1200,1,Week_ends,0,1,0,100
624151-27072012,1120,2,Work_days,0,3,0,100
626786-01082012,6100,5,Work_days,0,16,0,100
627055-01082012,1200,0,Work_days,0,41,0,100
627197-01082012,1200,1,Work_days,0,7,0,100
627266-01082012,1200,2,Work_days,0,2,0,100
627308-02082012,1200,3,Work_days,0,1,0,100
627325-02082012,6100,6,Work_days,0,7,0,100
627652-02082012,6100,7,Work_days,0,3,0,100
627812-02082012,1200,4,Work_days,0,1,0,100
627895-03082012,6100,8,Work_days,0,3,0,100
629467-05082012,6990,5,Week_ends,0,7,0,100
634868-12082012,1100,3,Week_ends,0,16,0,100
635379-12082012,1100,4,Week_ends,0,9,0,100
637517-16082012,1190,0,Work_days,0,1,0,100
639005-18082012,6110,4,Week_ends,0,5,0,100
644735-25082012,6100,3,Week_ends,0,46,0,100
644757-25082012,6100,4,Week_ends,0,13,0,100
648630-31082012,1120,3,Work_days,0,1,0,100
653703-05092012,1900,1,Work_days,0,16,0,100
655863-07092012,0,1,Work_days,0,3,0,100
661987-15092012,6900,6,Week_ends,0,5,0,100
662003-15092012,6900,7,Week_ends,0,2,0,100
662162-15092012,6900,8,Week_ends,0,2,0,100
662531-15092012,6900,9,Week_ends,0,1,0,100
671475-28092012,6900,6,Work_days,0,17,0,100
671480-28092012,6900,7,Work_days,0,12,0,100
671483-28092012,6900,8,Work_days,0,7,0,100
671487-28092012,6900,9,Work_days,0,3,0,100
671909-28092012,6900,10,Work_days,0,3,0,100
671932-28092012,6900,11,Work_days,0,1,0,100
672864-29092012,6200,2,Week_ends,0,25,0,100
673560-30092012,6100,5,Week_ends,0,5,0,100
689881-22102012,6110,4,Work_days,0,12,0,100
702563-07112012,6290,1,Work_days,0,1,0,100
703152-08112012,1900,2,Work_days,0,5,0,100
703171-08112012,1900,3,Work_days,0,2,0,100
704497-10112012,1160,0,Week_ends,0,2,0,100
708026-15112012,6600,0,Work_days,0,2,0,100
713294-24112012,7110,1,Week_ends,0,4,0,100
713869-25112012,7110,2,Week_ends,0,1,0,100
714238-25112012,1170,0,Week_ends,0,4,0,100
719887-03122012,1160,0,Work_days,0,1,0,100
732764-20122012,1100,5,Work_days,0,8,0,100
733666-21122012,6110,5,Work_days,0,6,0,100
733749-21122012,6110,6,Work_days,0,6,0,100
734218-21122012,6110,7,Work_days,0,2,0,100
735869-23122012,1120,1,Week_ends,0,6,0,100
740864-30122012,6900,5,Week_ends,0,12,0,100
013764-14012013,1100,6,Work_days,0,5,0,100
013782-14012013,1100,7,Work_days,0,5,0,100
027216-29012013,6990,9,Work_days,0,2,0,100
030360-02022013,6990,6,Week_ends,0,5,0,100
030431-02022013,6990,7,Week_ends,0,4,0,100
030460-03022013,6990,8,Week_ends,0,3,0,100
043898-24022013,6110,5,Week_ends,0,2,0,100
054752-16032013,6990,9,Week_ends,0,1,0,100
054928-16032013,6990,10,Week_ends,0,1,0,100
054988-16032013,6990,11,Week_ends,0,1,0,100
055001-16032013,6990,12,Week_ends,0,1,0,100
055016-16032013,6990,13,Week_ends,0,1,0,100
055058-16032013,6990,14,Week_ends,0,1,0,100
055073-16032013,6990,15,Week_ends,0,1,0,100
059239-23032013,6110,6,Week_ends,0,1,0,100
059360-23032013,6110,7,Week_ends,0,1,0,100
059625-24032013,6110,8,Week_ends,0,1,0,100
063896-30032013,6210,0,Week_ends,0,6,0,100
064267-31032013,6210,1,Week_ends,0,1,0,100
064340-31032013,6210,2,Week_ends,0,1,0,100
067780-06042013,1100,8,Week_ends,0,2,0,100
069245-09042013,6210,0,Work_days,0,13,0,100
069314-09042013,6210,1,Work_days,0,3,0,100
099348-28052013,7110,1,Work_days,0,9,0,100
108877-16062013,6290,1,Week_ends,0,1,0,100
111802-22062013,1100,5,Week_ends,0,4,0,100
121869-10072013,8990,0,Work_days,0,1,0,100
209019-30102013,1100,8,Work_days,0,2,0,100
209020-30102013,1100,9,Work_days,0,2,0,100
209021-30102013,1100,10,Work_days,0,2,0,100
209022-30102013,1100,11,Work_days,0,2,0,100
209023-30102013,1100,12,Work_days,0,1,0,100
209024-30102013,1100,13,Work_days,0,1,0,100
209025-30102013,1100,14,Work_days,0,1,0,100
209026-30102013,1100,15,Work_days,0,1,0,100
209027-30102013,1100,16,Work_days,0,1,0,100
209028-30102013,1100,17,Work_days,0,1,0,100
209029-30102013,1100,18,Work_days,0,1,0,100
209030-30102013,1100,19,Work_days,0,1,0,100
209031-30102013,1100,20,Work_days,0,1,0,100
209032-30102013,1100,21,Work_days,0,1,0,100
209033-30102013,1100,22,Work_days,0,1,0,100
209034-30102013,1100,23,Work_days,0,1,0,100
209035-30102013,1100,24,Work_days,0,1,0,100
209036-30102013,1100,25,Work_days,0,1,0,100
209037-30102013,1100,26,Work_days,0,1,0,100
209038-30102013,1100,27,Work_days,0,1,0,100
209039-30102013,1100,28,Work_days,0,1,0,100
209040-30102013,1100,29,Work_days,0,1,0,100
209041-30102013,1100,30,Work_days,0,1,0,100
209042-30102013,1100,31,Work_days,0,1,0,100
209043-30102013,1100,32,Work_days,0,1,0,100
209044-30102013,1100,33,Work_days,0,1,0,100
209045-30102013,1100,34,Work_days,0,1,0,100
209046-30102013,1100,35,Work_days,0,1,0,100
209047-30102013,1100,36,Work_days,0,1,0,100
209048-30102013,1100,37,Work_days,0,1,0,100
209049-30102013,1100,38,Work_days,0,1,0,100
209050-30102013,1100,39,Work_days,0,1,0,100
209051-30102013,1100,40,Work_days,0,1,0,100
209052-30102013,1100,41,Work_days,0,1,0,100
209053-30102013,1100,42,Work_days,0,1,0,100
209054-30102013,1100,43,Work_days,0,1,0,100
209064-30102013,1100,44,Work_days,0,1,0,100
209067-30102013,1100,45,Work_days,0,1,0,100
209564-31102013,1900,4,Work_days,0,1,0,100
209565-31102013,1900,5,Work_days,0,1,0,100
209566-31102013,1900,6,Work_days,0,1,0,100
209567-31102013,1900,7,Work_days,0,1,0,100
209568-31102013,1900,8,Work_days,0,1,0,100
209569-31102013,1900,9,Work_days,0,1,0,100
209570-31102013,1900,10,Work_days,0,1,0,100
210965-02112013,6120,1,Week_ends,0,1,0,100
235343-07122013,1200,2,Week_ends,0,1,0,100
235854-08122013,1200,3,Week_ends,0,1,0,100
236069-08122013,1200,4,Week_ends,0,1,0,100
236726-09122013,1200,5,Work_days,0,1,0,100
236786-09122013,1200,6,Work_days,0,1,0,100
037114-25022014,2270,0,Work_days,0,8,0,100
062375-12042014,1110,0,Week_ends,0,1,0,100
068080-23042014,6200,5,Work_days,0,3,0,100
