incident_number,alarm_type,time_of_day2,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
602335-16062012,6100,Office Hours,school,Week_ends,0,141,0,100
602600-16062012,6900,Cooking-time,restaurant,Week_ends,0,24,0,100
602622-16062012,6200,Night-time,rest_home,Week_ends,0,26,0,100
602690-17062012,1120,Night-time,industry_facility,Week_ends,0,2,0,100
602829-17062012,6200,Cooking-time,office,Week_ends,0,39,0,100
602900-17062012,6200,Office Hours,industry_facility,Week_ends,0,6,0,100
603022-17062012,1100,Cooking-time,office,Week_ends,0,28,0,100
603219-18062012,6110,Cooking-time,rest_home,Work_days,0,28,0,100
603405-18062012,1100,Office Hours,hospital,Work_days,0,13,0,100
603444-18062012,1100,Office Hours,industry_facility,Work_days,0,19,0,100
603510-18062012,1100,Cooking-time,hospital,Work_days,0,44,0,100
603595-19062012,6200,Night-time,school,Work_days,0,66,0,100
603744-19062012,6990,Office Hours,tansport,Work_days,0,44,0,100
603753-19062012,6200,Office Hours,industry_facility,Work_days,0,20,0,100
603859-19062012,1100,Cooking-time,house,Work_days,0,17,0,100
603860-19062012,6100,Cooking-time,house,Work_days,0,119,0,100
603972-19062012,6900,Cooking-time,restaurant,Work_days,0,62,0,100
604354-20062012,6110,Office Hours,hospital,Work_days,0,38,0,100
604423-20062012,6100,Office Hours,house,Work_days,0,53,0,100
604681-21062012,1100,Night-time,industry_facility,Work_days,0,27,0,100
604692-21062012,1100,Night-time,hospital,Work_days,0,22,0,100
605105-22062012,6110,Night-time,rest_home,Work_days,0,27,0,100
605258-22062012,1370,Office Hours,others,Work_days,0,1,0,100
605600-22062012,0,Cooking-time,rest_home,Work_days,0,8,0,100
605723-23062012,6200,Night-time,school,Week_ends,0,24,0,100
606087-23062012,0,Office Hours,others,Week_ends,0,6,0,100
606198-23062012,0,Cooking-time,others,Week_ends,0,10,0,100
606465-24062012,6200,Night-time,industry_facility,Week_ends,0,14,0,100
606541-24062012,6990,Cooking-time,industry_facility,Week_ends,0,89,0,100
606580-24062012,1100,Office Hours,restaurant,Week_ends,0,1,0,100
606611-24062012,6200,Cooking-time,industry_facility,Week_ends,0,11,0,100
606929-25062012,7100,Cooking-time,others,Work_days,0,1,0,100
