incident_number,alarm_type,time_of_day2,build_type,true_alarm,false_alarm,true_percentage,false_percentage
602600-16062012,6900,Cooking-time,restaurant,0,86,0,100
602690-17062012,1120,Night-time,industry_facility,0,5,0,100
602900-17062012,6200,Office Hours,industry_facility,0,26,0,100
603405-18062012,1100,Office Hours,hospital,0,17,0,100
603444-18062012,1100,Office Hours,industry_facility,0,23,0,100
603510-18062012,1100,Cooking-time,hospital,0,52,0,100
603595-19062012,6200,Night-time,school,0,90,0,100
603860-19062012,6100,Cooking-time,house,0,150,0,100
604354-20062012,6110,Office Hours,hospital,0,44,0,100
604423-20062012,6100,Office Hours,house,0,70,0,100
604681-21062012,1100,Night-time,industry_facility,0,39,0,100
604692-21062012,1100,Night-time,hospital,0,28,0,100
605105-22062012,6110,Night-time,rest_home,0,32,0,100
605258-22062012,1370,Office Hours,others,0,1,0,100
605600-22062012,0,Cooking-time,rest_home,0,8,0,100
606465-24062012,6200,Night-time,industry_facility,0,32,0,100
606580-24062012,1100,Office Hours,restaurant,0,5,0,100
606611-24062012,6200,Cooking-time,industry_facility,0,40,0,100
606929-25062012,7100,Cooking-time,others,0,1,0,100
607460-26062012,6200,Cooking-time,tansport,0,29,0,100
607669-26062012,0,Office Hours,office,0,3,0,100
607671-26062012,0,Office Hours,rest_home,0,6,0,100
607674-26062012,0,Cooking-time,tansport,0,2,0,100
607692-26062012,0,Cooking-time,hotel,0,6,0,100
607746-26062012,0,Cooking-time,school,0,12,0,100
607806-26062012,0,Office Hours,public_facility,0,3,0,100
607820-26062012,0,Office Hours,house,0,2,0,100
607849-26062012,0,Office Hours,shopping_mall,0,2,0,100
607867-26062012,0,Cooking-time,house,0,8,0,100
607903-26062012,0,Cooking-time,industry_facility,0,2,0,100
607922-26062012,0,Cooking-time,public_facility,0,8,0,100
608004-26062012,0,Night-time,others,0,24,0,100
608021-27062012,0,Night-time,public_facility,0,7,0,100
608055-27062012,0,Night-time,apartment,0,10,0,100
608065-27062012,0,Night-time,shopping_mall,0,1,0,100
608068-27062012,0,Night-time,house,0,3,0,100
609368-29062012,7110,Cooking-time,others,0,13,0,100
609712-30062012,1900,Night-time,apartment,0,28,0,100
609767-30062012,6110,Night-time,hospital,0,40,0,100
610836-01072012,0,Night-time,industry_facility,0,1,0,100
610861-02072012,7110,Night-time,others,0,7,0,100
611320-02072012,6120,Cooking-time,industry_facility,0,15,0,100
611321-02072012,1170,Cooking-time,industry_facility,0,3,0,100
611409-03072012,1170,Night-time,industry_facility,0,5,0,100
611424-03072012,6110,Night-time,office,0,59,0,100
611511-03072012,6110,Office Hours,rest_home,0,28,0,100
612591-05072012,6990,Night-time,house,0,58,0,100
613591-07072012,6110,Night-time,shopping_mall,0,24,0,100
613761-07072012,7110,Office Hours,others,0,8,0,100
614644-08072012,1900,Cooking-time,shopping_mall,0,4,0,100
615681-10072012,6120,Cooking-time,office,0,2,0,100
616653-12072012,6110,Cooking-time,shopping_mall,0,31,0,100
616870-13072012,1900,Office Hours,public_facility,0,6,0,100
618411-16072012,6200,Night-time,office,0,70,0,100
620110-19072012,1100,Office Hours,hotel,0,40,0,100
620889-20072012,1100,Cooking-time,restaurant,0,15,0,100
621628-22072012,1200,Night-time,apartment,0,1,0,100
621642-22072012,1200,Cooking-time,apartment,0,2,0,100
622375-23072012,1100,Office Hours,tansport,0,27,0,100
622533-24072012,1900,Night-time,others,0,31,0,100
622650-24072012,6110,Office Hours,shopping_mall,0,29,0,100
623214-25072012,1370,Cooking-time,others,0,1,0,100
624312-27072012,6200,Office Hours,house,0,22,0,100
624540-28072012,6100,Night-time,house,0,70,0,100
625668-30072012,0,Night-time,hospital,0,3,0,100
626267-31072012,1120,Night-time,hotel,0,6,0,100
626364-31072012,6110,Office Hours,industry_facility,0,42,0,100
627055-01082012,1200,Office Hours,office,0,2,0,100
627197-01082012,1200,Cooking-time,office,0,7,0,100
627308-02082012,1200,Night-time,others,0,11,0,100
627383-02082012,6100,Cooking-time,restaurant,0,34,0,100
634746-11082012,6990,Night-time,restaurant,0,28,0,100
637517-16082012,1190,Cooking-time,office,0,1,0,100
639817-19082012,1100,Night-time,restaurant,0,12,0,100
642032-22082012,0,Office Hours,apartment,0,9,0,100
649287-01092012,1900,Night-time,industry_facility,0,1,0,100
650022-01092012,6990,Cooking-time,restaurant,0,43,0,100
650814-02092012,1120,Cooking-time,hotel,0,8,0,100
651966-04092012,6200,Night-time,public_facility,0,98,0,100
655154-07092012,0,Night-time,hotel,0,6,0,100
658779-10092012,0,Cooking-time,shopping_mall,0,3,0,100
662889-16092012,0,Office Hours,hospital,0,4,0,100
664192-18092012,1120,Office Hours,hotel,0,5,0,100
672889-29092012,1900,Office Hours,others,0,23,0,100
673129-29092012,1100,Night-time,tansport,0,42,0,100
674655-01102012,6120,Cooking-time,others,0,7,0,100
683838-14102012,6110,Office Hours,house,0,5,0,100
685522-16102012,1170,Cooking-time,others,0,3,0,100
685785-17102012,1120,Cooking-time,hospital,0,10,0,100
690003-22102012,1900,Office Hours,shopping_mall,0,2,0,100
693567-26102012,6110,Cooking-time,house,0,17,0,100
693846-27102012,1120,Cooking-time,shopping_mall,0,2,0,100
697576-01112012,1200,Cooking-time,public_facility,0,6,0,100
701632-06112012,1900,Cooking-time,public_facility,0,10,0,100
703055-08112012,6120,Office Hours,industry_facility,0,9,0,100
704497-10112012,1160,Cooking-time,office,0,1,0,100
707465-14112012,6110,Night-time,restaurant,0,1,0,100
708026-15112012,6600,Cooking-time,apartment,0,2,0,100
