incident_number,alarm_type,time_of_day2,true_alarm,false_alarm,true_percentage,false_percentage
605258-22062012,1370,Office Hours,0,1,0,100
606929-25062012,7100,Cooking-time,0,1,0,100
608004-26062012,0,Night-time,0,62,0,100
609712-30062012,1900,Night-time,0,63,0,100
610861-02072012,7110,Night-time,0,20,0,100
611320-02072012,6120,Cooking-time,0,24,0,100
611321-02072012,1170,Cooking-time,0,6,0,100
611409-03072012,1170,Night-time,0,7,0,100
616870-13072012,1900,Office Hours,0,37,0,100
621628-22072012,1200,Night-time,0,20,0,100
621642-22072012,1200,Cooking-time,0,33,0,100
623214-25072012,1370,Cooking-time,0,1,0,100
627055-01082012,1200,Office Hours,0,14,0,100
637517-16082012,1190,Cooking-time,0,1,0,100
704497-10112012,1160,Cooking-time,0,1,0,100
708026-15112012,6600,Cooking-time,0,2,0,100
719887-03122012,1160,Night-time,0,2,0,100
015210-16012013,1170,Office Hours,0,4,0,100
063896-30032013,6210,Cooking-time,0,9,0,100
064267-31032013,6210,Night-time,0,8,0,100
088722-11052013,6210,Office Hours,0,7,0,100
121869-10072013,8990,Cooking-time,0,1,0,100
037114-25022014,2270,Office Hours,0,3,0,100
062375-12042014,1110,Night-time,0,1,0,100
105216-01072014,2270,Cooking-time,0,6,0,100
115841-18072014,1130,Cooking-time,0,1,0,100
170676-15102014,1110,Cooking-time,0,2,0,100
187634-08112014,2350,Cooking-time,0,1,0,100
213596-14122014,4310,Office Hours,0,1,0,100
046509-24032015,2350,Night-time,0,1,0,100
058408-15042015,1140,Cooking-time,0,2,0,100
068161-22042015,4110,Night-time,0,1,0,100
