incident_number,alarm_type,true_alarm,false_alarm,true_percentage,false_percentage
605258-22062012,1370,0,2,0,100
606929-25062012,7100,0,1,0,100
611321-02072012,1170,0,17,0,100
621628-22072012,1200,0,67,0,100
637517-16082012,1190,0,1,0,100
704497-10112012,1160,0,3,0,100
708026-15112012,6600,0,2,0,100
063896-30032013,6210,0,24,0,100
121869-10072013,8990,0,1,0,100
037114-25022014,2270,0,9,0,100
062375-12042014,1110,0,3,0,100
115841-18072014,1130,0,1,0,100
213596-14122014,4310,0,1,0,100
058408-15042015,1140,0,2,0,100
068161-22042015,4110,0,1,0,100
