incident_number,repeat_count,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
603033-17062012,3,apartment,Week_ends,0,23,0,100
606039-23062012,1,house,Week_ends,0,29,0,100
611309-02072012,2,office,Work_days,0,93,0,100
611562-03072012,3,office,Work_days,0,22,0,100
611808-03072012,3,shopping_mall,Work_days,0,49,0,100
611828-03072012,4,shopping_mall,Work_days,0,16,0,100
611912-03072012,4,apartment,Work_days,0,24,0,100
612022-04072012,5,apartment,Work_days,0,10,0,100
612694-05072012,3,school,Work_days,0,64,0,100
613957-07072012,2,shopping_mall,Week_ends,0,62,0,100
616364-12072012,1,house,Work_days,0,87,0,100
617019-13072012,4,office,Work_days,0,9,0,100
617472-14072012,3,school,Week_ends,0,25,0,100
617797-14072012,1,rest_home,Week_ends,0,207,0,100
619240-17072012,2,rest_home,Work_days,0,91,0,100
619336-17072012,6,apartment,Work_days,0,5,0,100
619344-17072012,7,apartment,Work_days,0,4,0,100
619610-18072012,8,apartment,Work_days,0,3,0,100
622656-24072012,3,rest_home,Work_days,0,26,0,100
624582-28072012,3,office,Week_ends,0,10,0,100
624621-28072012,4,office,Week_ends,0,7,0,100
627325-02082012,6,others,Work_days,0,22,0,100
627652-02082012,7,others,Work_days,0,14,0,100
627895-03082012,8,others,Work_days,0,9,0,100
627919-03082012,3,public_facility,Work_days,0,29,0,100
629238-04082012,3,shopping_mall,Week_ends,0,19,0,100
629438-05082012,4,shopping_mall,Week_ends,0,6,0,100
629467-05082012,5,shopping_mall,Week_ends,0,3,0,100
632839-10082012,5,shopping_mall,Work_days,0,5,0,100
634103-11082012,2,rest_home,Week_ends,0,37,0,100
634684-11082012,1,restaurant,Week_ends,0,12,0,100
639005-18082012,4,public_facility,Week_ends,0,4,0,100
642430-22082012,4,hospital,Work_days,0,22,0,100
645140-26082012,2,industry_facility,Week_ends,0,12,0,100
652087-04092012,2,house,Work_days,0,12,0,100
653868-05092012,3,hotel,Work_days,0,27,0,100
657419-09092012,2,tansport,Week_ends,0,6,0,100
657446-09092012,3,tansport,Week_ends,0,2,0,100
657544-09092012,4,tansport,Week_ends,0,1,0,100
660022-12092012,4,school,Work_days,0,23,0,100
661282-14092012,4,hotel,Work_days,0,8,0,100
661790-14092012,5,office,Work_days,0,4,0,100
661987-15092012,6,office,Week_ends,0,1,0,100
662003-15092012,7,office,Week_ends,0,1,0,100
662162-15092012,8,office,Week_ends,0,1,0,100
662531-15092012,9,office,Week_ends,0,1,0,100
669921-26092012,4,rest_home,Work_days,0,4,0,100
671463-28092012,5,hospital,Work_days,0,8,0,100
671475-28092012,6,hospital,Work_days,0,3,0,100
671480-28092012,7,hospital,Work_days,0,2,0,100
671483-28092012,8,hospital,Work_days,0,1,0,100
671487-28092012,9,hospital,Work_days,0,1,0,100
671909-28092012,10,hospital,Work_days,0,1,0,100
671932-28092012,11,hospital,Work_days,0,1,0,100
673559-30092012,4,school,Week_ends,0,12,0,100
673560-30092012,5,school,Week_ends,0,9,0,100
679312-06102012,3,hospital,Week_ends,0,19,0,100
683345-13102012,2,house,Week_ends,0,4,0,100
685572-16102012,1,restaurant,Work_days,0,28,0,100
693757-27102012,3,rest_home,Week_ends,0,6,0,100
709998-19112012,4,public_facility,Work_days,0,7,0,100
732764-20122012,5,public_facility,Work_days,0,4,0,100
733666-21122012,5,school,Work_days,0,13,0,100
733749-21122012,6,school,Work_days,0,10,0,100
734218-21122012,7,school,Work_days,0,5,0,100
738432-27122012,6,shopping_mall,Work_days,0,2,0,100
738765-27122012,7,shopping_mall,Work_days,0,2,0,100
739340-28122012,8,shopping_mall,Work_days,0,3,0,100
004383-06012013,2,restaurant,Week_ends,0,2,0,100
008706-09012013,5,rest_home,Work_days,0,1,0,100
008835-09012013,6,rest_home,Work_days,0,1,0,100
013302-13012013,3,hotel,Week_ends,0,10,0,100
013636-13012013,4,hotel,Week_ends,0,5,0,100
013696-14012013,5,hotel,Work_days,0,5,0,100
013764-14012013,6,hotel,Work_days,0,4,0,100
013782-14012013,7,hotel,Work_days,0,1,0,100
015166-16012013,2,tansport,Work_days,0,29,0,100
024515-26012013,5,apartment,Week_ends,0,8,0,100
027216-29012013,9,others,Work_days,0,4,0,100
027507-29012013,3,house,Work_days,0,4,0,100
028066-29012013,2,restaurant,Work_days,0,6,0,100
030360-02022013,6,apartment,Week_ends,0,6,0,100
030431-02022013,7,apartment,Week_ends,0,4,0,100
030460-03022013,8,apartment,Week_ends,0,4,0,100
035613-12022013,3,industry_facility,Work_days,0,13,0,100
040834-21022013,3,tansport,Work_days,0,9,0,100
040956-21022013,4,tansport,Work_days,0,1,0,100
041081-22022013,5,tansport,Work_days,0,1,0,100
041085-22022013,6,tansport,Work_days,0,1,0,100
041680-22022013,7,tansport,Work_days,0,1,0,100
042393-23022013,4,rest_home,Week_ends,0,1,0,100
042545-23022013,5,rest_home,Week_ends,0,1,0,100
044087-24022013,3,restaurant,Week_ends,0,1,0,100
054698-16032013,5,others,Week_ends,0,6,0,100
054702-16032013,6,others,Week_ends,0,3,0,100
054713-16032013,7,others,Week_ends,0,1,0,100
054727-16032013,8,others,Week_ends,0,3,0,100
054752-16032013,9,others,Week_ends,0,1,0,100
054928-16032013,10,others,Week_ends,0,1,0,100
054988-16032013,11,others,Week_ends,0,1,0,100
055001-16032013,12,others,Week_ends,0,1,0,100
055016-16032013,13,others,Week_ends,0,1,0,100
055058-16032013,14,others,Week_ends,0,1,0,100
055073-16032013,15,others,Week_ends,0,1,0,100
059239-23032013,6,school,Week_ends,0,5,0,100
059360-23032013,7,school,Week_ends,0,3,0,100
067780-06042013,8,school,Week_ends,0,3,0,100
143708-17082013,4,hospital,Week_ends,0,5,0,100
209016-30102013,6,public_facility,Work_days,0,2,0,100
209018-30102013,7,public_facility,Work_days,0,2,0,100
209019-30102013,8,public_facility,Work_days,0,1,0,100
209020-30102013,9,public_facility,Work_days,0,1,0,100
209021-30102013,10,public_facility,Work_days,0,1,0,100
209022-30102013,11,public_facility,Work_days,0,1,0,100
209023-30102013,12,public_facility,Work_days,0,1,0,100
209024-30102013,13,public_facility,Work_days,0,1,0,100
209025-30102013,14,public_facility,Work_days,0,1,0,100
209026-30102013,15,public_facility,Work_days,0,1,0,100
209027-30102013,16,public_facility,Work_days,0,1,0,100
209028-30102013,17,public_facility,Work_days,0,1,0,100
209029-30102013,18,public_facility,Work_days,0,1,0,100
209030-30102013,19,public_facility,Work_days,0,1,0,100
209031-30102013,20,public_facility,Work_days,0,1,0,100
209032-30102013,21,public_facility,Work_days,0,1,0,100
209033-30102013,22,public_facility,Work_days,0,1,0,100
209034-30102013,23,public_facility,Work_days,0,1,0,100
209035-30102013,24,public_facility,Work_days,0,1,0,100
209036-30102013,25,public_facility,Work_days,0,1,0,100
209037-30102013,26,public_facility,Work_days,0,1,0,100
209038-30102013,27,public_facility,Work_days,0,1,0,100
209039-30102013,28,public_facility,Work_days,0,1,0,100
209040-30102013,29,public_facility,Work_days,0,1,0,100
209041-30102013,30,public_facility,Work_days,0,1,0,100
209042-30102013,31,public_facility,Work_days,0,1,0,100
209043-30102013,32,public_facility,Work_days,0,1,0,100
209044-30102013,33,public_facility,Work_days,0,1,0,100
209045-30102013,34,public_facility,Work_days,0,1,0,100
209046-30102013,35,public_facility,Work_days,0,1,0,100
209047-30102013,36,public_facility,Work_days,0,1,0,100
209048-30102013,37,public_facility,Work_days,0,1,0,100
209049-30102013,38,public_facility,Work_days,0,1,0,100
209050-30102013,39,public_facility,Work_days,0,1,0,100
209051-30102013,40,public_facility,Work_days,0,1,0,100
209052-30102013,41,public_facility,Work_days,0,1,0,100
209053-30102013,42,public_facility,Work_days,0,1,0,100
209054-30102013,43,public_facility,Work_days,0,1,0,100
209064-30102013,44,public_facility,Work_days,0,1,0,100
209067-30102013,45,public_facility,Work_days,0,1,0,100
209570-31102013,10,others,Work_days,0,2,0,100
075447-07052014,9,shopping_mall,Work_days,0,1,0,100
075454-07052014,10,shopping_mall,Work_days,0,1,0,100
075565-07052014,11,shopping_mall,Work_days,0,1,0,100
108425-06072014,3,public_facility,Week_ends,0,7,0,100
157817-28092014,5,hospital,Week_ends,0,2,0,100
204121-30112014,6,shopping_mall,Week_ends,0,2,0,100
209704-07122014,7,shopping_mall,Week_ends,0,1,0,100
213377-14122014,5,hotel,Week_ends,0,1,0,100
029430-22022015,9,school,Week_ends,0,3,0,100
031823-27022015,8,school,Work_days,0,2,0,100
033018-01032015,10,school,Week_ends,0,1,0,100
033231-01032015,5,public_facility,Week_ends,0,1,0,100
033329-01032015,6,public_facility,Week_ends,0,1,0,100
033344-01032015,7,public_facility,Week_ends,0,1,0,100
033458-01032015,11,school,Week_ends,0,1,0,100
034429-03032015,6,office,Work_days,0,1,0,100
034682-04032015,7,office,Work_days,0,1,0,100
035162-05032015,8,office,Work_days,0,1,0,100
053850-06042015,4,industry_facility,Work_days,0,3,0,100
053858-06042015,5,industry_facility,Work_days,0,1,0,100
056971-12042015,9,apartment,Week_ends,0,1,0,100
057049-12042015,10,apartment,Week_ends,0,1,0,100
076165-04052015,9,school,Work_days,0,1,0,100
076184-04052015,10,school,Work_days,0,1,0,100
