incident_number,repeat_count,time_of_day2,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
602600-16062012,0,Cooking-time,restaurant,Week_ends,0,44,0,100
602686-17062012,1,Night-time,school,Week_ends,0,106,0,100
602804-17062012,1,Office Hours,hotel,Week_ends,0,59,0,100
603033-17062012,3,Cooking-time,apartment,Week_ends,0,10,0,100
603309-18062012,1,Office Hours,office,Work_days,0,146,0,100
603477-18062012,1,Office Hours,industry_facility,Work_days,0,51,0,100
603785-19062012,1,Office Hours,public_facility,Work_days,0,158,0,100
604103-20062012,1,Night-time,office,Work_days,0,151,0,100
604813-21062012,1,Office Hours,rest_home,Work_days,0,176,0,100
606039-23062012,1,Office Hours,house,Week_ends,0,5,0,100
606399-24062012,1,Night-time,hotel,Week_ends,0,79,0,100
606455-24062012,1,Night-time,hospital,Week_ends,0,93,0,100
606521-24062012,1,Cooking-time,industry_facility,Week_ends,0,35,0,100
606885-25062012,2,Night-time,industry_facility,Work_days,0,12,0,100
607197-25062012,2,Office Hours,apartment,Work_days,0,48,0,100
608469-27062012,1,Cooking-time,rest_home,Work_days,0,287,0,100
609765-30062012,2,Night-time,apartment,Week_ends,0,18,0,100
609882-30062012,2,Office Hours,apartment,Week_ends,0,13,0,100
610292-30062012,3,Night-time,apartment,Week_ends,0,5,0,100
610471-01072012,2,Office Hours,school,Week_ends,0,21,0,100
611309-02072012,2,Cooking-time,office,Work_days,0,42,0,100
611403-03072012,3,Night-time,apartment,Work_days,0,15,0,100
611562-03072012,3,Office Hours,office,Work_days,0,3,0,100
611653-03072012,2,Cooking-time,hotel,Work_days,0,48,0,100
611808-03072012,3,Cooking-time,shopping_mall,Work_days,0,23,0,100
611828-03072012,4,Cooking-time,shopping_mall,Work_days,0,3,0,100
611912-03072012,4,Night-time,apartment,Work_days,0,9,0,100
611946-04072012,3,Night-time,others,Work_days,0,81,0,100
612022-04072012,5,Cooking-time,apartment,Work_days,0,8,0,100
612533-05072012,4,Night-time,others,Work_days,0,34,0,100
612694-05072012,3,Office Hours,school,Work_days,0,14,0,100
613070-05072012,2,Night-time,apartment,Work_days,0,53,0,100
613265-06072012,3,Office Hours,hospital,Work_days,0,19,0,100
613957-07072012,2,Office Hours,shopping_mall,Week_ends,0,20,0,100
615138-09072012,3,Cooking-time,office,Work_days,0,8,0,100
615413-10072012,3,Office Hours,apartment,Work_days,0,12,0,100
616304-12072012,2,Night-time,hotel,Work_days,0,34,0,100
616364-12072012,1,Cooking-time,house,Work_days,0,38,0,100
616677-12072012,2,Night-time,office,Work_days,0,29,0,100
616729-13072012,3,Night-time,office,Work_days,0,11,0,100
617019-13072012,4,Office Hours,office,Work_days,0,1,0,100
617374-14072012,2,Night-time,hospital,Week_ends,0,26,0,100
617472-14072012,3,Cooking-time,school,Week_ends,0,14,0,100
617744-14072012,2,Office Hours,public_facility,Week_ends,0,8,0,100
617797-14072012,1,Cooking-time,rest_home,Week_ends,0,103,0,100
619240-17072012,2,Office Hours,rest_home,Work_days,0,23,0,100
619332-17072012,4,Office Hours,apartment,Work_days,0,5,0,100
619336-17072012,6,Cooking-time,apartment,Work_days,0,3,0,100
619344-17072012,7,Cooking-time,apartment,Work_days,0,3,0,100
619610-18072012,8,Cooking-time,apartment,Work_days,0,1,0,100
620418-19072012,3,Cooking-time,school,Work_days,0,36,0,100
621509-21072012,1,Night-time,public_facility,Week_ends,0,79,0,100
621790-22072012,2,Cooking-time,hospital,Week_ends,0,34,0,100
622656-24072012,3,Office Hours,rest_home,Work_days,0,4,0,100
622802-24072012,2,Office Hours,office,Work_days,0,22,0,100
623059-25072012,2,Cooking-time,rest_home,Work_days,0,36,0,100
624537-28072012,2,Night-time,office,Week_ends,0,16,0,100
624582-28072012,3,Night-time,office,Week_ends,0,4,0,100
624621-28072012,4,Night-time,office,Week_ends,0,3,0,100
626544-31072012,3,Office Hours,others,Work_days,0,30,0,100
626786-01082012,5,Night-time,others,Work_days,0,13,0,100
627325-02082012,6,Night-time,others,Work_days,0,6,0,100
627652-02082012,7,Office Hours,others,Work_days,0,3,0,100
627694-02082012,3,Office Hours,shopping_mall,Work_days,0,8,0,100
627812-02082012,4,Cooking-time,office,Work_days,0,6,0,100
627881-03082012,2,Night-time,public_facility,Work_days,0,33,0,100
627895-03082012,8,Night-time,others,Work_days,0,4,0,100
627919-03082012,3,Night-time,public_facility,Work_days,0,11,0,100
629238-04082012,3,Cooking-time,shopping_mall,Week_ends,0,13,0,100
629438-05082012,4,Night-time,shopping_mall,Week_ends,0,2,0,100
629467-05082012,5,Cooking-time,shopping_mall,Week_ends,0,2,0,100
632818-10082012,4,Night-time,shopping_mall,Work_days,0,9,0,100
632839-10082012,5,Night-time,shopping_mall,Work_days,0,4,0,100
