incident_number,repeat_count,time_of_day2,build_type,true_alarm,false_alarm,true_percentage,false_percentage
603477-18062012,1,Office Hours,industry_facility,0,68,0,100
604813-21062012,1,Office Hours,rest_home,0,214,0,100
606039-23062012,1,Office Hours,house,0,26,0,100
606885-25062012,2,Night-time,industry_facility,0,16,0,100
607197-25062012,2,Office Hours,apartment,0,61,0,100
608469-27062012,1,Cooking-time,rest_home,0,390,0,100
609765-30062012,2,Night-time,apartment,0,71,0,100
610292-30062012,3,Night-time,apartment,0,20,0,100
611562-03072012,3,Office Hours,office,0,3,0,100
611808-03072012,3,Cooking-time,shopping_mall,0,36,0,100
611828-03072012,4,Cooking-time,shopping_mall,0,6,0,100
611912-03072012,4,Night-time,apartment,0,12,0,100
611946-04072012,3,Night-time,others,0,95,0,100
612022-04072012,5,Cooking-time,apartment,0,12,0,100
612694-05072012,3,Office Hours,school,0,21,0,100
613265-06072012,3,Office Hours,hospital,0,23,0,100
615138-09072012,3,Cooking-time,office,0,14,0,100
615413-10072012,3,Office Hours,apartment,0,20,0,100
616304-12072012,2,Night-time,hotel,0,43,0,100
616364-12072012,1,Cooking-time,house,0,53,0,100
616677-12072012,2,Night-time,office,0,45,0,100
616729-13072012,3,Night-time,office,0,15,0,100
617019-13072012,4,Office Hours,office,0,3,0,100
617472-14072012,3,Cooking-time,school,0,50,0,100
619240-17072012,2,Office Hours,rest_home,0,28,0,100
619332-17072012,4,Office Hours,apartment,0,9,0,100
619336-17072012,6,Cooking-time,apartment,0,7,0,100
619344-17072012,7,Cooking-time,apartment,0,3,0,100
619610-18072012,8,Cooking-time,apartment,0,1,0,100
622656-24072012,3,Office Hours,rest_home,0,5,0,100
622802-24072012,2,Office Hours,office,0,26,0,100
623059-25072012,2,Cooking-time,rest_home,0,55,0,100
624621-28072012,4,Night-time,office,0,5,0,100
626544-31072012,3,Office Hours,others,0,49,0,100
626786-01082012,5,Night-time,others,0,15,0,100
627325-02082012,6,Night-time,others,0,8,0,100
627652-02082012,7,Office Hours,others,0,3,0,100
627694-02082012,3,Office Hours,shopping_mall,0,10,0,100
627812-02082012,4,Cooking-time,office,0,8,0,100
627881-03082012,2,Night-time,public_facility,0,47,0,100
627895-03082012,8,Night-time,others,0,7,0,100
627919-03082012,3,Night-time,public_facility,0,11,0,100
629438-05082012,4,Night-time,shopping_mall,0,11,0,100
629467-05082012,5,Cooking-time,shopping_mall,0,3,0,100
632839-10082012,5,Night-time,shopping_mall,0,4,0,100
634103-11082012,2,Night-time,rest_home,0,45,0,100
634684-11082012,1,Cooking-time,restaurant,0,20,0,100
639005-18082012,4,Night-time,public_facility,0,2,0,100
642430-22082012,4,Cooking-time,hospital,0,15,0,100
643451-23082012,3,Cooking-time,rest_home,0,13,0,100
645140-26082012,2,Office Hours,industry_facility,0,14,0,100
646614-28082012,4,Office Hours,others,0,26,0,100
646972-29082012,6,Cooking-time,others,0,15,0,100
652087-04092012,2,Office Hours,house,0,2,0,100
653868-05092012,3,Cooking-time,hotel,0,21,0,100
657419-09092012,2,Night-time,tansport,0,14,0,100
657446-09092012,3,Night-time,tansport,0,5,0,100
657544-09092012,4,Office Hours,tansport,0,1,0,100
659927-12092012,3,Night-time,school,0,18,0,100
660022-12092012,4,Cooking-time,school,0,17,0,100
661276-14092012,3,Night-time,hotel,0,10,0,100
661282-14092012,4,Night-time,hotel,0,3,0,100
661790-14092012,5,Cooking-time,office,0,2,0,100
661987-15092012,6,Night-time,office,0,1,0,100
662003-15092012,7,Cooking-time,office,0,2,0,100
662162-15092012,8,Office Hours,office,0,1,0,100
662531-15092012,9,Cooking-time,office,0,1,0,100
668416-24092012,4,Cooking-time,hotel,0,9,0,100
669921-26092012,4,Cooking-time,rest_home,0,2,0,100
671347-27092012,3,Night-time,rest_home,0,14,0,100
671444-28092012,3,Night-time,hospital,0,23,0,100
671454-28092012,4,Night-time,hospital,0,9,0,100
671463-28092012,5,Night-time,hospital,0,3,0,100
671475-28092012,6,Night-time,hospital,0,2,0,100
671480-28092012,7,Night-time,hospital,0,2,0,100
671483-28092012,8,Night-time,hospital,0,1,0,100
671487-28092012,9,Night-time,hospital,0,1,0,100
671909-28092012,10,Cooking-time,hospital,0,1,0,100
671932-28092012,11,Cooking-time,hospital,0,1,0,100
673560-30092012,5,Cooking-time,school,0,13,0,100
676303-04102012,3,Night-time,shopping_mall,0,22,0,100
683345-13102012,2,Cooking-time,house,0,10,0,100
689881-22102012,4,Night-time,school,0,9,0,100
692088-25102012,1,Night-time,restaurant,0,12,0,100
701556-06112012,1,Night-time,house,0,37,0,100
703171-08112012,3,Cooking-time,public_facility,0,17,0,100
713414-24112012,2,Office Hours,tansport,0,12,0,100
713667-24112012,3,Cooking-time,tansport,0,4,0,100
722656-06122012,7,Cooking-time,others,0,6,0,100
722684-06122012,8,Cooking-time,others,0,5,0,100
732427-19122012,3,Office Hours,public_facility,0,8,0,100
732434-19122012,4,Office Hours,public_facility,0,2,0,100
732764-20122012,5,Night-time,public_facility,0,2,0,100
733666-21122012,5,Night-time,school,0,5,0,100
733749-21122012,6,Cooking-time,school,0,8,0,100
734218-21122012,7,Cooking-time,school,0,2,0,100
738200-26122012,4,Office Hours,shopping_mall,0,5,0,100
738432-27122012,6,Night-time,shopping_mall,0,1,0,100
738765-27122012,7,Cooking-time,shopping_mall,0,1,0,100
739340-28122012,8,Office Hours,shopping_mall,0,2,0,100
740438-30122012,4,Office Hours,school,0,9,0,100
003673-05012013,1,Office Hours,restaurant,0,8,0,100
004383-06012013,2,Cooking-time,restaurant,0,5,0,100
008706-09012013,5,Cooking-time,rest_home,0,2,0,100
008835-09012013,6,Cooking-time,rest_home,0,1,0,100
009098-10012013,2,Night-time,house,0,4,0,100
013696-14012013,5,Night-time,hotel,0,2,0,100
013764-14012013,6,Cooking-time,hotel,0,3,0,100
