incident_number,season,alarm_type,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
602600-16062012,Winter,6900,restaurant,Week_ends,0,14,0,100
602690-17062012,Winter,1120,industry_facility,Week_ends,0,1,0,100
602708-17062012,Winter,1100,office,Week_ends,0,19,0,100
602829-17062012,Winter,6200,office,Week_ends,0,17,0,100
602900-17062012,Winter,6200,industry_facility,Week_ends,0,10,0,100
603219-18062012,Winter,6110,rest_home,Work_days,0,18,0,100
603363-18062012,Winter,6200,office,Work_days,0,44,0,100
603405-18062012,Winter,1100,hospital,Work_days,0,11,0,100
603444-18062012,Winter,1100,industry_facility,Work_days,0,20,0,100
603744-19062012,Winter,6990,tansport,Work_days,0,40,0,100
603753-19062012,Winter,6200,industry_facility,Work_days,0,23,0,100
603859-19062012,Winter,1100,house,Work_days,0,12,0,100
603860-19062012,Winter,6100,house,Work_days,0,50,0,100
603972-19062012,Winter,6900,restaurant,Work_days,0,27,0,100
604354-20062012,Winter,6110,hospital,Work_days,0,42,0,100
604622-20062012,Winter,1100,public_facility,Work_days,0,72,0,100
604850-21062012,Winter,0,others,Work_days,0,26,0,100
605258-22062012,Winter,1370,others,Work_days,0,2,0,100
605600-22062012,Winter,0,rest_home,Work_days,0,5,0,100
605723-23062012,Winter,6200,school,Week_ends,0,13,0,100
606087-23062012,Winter,0,others,Week_ends,0,4,0,100
606446-24062012,Winter,6990,industry_facility,Week_ends,0,47,0,100
606580-24062012,Winter,1100,restaurant,Week_ends,0,4,0,100
606929-25062012,Winter,7100,others,Work_days,0,1,0,100
607460-26062012,Winter,6200,tansport,Work_days,0,13,0,100
607669-26062012,Winter,0,office,Work_days,0,5,0,100
607674-26062012,Winter,0,tansport,Work_days,0,1,0,100
607692-26062012,Winter,0,hotel,Work_days,0,2,0,100
607697-26062012,Winter,0,apartment,Work_days,0,8,0,100
607729-26062012,Winter,0,hospital,Work_days,0,7,0,100
607746-26062012,Winter,0,school,Work_days,0,5,0,100
607806-26062012,Winter,0,public_facility,Work_days,0,8,0,100
607820-26062012,Winter,0,house,Work_days,0,5,0,100
607849-26062012,Winter,0,shopping_mall,Work_days,0,2,0,100
607903-26062012,Winter,0,industry_facility,Work_days,0,1,0,100
608439-27062012,Winter,6290,school,Work_days,0,5,0,100
609122-29062012,Winter,6110,industry_facility,Work_days,0,29,0,100
609368-29062012,Winter,7110,others,Work_days,0,10,0,100
609712-30062012,Winter,1900,apartment,Week_ends,0,5,0,100
609793-30062012,Winter,1100,hotel,Week_ends,0,16,0,100
609899-30062012,Winter,6110,office,Week_ends,0,21,0,100
609945-30062012,Winter,6200,tansport,Week_ends,0,6,0,100
610283-30062012,Winter,6110,hotel,Week_ends,0,15,0,100
610836-01072012,Winter,0,industry_facility,Week_ends,0,1,0,100
611320-02072012,Winter,6120,industry_facility,Work_days,0,7,0,100
611321-02072012,Winter,1170,industry_facility,Work_days,0,3,0,100
613591-07072012,Winter,6110,shopping_mall,Week_ends,0,3,0,100
613761-07072012,Winter,7110,others,Week_ends,0,2,0,100
614644-08072012,Winter,1900,shopping_mall,Week_ends,0,3,0,100
615681-10072012,Winter,6120,office,Work_days,0,2,0,100
616653-12072012,Winter,6110,shopping_mall,Work_days,0,22,0,100
616870-13072012,Winter,1900,public_facility,Work_days,0,1,0,100
617509-14072012,Winter,6100,house,Week_ends,0,18,0,100
620889-20072012,Winter,1100,restaurant,Work_days,0,3,0,100
621628-22072012,Winter,1200,apartment,Week_ends,0,2,0,100
622375-23072012,Winter,1100,tansport,Work_days,0,23,0,100
622533-24072012,Winter,1900,others,Work_days,0,15,0,100
624539-28072012,Winter,1100,house,Week_ends,0,1,0,100
626267-31072012,Winter,1120,hotel,Work_days,0,3,0,100
627055-01082012,Winter,1200,office,Work_days,0,5,0,100
627308-02082012,Winter,1200,others,Work_days,0,3,0,100
627383-02082012,Winter,6100,restaurant,Work_days,0,14,0,100
628745-04082012,Winter,6200,hospital,Week_ends,0,9,0,100
629258-04082012,Winter,6110,rest_home,Week_ends,0,3,0,100
635333-12082012,Winter,6120,industry_facility,Week_ends,0,3,0,100
637517-16082012,Winter,1190,office,Work_days,0,1,0,100
639900-19082012,Winter,6200,house,Week_ends,0,8,0,100
641482-21082012,Winter,1200,apartment,Work_days,0,1,0,100
644239-25082012,Winter,1120,apartment,Week_ends,0,1,0,100
649184-01092012,Spring,1900,others,Week_ends,0,13,0,100
649241-01092012,Spring,1100,office,Week_ends,0,20,0,100
649287-01092012,Spring,1900,industry_facility,Week_ends,0,1,0,100
649288-01092012,Spring,1120,others,Week_ends,0,13,0,100
649311-01092012,Spring,6100,tansport,Week_ends,0,43,0,100
649314-01092012,Spring,1100,restaurant,Week_ends,0,6,0,100
649472-01092012,Spring,1100,hotel,Week_ends,0,10,0,100
649644-01092012,Spring,6290,school,Week_ends,0,2,0,100
650022-01092012,Spring,6990,restaurant,Week_ends,0,5,0,100
650023-01092012,Spring,6110,hotel,Week_ends,0,13,0,100
650413-02092012,Spring,6200,public_facility,Week_ends,0,34,0,100
650467-02092012,Spring,6990,tansport,Week_ends,0,7,0,100
650652-02092012,Spring,1100,tansport,Week_ends,0,9,0,100
650814-02092012,Spring,1120,hotel,Week_ends,0,1,0,100
651062-03092012,Spring,6110,hospital,Work_days,0,27,0,100
653483-05092012,Spring,1100,public_facility,Work_days,0,108,0,100
653703-05092012,Spring,1900,others,Work_days,0,32,0,100
654834-06092012,Spring,6100,house,Work_days,0,46,0,100
655154-07092012,Spring,0,hotel,Work_days,0,8,0,100
655437-07092012,Spring,6110,shopping_mall,Work_days,0,20,0,100
655863-07092012,Spring,0,public_facility,Work_days,0,3,0,100
656213-08092012,Spring,6200,office,Week_ends,0,15,0,100
656445-08092012,Spring,6990,rest_home,Week_ends,0,93,0,100
657376-09092012,Spring,6200,tansport,Week_ends,0,5,0,100
657467-09092012,Spring,6110,shopping_mall,Week_ends,0,5,0,100
657941-09092012,Spring,0,hospital,Week_ends,0,6,0,100
658555-10092012,Spring,0,house,Work_days,0,3,0,100
658570-10092012,Spring,1100,hospital,Work_days,0,17,0,100
658779-10092012,Spring,0,shopping_mall,Work_days,0,2,0,100
658786-10092012,Spring,0,school,Work_days,0,3,0,100
659319-11092012,Spring,6100,restaurant,Work_days,0,15,0,100
659893-11092012,Spring,6110,house,Work_days,0,4,0,100
661261-14092012,Spring,1100,hotel,Work_days,0,40,0,100
661444-14092012,Spring,1100,tansport,Work_days,0,30,0,100
661524-14092012,Spring,0,rest_home,Work_days,0,6,0,100
661778-14092012,Spring,1100,industry_facility,Work_days,0,24,0,100
662156-15092012,Spring,6200,shopping_mall,Week_ends,0,53,0,100
662157-15092012,Spring,6200,hospital,Week_ends,0,13,0,100
662215-15092012,Spring,6110,public_facility,Week_ends,0,23,0,100
662272-15092012,Spring,0,house,Week_ends,0,2,0,100
662379-15092012,Spring,6990,industry_facility,Week_ends,0,50,0,100
662557-15092012,Spring,0,others,Week_ends,0,11,0,100
662625-15092012,Spring,6900,house,Week_ends,0,18,0,100
662782-16092012,Spring,0,public_facility,Week_ends,0,3,0,100
664192-18092012,Spring,1120,hotel,Work_days,0,7,0,100
666275-21092012,Spring,6200,house,Work_days,0,14,0,100
668995-24092012,Spring,1100,house,Work_days,0,12,0,100
673322-30092012,Spring,6200,industry_facility,Week_ends,0,8,0,100
673343-30092012,Spring,6200,school,Week_ends,0,10,0,100
673549-30092012,Spring,0,school,Week_ends,0,3,0,100
683106-13102012,Spring,1900,apartment,Week_ends,0,6,0,100
683592-13102012,Spring,7110,others,Week_ends,0,5,0,100
683838-14102012,Spring,6110,house,Week_ends,0,3,0,100
685522-16102012,Spring,1170,others,Work_days,0,2,0,100
685785-17102012,Spring,1120,hospital,Work_days,0,4,0,100
686381-17102012,Spring,7110,others,Work_days,0,5,0,100
689078-21102012,Spring,6120,others,Week_ends,0,9,0,100
690003-22102012,Spring,1900,shopping_mall,Work_days,0,2,0,100
690949-23102012,Spring,6110,rest_home,Work_days,0,18,0,100
693272-26102012,Spring,6200,industry_facility,Work_days,0,13,0,100
693846-27102012,Spring,1120,shopping_mall,Week_ends,0,2,0,100
693965-27102012,Spring,6110,industry_facility,Week_ends,0,7,0,100
694783-28102012,Spring,6200,rest_home,Week_ends,0,20,0,100
697576-01112012,Spring,1200,public_facility,Work_days,0,1,0,100
698907-02112012,Spring,1900,public_facility,Work_days,0,8,0,100
700720-04112012,Spring,7110,public_facility,Week_ends,0,12,0,100
703055-08112012,Spring,6120,industry_facility,Work_days,0,6,0,100
704462-10112012,Spring,1100,hospital,Week_ends,0,2,0,100
704497-10112012,Spring,1160,office,Week_ends,0,1,0,100
704503-10112012,Spring,6100,house,Week_ends,0,6,0,100
704705-10112012,Spring,6100,restaurant,Week_ends,0,4,0,100
707465-14112012,Spring,6110,restaurant,Work_days,0,1,0,100
708026-15112012,Spring,6600,apartment,Work_days,0,2,0,100
709634-18112012,Spring,1100,rest_home,Week_ends,0,5,0,100
710009-19112012,Spring,1120,industry_facility,Work_days,0,5,0,100
714028-25112012,Spring,6200,house,Week_ends,0,2,0,100
714238-25112012,Spring,1170,industry_facility,Week_ends,0,2,0,100
714349-25112012,Spring,1200,others,Week_ends,0,2,0,100
718524-01122012,Summer,6200,hotel,Week_ends,0,34,0,100
718529-01122012,Summer,6900,office,Week_ends,0,98,0,100
718590-01122012,Summer,6200,industry_facility,Week_ends,0,5,0,100
718701-01122012,Summer,6100,rest_home,Week_ends,0,161,0,100
718705-01122012,Summer,6200,shopping_mall,Week_ends,0,49,0,100
718944-01122012,Summer,6110,hotel,Week_ends,0,16,0,100
