incident_number,season,alarm_type,repeat_count,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
602192-16062012,Winter,6200,1,others,Week_ends,0,8,0,100
602380-16062012,Winter,1100,1,school,Week_ends,0,8,0,100
602461-16062012,Winter,6110,1,others,Week_ends,0,10,0,100
602491-16062012,Winter,6100,1,public_facility,Week_ends,0,15,0,100
602591-16062012,Winter,6990,0,hospital,Week_ends,0,101,0,100
602600-16062012,Winter,6900,0,restaurant,Week_ends,0,13,0,100
602686-17062012,Winter,6990,1,school,Week_ends,0,17,0,100
602690-17062012,Winter,1120,0,industry_facility,Week_ends,0,1,0,100
602707-17062012,Winter,6990,2,school,Week_ends,0,1,0,100
602708-17062012,Winter,1100,0,office,Week_ends,0,15,0,100
602804-17062012,Winter,6990,1,hotel,Week_ends,0,29,0,100
602822-17062012,Winter,6990,1,shopping_mall,Week_ends,0,36,0,100
602829-17062012,Winter,6200,0,office,Week_ends,0,15,0,100
602844-17062012,Winter,6900,1,shopping_mall,Week_ends,0,18,0,100
602900-17062012,Winter,6200,0,industry_facility,Week_ends,0,7,0,100
602944-17062012,Winter,6990,1,hospital,Week_ends,0,21,0,100
602989-17062012,Winter,6900,2,apartment,Week_ends,0,8,0,100
603033-17062012,Winter,6900,3,apartment,Week_ends,0,2,0,100
603190-18062012,Winter,6100,2,hospital,Work_days,0,24,0,100
603219-18062012,Winter,6110,0,rest_home,Work_days,0,17,0,100
603309-18062012,Winter,6900,1,office,Work_days,0,43,0,100
603363-18062012,Winter,6200,0,office,Work_days,0,41,0,100
603405-18062012,Winter,1100,0,hospital,Work_days,0,10,0,100
603444-18062012,Winter,1100,0,industry_facility,Work_days,0,15,0,100
603461-18062012,Winter,1120,1,others,Work_days,0,6,0,100
603477-18062012,Winter,1100,1,industry_facility,Work_days,0,2,0,100
603510-18062012,Winter,1100,1,hospital,Work_days,0,1,0,100
603744-19062012,Winter,6990,0,tansport,Work_days,0,36,0,100
603753-19062012,Winter,6200,0,industry_facility,Work_days,0,18,0,100
603859-19062012,Winter,1100,0,house,Work_days,0,12,0,100
603860-19062012,Winter,6100,0,house,Work_days,0,44,0,100
603972-19062012,Winter,6900,0,restaurant,Work_days,0,25,0,100
604132-20062012,Winter,6900,1,industry_facility,Work_days,0,16,0,100
