incident_number,season,alarm_type,repeat_count,build_type,true_alarm,false_alarm,true_percentage,false_percentage
602192-16062012,Winter,6200,1,others,0,29,0,100
602380-16062012,Winter,1100,1,school,0,22,0,100
602461-16062012,Winter,6110,1,others,0,33,0,100
602491-16062012,Winter,6100,1,public_facility,0,53,0,100
602600-16062012,Winter,6900,0,restaurant,0,38,0,100
602690-17062012,Winter,1120,0,industry_facility,0,4,0,100
602707-17062012,Winter,6990,2,school,0,5,0,100
602829-17062012,Winter,6200,0,office,0,56,0,100
602900-17062012,Winter,6200,0,industry_facility,0,25,0,100
602989-17062012,Winter,6900,2,apartment,0,24,0,100
603033-17062012,Winter,6900,3,apartment,0,8,0,100
603190-18062012,Winter,6100,2,hospital,0,28,0,100
603219-18062012,Winter,6110,0,rest_home,0,20,0,100
603309-18062012,Winter,6900,1,office,0,56,0,100
603405-18062012,Winter,1100,0,hospital,0,11,0,100
603444-18062012,Winter,1100,0,industry_facility,0,19,0,100
603461-18062012,Winter,1120,1,others,0,6,0,100
603477-18062012,Winter,1100,1,industry_facility,0,2,0,100
603510-18062012,Winter,1100,1,hospital,0,2,0,100
603859-19062012,Winter,1100,0,house,0,13,0,100
603860-19062012,Winter,6100,0,house,0,62,0,100
604132-20062012,Winter,6900,1,industry_facility,0,19,0,100
604232-20062012,Winter,6990,1,industry_facility,0,23,0,100
604813-21062012,Winter,6990,1,rest_home,0,31,0,100
604850-21062012,Winter,0,0,others,0,30,0,100
604993-21062012,Winter,6990,2,shopping_mall,0,26,0,100
605258-22062012,Winter,1370,0,others,0,2,0,100
605302-22062012,Winter,6990,2,apartment,0,34,0,100
605600-22062012,Winter,0,0,rest_home,0,5,0,100
606039-23062012,Winter,6990,1,house,0,10,0,100
606459-24062012,Winter,6990,1,office,0,69,0,100
606512-24062012,Winter,6100,1,school,0,59,0,100
606521-24062012,Winter,6100,1,industry_facility,0,12,0,100
606580-24062012,Winter,1100,0,restaurant,0,7,0,100
606611-24062012,Winter,6200,1,industry_facility,0,7,0,100
606885-25062012,Winter,6990,2,industry_facility,0,3,0,100
606917-25062012,Winter,6100,2,school,0,15,0,100
606929-25062012,Winter,7100,0,others,0,1,0,100
607026-25062012,Winter,6110,1,apartment,0,15,0,100
607032-25062012,Winter,6900,2,shopping_mall,0,6,0,100
607197-25062012,Winter,6110,2,apartment,0,3,0,100
607460-26062012,Winter,6200,0,tansport,0,17,0,100
607669-26062012,Winter,0,0,office,0,5,0,100
607674-26062012,Winter,0,0,tansport,0,1,0,100
607692-26062012,Winter,0,0,hotel,0,2,0,100
607697-26062012,Winter,0,0,apartment,0,11,0,100
607729-26062012,Winter,0,0,hospital,0,6,0,100
607746-26062012,Winter,0,0,school,0,6,0,100
607806-26062012,Winter,0,0,public_facility,0,8,0,100
607820-26062012,Winter,0,0,house,0,5,0,100
607849-26062012,Winter,0,0,shopping_mall,0,2,0,100
607903-26062012,Winter,0,0,industry_facility,0,1,0,100
608439-27062012,Winter,6290,0,school,0,8,0,100
608459-27062012,Winter,1100,1,others,0,66,0,100
608469-27062012,Winter,6900,1,rest_home,0,59,0,100
609368-29062012,Winter,7110,0,others,0,12,0,100
609536-29062012,Winter,6110,2,others,0,8,0,100
609610-29062012,Winter,1100,1,apartment,0,12,0,100
609712-30062012,Winter,1900,0,apartment,0,3,0,100
609746-30062012,Winter,1900,1,apartment,0,1,0,100
609765-30062012,Winter,1900,2,apartment,0,1,0,100
609974-30062012,Winter,1100,2,apartment,0,5,0,100
610292-30062012,Winter,1900,3,apartment,0,1,0,100
610434-01072012,Winter,1900,4,apartment,0,1,0,100
610471-01072012,Winter,1100,2,school,0,7,0,100
610836-01072012,Winter,0,1,industry_facility,0,1,0,100
611237-02072012,Winter,6200,1,apartment,0,27,0,100
611309-02072012,Winter,6900,2,office,0,3,0,100
611320-02072012,Winter,6120,0,industry_facility,0,9,0,100
611321-02072012,Winter,1170,0,industry_facility,0,3,0,100
611408-03072012,Winter,6120,1,industry_facility,0,1,0,100
611409-03072012,Winter,1170,1,industry_facility,0,1,0,100
611562-03072012,Winter,6900,3,office,0,2,0,100
611691-03072012,Winter,6200,2,shopping_mall,0,5,0,100
611808-03072012,Winter,6200,3,shopping_mall,0,2,0,100
611828-03072012,Winter,6200,4,shopping_mall,0,1,0,100
611912-03072012,Winter,6900,4,apartment,0,3,0,100
611946-04072012,Winter,6100,3,others,0,12,0,100
612022-04072012,Winter,6900,5,apartment,0,2,0,100
612378-04072012,Winter,6110,2,school,0,13,0,100
612533-05072012,Winter,6100,4,others,0,6,0,100
612694-05072012,Winter,6110,3,school,0,6,0,100
613265-06072012,Winter,6100,3,hospital,0,9,0,100
613591-07072012,Winter,6110,0,shopping_mall,0,21,0,100
614644-08072012,Winter,1900,0,shopping_mall,0,3,0,100
615681-10072012,Winter,6120,0,office,0,2,0,100
615774-11072012,Winter,1100,1,public_facility,0,10,0,100
616597-12072012,Winter,1100,1,office,0,13,0,100
616677-12072012,Winter,1100,2,office,0,5,0,100
616729-13072012,Winter,1100,3,office,0,3,0,100
616750-13072012,Winter,6110,1,hotel,0,3,0,100
616766-13072012,Winter,1100,1,shopping_mall,0,14,0,100
616870-13072012,Winter,1900,0,public_facility,0,1,0,100
616949-13072012,Winter,6200,1,school,0,5,0,100
617019-13072012,Winter,1100,4,office,0,2,0,100
617036-13072012,Winter,6100,1,rest_home,0,42,0,100
617374-14072012,Winter,6900,2,hospital,0,24,0,100
617531-14072012,Winter,6990,3,others,0,26,0,100
617744-14072012,Winter,1100,2,public_facility,0,1,0,100
618960-17072012,Winter,6200,2,industry_facility,0,1,0,100
618980-17072012,Winter,6110,1,public_facility,0,13,0,100
619240-17072012,Winter,6100,2,rest_home,0,9,0,100
619332-17072012,Winter,6990,4,apartment,0,3,0,100
619334-17072012,Winter,6990,5,apartment,0,1,0,100
619336-17072012,Winter,6990,6,apartment,0,1,0,100
619344-17072012,Winter,6990,7,apartment,0,1,0,100
619610-18072012,Winter,6990,8,apartment,0,1,0,100
620418-19072012,Winter,6990,3,school,0,2,0,100
621079-21072012,Winter,6200,1,office,0,4,0,100
621628-22072012,Winter,1200,0,apartment,0,2,0,100
621642-22072012,Winter,1200,1,apartment,0,1,0,100
622375-23072012,Winter,1100,0,tansport,0,30,0,100
622533-24072012,Winter,1900,0,others,0,19,0,100
622656-24072012,Winter,6100,3,rest_home,0,7,0,100
622802-24072012,Winter,6990,2,office,0,11,0,100
623059-25072012,Winter,6900,2,rest_home,0,8,0,100
624151-27072012,Winter,1120,2,others,0,2,0,100
624582-28072012,Winter,6990,3,office,0,3,0,100
624621-28072012,Winter,6990,4,office,0,3,0,100
625663-30072012,Winter,6200,1,hotel,0,8,0,100
625734-30072012,Winter,6990,2,public_facility,0,9,0,100
626267-31072012,Winter,1120,0,hotel,0,3,0,100
626340-31072012,Winter,6100,1,shopping_mall,0,40,0,100
626426-31072012,Winter,6990,3,hospital,0,7,0,100
626786-01082012,Winter,6100,5,others,0,2,0,100
627055-01082012,Winter,1200,0,office,0,2,0,100
627197-01082012,Winter,1200,1,office,0,1,0,100
627205-01082012,Winter,6110,1,industry_facility,0,4,0,100
627266-01082012,Winter,1200,2,office,0,1,0,100
627308-02082012,Winter,1200,3,others,0,1,0,100
627325-02082012,Winter,6100,6,others,0,1,0,100
627652-02082012,Winter,6100,7,others,0,1,0,100
627694-02082012,Winter,6990,3,shopping_mall,0,10,0,100
627812-02082012,Winter,1200,4,office,0,1,0,100
627895-03082012,Winter,6100,8,others,0,1,0,100
627919-03082012,Winter,6990,3,public_facility,0,3,0,100
628745-04082012,Winter,6200,1,hospital,0,5,0,100
629438-05082012,Winter,6990,4,shopping_mall,0,5,0,100
629467-05082012,Winter,6990,5,shopping_mall,0,2,0,100
632812-10082012,Winter,6200,1,rest_home,0,10,0,100
634199-11082012,Winter,6100,2,apartment,0,12,0,100
634684-11082012,Winter,6900,1,restaurant,0,2,0,100
634868-12082012,Winter,1100,3,others,0,7,0,100
635379-12082012,Winter,1100,4,others,0,2,0,100
636182-14082012,Winter,6100,1,house,0,6,0,100
637517-16082012,Winter,1190,0,office,0,1,0,100
638388-17082012,Winter,6110,2,public_facility,0,2,0,100
638961-17082012,Winter,6110,3,public_facility,0,1,0,100
639005-18082012,Winter,6110,4,public_facility,0,1,0,100
641422-21082012,Winter,6110,1,rest_home,0,1,0,100
642430-22082012,Winter,6100,4,hospital,0,1,0,100
645140-26082012,Winter,6100,2,industry_facility,0,1,0,100
645891-27082012,Winter,6990,2,rest_home,0,5,0,100
646614-28082012,Winter,6990,4,others,0,13,0,100
646972-29082012,Winter,6990,6,others,0,7,0,100
648630-31082012,Winter,1120,3,others,0,1,0,100
648702-31082012,Winter,6900,3,hospital,0,8,0,100
648870-31082012,Winter,6200,2,others,0,3,0,100
649184-01092012,Spring,1900,1,others,0,4,0,100
649287-01092012,Spring,1900,0,industry_facility,0,1,0,100
649298-01092012,Spring,6990,2,others,0,86,0,100
649314-01092012,Spring,1100,0,restaurant,0,11,0,100
649324-01092012,Spring,6900,1,rest_home,0,63,0,100
649472-01092012,Spring,1100,0,hotel,0,38,0,100
649480-01092012,Spring,6990,3,others,0,24,0,100
649607-01092012,Spring,6900,2,apartment,0,15,0,100
649774-01092012,Spring,6990,4,others,0,10,0,100
649891-01092012,Spring,6900,2,others,0,67,0,100
650434-02092012,Spring,6900,1,hotel,0,47,0,100
650581-02092012,Spring,6100,1,tansport,0,18,0,100
650652-02092012,Spring,1100,0,tansport,0,34,0,100
650814-02092012,Spring,1120,0,hotel,0,6,0,100
650912-03092012,Spring,6900,2,hospital,0,19,0,100
650965-03092012,Spring,6990,1,industry_facility,0,25,0,100
650990-03092012,Spring,6990,1,hospital,0,84,0,100
651062-03092012,Spring,6110,0,hospital,0,32,0,100
651257-03092012,Spring,6990,2,apartment,0,16,0,100
651617-03092012,Spring,6900,1,house,0,6,0,100
651659-03092012,Spring,6110,1,apartment,0,7,0,100
652013-04092012,Spring,6200,1,others,0,40,0,100
652087-04092012,Spring,6900,2,house,0,2,0,100
652093-04092012,Spring,1100,1,office,0,11,0,100
652106-04092012,Spring,1100,2,office,0,6,0,100
652277-04092012,Spring,6200,2,others,0,6,0,100
653329-05092012,Spring,6100,2,others,0,34,0,100
653376-05092012,Spring,6100,3,others,0,7,0,100
653653-05092012,Spring,1100,1,shopping_mall,0,21,0,100
653664-05092012,Spring,1100,1,public_facility,0,12,0,100
653741-05092012,Spring,6100,2,hotel,0,8,0,100
653814-05092012,Spring,6990,3,apartment,0,5,0,100
653868-05092012,Spring,6100,3,hotel,0,3,0,100
653912-05092012,Spring,1100,2,public_facility,0,6,0,100
654130-06092012,Spring,6100,1,office,0,16,0,100
654239-06092012,Spring,6110,1,school,0,59,0,100
654301-06092012,Spring,6900,1,industry_facility,0,35,0,100
654403-06092012,Spring,6990,1,school,0,55,0,100
654458-06092012,Spring,6100,1,school,0,35,0,100
654527-06092012,Spring,6100,1,shopping_mall,0,41,0,100
654834-06092012,Spring,6100,0,house,0,45,0,100
654856-06092012,Spring,6100,1,house,0,7,0,100
654909-06092012,Spring,6110,1,others,0,37,0,100
654985-06092012,Spring,6100,1,apartment,0,98,0,100
655154-07092012,Spring,0,0,hotel,0,9,0,100
655301-07092012,Spring,6110,2,apartment,0,1,0,100
655309-07092012,Spring,6990,1,rest_home,0,51,0,100
655437-07092012,Spring,6110,0,shopping_mall,0,21,0,100
655863-07092012,Spring,0,1,public_facility,0,2,0,100
656291-08092012,Spring,6900,2,office,0,6,0,100
656359-08092012,Spring,6990,2,office,0,13,0,100
657419-09092012,Spring,6100,2,tansport,0,2,0,100
657446-09092012,Spring,6100,3,tansport,0,2,0,100
657539-09092012,Spring,6110,1,shopping_mall,0,4,0,100
657544-09092012,Spring,6100,4,tansport,0,1,0,100
657941-09092012,Spring,0,0,hospital,0,11,0,100
658555-10092012,Spring,0,0,house,0,5,0,100
658570-10092012,Spring,1100,0,hospital,0,18,0,100
658779-10092012,Spring,0,0,shopping_mall,0,2,0,100
658786-10092012,Spring,0,0,school,0,6,0,100
659262-11092012,Spring,6200,1,apartment,0,39,0,100
659319-11092012,Spring,6100,0,restaurant,0,17,0,100
659379-11092012,Spring,6100,2,shopping_mall,0,14,0,100
659893-11092012,Spring,6110,0,house,0,7,0,100
659927-12092012,Spring,6900,3,school,0,6,0,100
659954-12092012,Spring,6200,1,shopping_mall,0,30,0,100
660022-12092012,Spring,6900,4,school,0,1,0,100
660395-12092012,Spring,6100,1,rest_home,0,63,0,100
660440-12092012,Spring,6100,2,apartment,0,19,0,100
660523-12092012,Spring,6990,2,industry_facility,0,2,0,100
660822-13092012,Spring,6100,3,apartment,0,4,0,100
660831-13092012,Spring,1100,1,apartment,0,15,0,100
661099-13092012,Spring,6990,2,rest_home,0,8,0,100
661263-14092012,Spring,1100,1,hotel,0,7,0,100
661275-14092012,Spring,1100,2,hotel,0,3,0,100
661276-14092012,Spring,1100,3,hotel,0,1,0,100
661282-14092012,Spring,1100,4,hotel,0,1,0,100
661346-14092012,Spring,0,1,others,0,2,0,100
661524-14092012,Spring,0,0,rest_home,0,7,0,100
661528-14092012,Spring,6900,3,office,0,3,0,100
661785-14092012,Spring,6900,4,office,0,3,0,100
661790-14092012,Spring,6900,5,office,0,1,0,100
661987-15092012,Spring,6900,6,office,0,1,0,100
662003-15092012,Spring,6900,7,office,0,1,0,100
662162-15092012,Spring,6900,8,office,0,1,0,100
662531-15092012,Spring,6900,9,office,0,1,0,100
664049-18092012,Spring,6200,1,rest_home,0,7,0,100
664065-18092012,Spring,1120,1,others,0,5,0,100
664420-18092012,Spring,1120,2,others,0,1,0,100
664657-19092012,Spring,1120,1,hotel,0,2,0,100
664716-19092012,Spring,6900,3,public_facility,0,5,0,100
666275-21092012,Spring,6200,0,house,0,14,0,100
667404-22092012,Spring,6100,2,hospital,0,27,0,100
668175-23092012,Spring,0,0,public_facility,0,4,0,100
668413-24092012,Spring,6900,2,hotel,0,6,0,100
668414-24092012,Spring,6900,3,hotel,0,3,0,100
668416-24092012,Spring,6900,4,hotel,0,2,0,100
668995-24092012,Spring,1100,0,house,0,13,0,100
669917-26092012,Spring,6990,3,rest_home,0,2,0,100
669921-26092012,Spring,6990,4,rest_home,0,1,0,100
669965-26092012,Spring,1900,0,others,0,32,0,100
670050-26092012,Spring,6900,3,apartment,0,4,0,100
670613-27092012,Spring,6900,4,apartment,0,2,0,100
670891-27092012,Spring,6900,5,apartment,0,1,0,100
671085-27092012,Spring,6900,2,rest_home,0,10,0,100
671347-27092012,Spring,6900,3,rest_home,0,3,0,100
671454-28092012,Spring,6900,4,hospital,0,4,0,100
671463-28092012,Spring,6900,5,hospital,0,3,0,100
671475-28092012,Spring,6900,6,hospital,0,2,0,100
671480-28092012,Spring,6900,7,hospital,0,1,0,100
671483-28092012,Spring,6900,8,hospital,0,1,0,100
671487-28092012,Spring,6900,9,hospital,0,1,0,100
671909-28092012,Spring,6900,10,hospital,0,1,0,100
671932-28092012,Spring,6900,11,hospital,0,1,0,100
673322-30092012,Spring,6200,0,industry_facility,0,19,0,100
673556-30092012,Spring,6100,2,school,0,6,0,100
673558-30092012,Spring,6100,3,school,0,1,0,100
673559-30092012,Spring,6100,4,school,0,1,0,100
673560-30092012,Spring,6100,5,school,0,1,0,100
673893-30092012,Spring,6200,1,public_facility,0,8,0,100
673936-30092012,Spring,6990,1,house,0,6,0,100
674358-01102012,Spring,6990,2,public_facility,0,18,0,100
675980-03102012,Spring,6200,1,house,0,2,0,100
676271-03102012,Spring,6900,2,shopping_mall,0,7,0,100
676303-04102012,Spring,6900,3,shopping_mall,0,4,0,100
676365-04102012,Spring,6900,4,shopping_mall,0,2,0,100
676804-04102012,Spring,6100,1,industry_facility,0,7,0,100
