incident_number,season,alarm_type,repeat_count,time_of_day2,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
602172-16062012,Winter,6900,0,Night-time,hotel,Week_ends,0,61,0,100
602181-16062012,Winter,6990,0,Night-time,shopping_mall,Week_ends,0,53,0,100
602192-16062012,Winter,6200,1,Night-time,others,Week_ends,0,4,0,100
602246-16062012,Winter,1100,0,Cooking-time,school,Week_ends,0,14,0,100
602299-16062012,Winter,6110,0,Office Hours,school,Week_ends,0,12,0,100
602311-16062012,Winter,6990,1,Office Hours,apartment,Week_ends,0,9,0,100
602324-16062012,Winter,6900,1,Office Hours,school,Week_ends,0,5,0,100
602334-16062012,Winter,6990,0,Office Hours,hotel,Week_ends,0,61,0,100
602335-16062012,Winter,6100,0,Office Hours,school,Week_ends,0,33,0,100
602380-16062012,Winter,1100,1,Cooking-time,school,Week_ends,0,5,0,100
602397-16062012,Winter,6110,0,Cooking-time,others,Week_ends,0,31,0,100
602461-16062012,Winter,6110,1,Office Hours,others,Week_ends,0,3,0,100
602491-16062012,Winter,6100,1,Office Hours,public_facility,Week_ends,0,5,0,100
602502-16062012,Winter,6990,0,Office Hours,rest_home,Week_ends,0,34,0,100
602544-16062012,Winter,6900,1,Cooking-time,apartment,Week_ends,0,12,0,100
602552-16062012,Winter,6100,1,Cooking-time,hospital,Week_ends,0,14,0,100
602591-16062012,Winter,6990,0,Cooking-time,hospital,Week_ends,0,55,0,100
602600-16062012,Winter,6900,0,Cooking-time,restaurant,Week_ends,0,9,0,100
602622-16062012,Winter,6200,0,Night-time,rest_home,Week_ends,0,5,0,100
602647-16062012,Winter,6990,1,Night-time,others,Week_ends,0,44,0,100
602665-17062012,Winter,6100,1,Night-time,others,Week_ends,0,32,0,100
602673-17062012,Winter,6990,0,Night-time,school,Week_ends,0,26,0,100
602675-17062012,Winter,6100,0,Night-time,rest_home,Week_ends,0,26,0,100
602676-17062012,Winter,6100,0,Night-time,school,Week_ends,0,32,0,100
602686-17062012,Winter,6990,1,Night-time,school,Week_ends,0,7,0,100
602690-17062012,Winter,1120,0,Night-time,industry_facility,Week_ends,0,1,0,100
602707-17062012,Winter,6990,2,Night-time,school,Week_ends,0,1,0,100
602708-17062012,Winter,1100,0,Night-time,office,Week_ends,0,4,0,100
602735-17062012,Winter,1100,0,Night-time,shopping_mall,Week_ends,0,10,0,100
602759-17062012,Winter,1100,0,Cooking-time,others,Week_ends,0,58,0,100
602804-17062012,Winter,6990,1,Office Hours,hotel,Week_ends,0,9,0,100
602805-17062012,Winter,6100,0,Office Hours,office,Week_ends,0,15,0,100
602822-17062012,Winter,6990,1,Cooking-time,shopping_mall,Week_ends,0,17,0,100
602829-17062012,Winter,6200,0,Cooking-time,office,Week_ends,0,8,0,100
602844-17062012,Winter,6900,1,Cooking-time,shopping_mall,Week_ends,0,8,0,100
602900-17062012,Winter,6200,0,Office Hours,industry_facility,Week_ends,0,2,0,100
602906-17062012,Winter,6990,1,Office Hours,shopping_mall,Week_ends,0,9,0,100
602944-17062012,Winter,6990,1,Office Hours,hospital,Week_ends,0,5,0,100
602989-17062012,Winter,6900,2,Cooking-time,apartment,Week_ends,0,6,0,100
603022-17062012,Winter,1100,0,Cooking-time,office,Week_ends,0,10,0,100
603033-17062012,Winter,6900,3,Cooking-time,apartment,Week_ends,0,1,0,100
603158-18062012,Winter,6900,0,Night-time,industry_facility,Work_days,0,25,0,100
603190-18062012,Winter,6100,2,Cooking-time,hospital,Work_days,0,10,0,100
603219-18062012,Winter,6110,0,Cooking-time,rest_home,Work_days,0,7,0,100
603236-18062012,Winter,6990,1,Cooking-time,hotel,Work_days,0,32,0,100
603279-18062012,Winter,6990,0,Office Hours,industry_facility,Work_days,0,40,0,100
603309-18062012,Winter,6900,1,Office Hours,office,Work_days,0,10,0,100
603363-18062012,Winter,6200,0,Cooking-time,office,Work_days,0,19,0,100
603405-18062012,Winter,1100,0,Office Hours,hospital,Work_days,0,2,0,100
603434-18062012,Winter,6200,0,Office Hours,public_facility,Work_days,0,17,0,100
603444-18062012,Winter,1100,0,Office Hours,industry_facility,Work_days,0,4,0,100
603461-18062012,Winter,1120,1,Office Hours,others,Work_days,0,2,0,100
603477-18062012,Winter,1100,1,Office Hours,industry_facility,Work_days,0,1,0,100
603491-18062012,Winter,6990,1,Office Hours,apartment,Work_days,0,27,0,100
603510-18062012,Winter,1100,1,Cooking-time,hospital,Work_days,0,1,0,100
603536-18062012,Winter,6110,0,Cooking-time,office,Work_days,0,32,0,100
603595-19062012,Winter,6200,0,Night-time,school,Work_days,0,10,0,100
603662-19062012,Winter,6200,1,Night-time,shopping_mall,Work_days,0,10,0,100
603735-19062012,Winter,6100,0,Cooking-time,tansport,Work_days,0,40,0,100
603744-19062012,Winter,6990,0,Office Hours,tansport,Work_days,0,8,0,100
603753-19062012,Winter,6200,0,Office Hours,industry_facility,Work_days,0,5,0,100
603754-19062012,Winter,6900,1,Office Hours,shopping_mall,Work_days,0,7,0,100
603785-19062012,Winter,6990,1,Office Hours,public_facility,Work_days,0,16,0,100
603823-19062012,Winter,1100,0,Cooking-time,hospital,Work_days,0,6,0,100
603848-19062012,Winter,6200,0,Cooking-time,shopping_mall,Work_days,0,47,0,100
603859-19062012,Winter,1100,0,Cooking-time,house,Work_days,0,4,0,100
603860-19062012,Winter,6100,0,Cooking-time,house,Work_days,0,23,0,100
603865-19062012,Winter,1100,0,Office Hours,house,Work_days,0,4,0,100
603955-19062012,Winter,6200,0,Cooking-time,hospital,Work_days,0,16,0,100
603972-19062012,Winter,6900,0,Cooking-time,restaurant,Work_days,0,13,0,100
604039-19062012,Winter,6200,0,Night-time,rest_home,Work_days,0,6,0,100
604097-20062012,Winter,6100,2,Night-time,hospital,Work_days,0,9,0,100
604103-20062012,Winter,6900,1,Night-time,office,Work_days,0,12,0,100
604106-20062012,Winter,6100,0,Night-time,rest_home,Work_days,0,53,0,100
604129-20062012,Winter,6990,0,Night-time,rest_home,Work_days,0,77,0,100
604132-20062012,Winter,6900,1,Cooking-time,industry_facility,Work_days,0,7,0,100
604232-20062012,Winter,6990,1,Office Hours,industry_facility,Work_days,0,5,0,100
604352-20062012,Winter,6200,0,Office Hours,shopping_mall,Work_days,0,20,0,100
604354-20062012,Winter,6110,0,Office Hours,hospital,Work_days,0,9,0,100
604423-20062012,Winter,6100,0,Office Hours,house,Work_days,0,11,0,100
604602-20062012,Winter,6990,1,Night-time,public_facility,Work_days,0,22,0,100
604622-20062012,Winter,1100,0,Night-time,public_facility,Work_days,0,26,0,100
604655-21062012,Winter,6100,0,Night-time,shopping_mall,Work_days,0,47,0,100
604671-21062012,Winter,6900,2,Night-time,others,Work_days,0,14,0,100
604681-21062012,Winter,1100,0,Night-time,industry_facility,Work_days,0,5,0,100
604692-21062012,Winter,1100,0,Night-time,hospital,Work_days,0,2,0,100
604813-21062012,Winter,6990,1,Office Hours,rest_home,Work_days,0,12,0,100
604850-21062012,Winter,0,0,Cooking-time,others,Work_days,0,17,0,100
604986-21062012,Winter,6100,1,Cooking-time,apartment,Work_days,0,37,0,100
604993-21062012,Winter,6990,2,Cooking-time,shopping_mall,Work_days,0,9,0,100
605105-22062012,Winter,6110,0,Night-time,rest_home,Work_days,0,4,0,100
605220-22062012,Winter,6200,0,Cooking-time,hotel,Work_days,0,37,0,100
605237-22062012,Winter,6200,0,Office Hours,hotel,Work_days,0,25,0,100
605258-22062012,Winter,1370,0,Office Hours,others,Work_days,0,1,0,100
605302-22062012,Winter,6990,2,Cooking-time,apartment,Work_days,0,10,0,100
605328-22062012,Winter,6110,0,Cooking-time,hotel,Work_days,0,21,0,100
605600-22062012,Winter,0,0,Cooking-time,rest_home,Work_days,0,3,0,100
605638-22062012,Winter,6110,0,Night-time,public_facility,Work_days,0,14,0,100
605723-23062012,Winter,6200,0,Night-time,school,Week_ends,0,7,0,100
605730-23062012,Winter,6900,0,Night-time,house,Week_ends,0,3,0,100
605734-23062012,Winter,6990,1,Night-time,shopping_mall,Week_ends,0,10,0,100
605832-23062012,Winter,6100,1,Cooking-time,tansport,Week_ends,0,1,0,100
606038-23062012,Winter,6990,0,Office Hours,house,Week_ends,0,9,0,100
606039-23062012,Winter,6990,1,Office Hours,house,Week_ends,0,2,0,100
606087-23062012,Winter,0,0,Office Hours,others,Week_ends,0,3,0,100
606190-23062012,Winter,6990,1,Cooking-time,hotel,Week_ends,0,13,0,100
606198-23062012,Winter,0,0,Cooking-time,others,Week_ends,0,1,0,100
606292-23062012,Winter,6100,0,Night-time,industry_facility,Week_ends,0,8,0,100
606294-23062012,Winter,6110,0,Night-time,school,Week_ends,0,13,0,100
606398-24062012,Winter,6990,0,Night-time,hospital,Week_ends,0,19,0,100
606399-24062012,Winter,6900,1,Night-time,hotel,Week_ends,0,11,0,100
606401-24062012,Winter,6100,1,Night-time,apartment,Week_ends,0,5,0,100
606446-24062012,Winter,6990,0,Night-time,industry_facility,Week_ends,0,11,0,100
606455-24062012,Winter,6100,1,Night-time,hospital,Week_ends,0,13,0,100
606459-24062012,Winter,6990,1,Night-time,office,Week_ends,0,8,0,100
606465-24062012,Winter,6200,0,Night-time,industry_facility,Week_ends,0,3,0,100
606496-24062012,Winter,6990,2,Cooking-time,apartment,Week_ends,0,4,0,100
606512-24062012,Winter,6100,1,Cooking-time,school,Week_ends,0,6,0,100
606521-24062012,Winter,6100,1,Cooking-time,industry_facility,Week_ends,0,2,0,100
606531-24062012,Winter,6900,2,Cooking-time,hotel,Week_ends,0,3,0,100
606541-24062012,Winter,6990,1,Cooking-time,industry_facility,Week_ends,0,3,0,100
606567-24062012,Winter,6110,0,Office Hours,others,Week_ends,0,12,0,100
606580-24062012,Winter,1100,0,Office Hours,restaurant,Week_ends,0,1,0,100
606611-24062012,Winter,6200,1,Cooking-time,industry_facility,Week_ends,0,2,0,100
606719-24062012,Winter,6900,1,Office Hours,public_facility,Week_ends,0,3,0,100
606755-24062012,Winter,6990,1,Office Hours,others,Week_ends,0,22,0,100
606885-25062012,Winter,6990,2,Night-time,industry_facility,Work_days,0,2,0,100
606895-25062012,Winter,6990,2,Night-time,others,Work_days,0,23,0,100
606905-25062012,Winter,6900,0,Night-time,public_facility,Work_days,0,64,0,100
606917-25062012,Winter,6100,2,Night-time,school,Work_days,0,2,0,100
606929-25062012,Winter,7100,0,Cooking-time,others,Work_days,0,1,0,100
606974-25062012,Winter,6110,0,Cooking-time,hospital,Work_days,0,25,0,100
607005-25062012,Winter,1100,0,Office Hours,office,Work_days,0,11,0,100
607026-25062012,Winter,6110,1,Office Hours,apartment,Work_days,0,3,0,100
607032-25062012,Winter,6900,2,Office Hours,shopping_mall,Work_days,0,2,0,100
607197-25062012,Winter,6110,2,Office Hours,apartment,Work_days,0,1,0,100
607384-25062012,Winter,6200,0,Night-time,industry_facility,Work_days,0,5,0,100
607437-26062012,Winter,6990,1,Night-time,industry_facility,Work_days,0,8,0,100
607460-26062012,Winter,6200,0,Cooking-time,tansport,Work_days,0,6,0,100
607524-26062012,Winter,1100,0,Cooking-time,industry_facility,Work_days,0,6,0,100
607669-26062012,Winter,0,0,Office Hours,office,Work_days,0,1,0,100
607671-26062012,Winter,0,0,Office Hours,rest_home,Work_days,0,2,0,100
607674-26062012,Winter,0,0,Cooking-time,tansport,Work_days,0,1,0,100
607692-26062012,Winter,0,0,Cooking-time,hotel,Work_days,0,2,0,100
607697-26062012,Winter,0,0,Cooking-time,apartment,Work_days,0,4,0,100
607725-26062012,Winter,0,0,Cooking-time,office,Work_days,0,4,0,100
607729-26062012,Winter,0,0,Cooking-time,hospital,Work_days,0,3,0,100
607746-26062012,Winter,0,0,Cooking-time,school,Work_days,0,4,0,100
607806-26062012,Winter,0,0,Office Hours,public_facility,Work_days,0,2,0,100
607820-26062012,Winter,0,0,Office Hours,house,Work_days,0,1,0,100
607849-26062012,Winter,0,0,Office Hours,shopping_mall,Work_days,0,1,0,100
607867-26062012,Winter,0,0,Cooking-time,house,Work_days,0,2,0,100
607903-26062012,Winter,0,0,Cooking-time,industry_facility,Work_days,0,1,0,100
607922-26062012,Winter,0,0,Cooking-time,public_facility,Work_days,0,3,0,100
608004-26062012,Winter,0,0,Night-time,others,Work_days,0,5,0,100
608021-27062012,Winter,0,0,Night-time,public_facility,Work_days,0,3,0,100
608055-27062012,Winter,0,0,Night-time,apartment,Work_days,0,3,0,100
608065-27062012,Winter,0,0,Night-time,shopping_mall,Work_days,0,1,0,100
608068-27062012,Winter,0,0,Night-time,house,Work_days,0,2,0,100
608439-27062012,Winter,6290,0,Cooking-time,school,Work_days,0,4,0,100
608459-27062012,Winter,1100,1,Cooking-time,others,Work_days,0,19,0,100
608469-27062012,Winter,6900,1,Cooking-time,rest_home,Work_days,0,21,0,100
608580-28062012,Winter,1100,0,Night-time,hotel,Work_days,0,6,0,100
608653-28062012,Winter,1100,0,Cooking-time,public_facility,Work_days,0,24,0,100
608772-28062012,Winter,6900,0,Office Hours,tansport,Work_days,0,38,0,100
608892-28062012,Winter,6900,1,Office Hours,rest_home,Work_days,0,14,0,100
608942-28062012,Winter,6100,1,Office Hours,others,Work_days,0,53,0,100
608960-28062012,Winter,6100,1,Office Hours,apartment,Work_days,0,16,0,100
608990-28062012,Winter,6900,0,Cooking-time,house,Work_days,0,36,0,100
609118-29062012,Winter,6990,1,Night-time,school,Work_days,0,16,0,100
609122-29062012,Winter,6110,0,Night-time,industry_facility,Work_days,0,7,0,100
609167-29062012,Winter,6100,1,Night-time,public_facility,Work_days,0,14,0,100
609189-29062012,Winter,6900,1,Cooking-time,hotel,Work_days,0,14,0,100
609199-29062012,Winter,6110,1,Cooking-time,others,Work_days,0,9,0,100
609265-29062012,Winter,6900,2,Office Hours,others,Work_days,0,16,0,100
609288-29062012,Winter,6990,1,Office Hours,hospital,Work_days,0,15,0,100
609334-29062012,Winter,6100,1,Cooking-time,hospital,Work_days,0,33,0,100
609341-29062012,Winter,6990,1,Cooking-time,school,Work_days,0,18,0,100
609368-29062012,Winter,7110,0,Cooking-time,others,Work_days,0,6,0,100
609536-29062012,Winter,6110,2,Cooking-time,others,Work_days,0,3,0,100
609562-29062012,Winter,6100,1,Cooking-time,public_facility,Work_days,0,14,0,100
609610-29062012,Winter,1100,1,Cooking-time,apartment,Work_days,0,4,0,100
609643-29062012,Winter,6990,2,Cooking-time,hospital,Work_days,0,10,0,100
609712-30062012,Winter,1900,0,Night-time,apartment,Week_ends,0,1,0,100
609733-30062012,Winter,1100,1,Night-time,others,Week_ends,0,11,0,100
609746-30062012,Winter,1900,1,Night-time,apartment,Week_ends,0,1,0,100
609747-30062012,Winter,6900,0,Night-time,hospital,Week_ends,0,23,0,100
609752-30062012,Winter,6900,1,Night-time,apartment,Week_ends,0,11,0,100
609765-30062012,Winter,1900,2,Night-time,apartment,Week_ends,0,1,0,100
609767-30062012,Winter,6110,0,Night-time,hospital,Week_ends,0,2,0,100
609793-30062012,Winter,1100,0,Cooking-time,hotel,Week_ends,0,5,0,100
609860-30062012,Winter,6990,0,Office Hours,school,Week_ends,0,28,0,100
609882-30062012,Winter,6990,2,Office Hours,apartment,Week_ends,0,3,0,100
609899-30062012,Winter,6110,1,Office Hours,office,Week_ends,0,1,0,100
609922-30062012,Winter,6100,2,Cooking-time,others,Week_ends,0,7,0,100
609945-30062012,Winter,6200,0,Cooking-time,tansport,Week_ends,0,4,0,100
609974-30062012,Winter,1100,2,Cooking-time,apartment,Week_ends,0,2,0,100
610014-30062012,Winter,6990,0,Office Hours,industry_facility,Week_ends,0,10,0,100
610283-30062012,Winter,6110,0,Night-time,hotel,Week_ends,0,3,0,100
610292-30062012,Winter,1900,3,Night-time,apartment,Week_ends,0,1,0,100
610320-01072012,Winter,6990,0,Night-time,tansport,Week_ends,0,5,0,100
610414-01072012,Winter,1100,0,Night-time,school,Week_ends,0,6,0,100
610434-01072012,Winter,1900,4,Cooking-time,apartment,Week_ends,0,1,0,100
610471-01072012,Winter,1100,2,Office Hours,school,Week_ends,0,2,0,100
610517-01072012,Winter,6990,1,Cooking-time,school,Week_ends,0,7,0,100
610585-01072012,Winter,6110,0,Office Hours,public_facility,Week_ends,0,6,0,100
610652-01072012,Winter,1100,0,Office Hours,others,Week_ends,0,19,0,100
610836-01072012,Winter,0,1,Night-time,industry_facility,Week_ends,0,1,0,100
610861-02072012,Winter,7110,0,Night-time,others,Work_days,0,2,0,100
610870-02072012,Winter,1100,0,Night-time,office,Work_days,0,19,0,100
611033-02072012,Winter,6110,1,Cooking-time,apartment,Work_days,0,7,0,100
611105-02072012,Winter,6900,1,Cooking-time,office,Work_days,0,21,0,100
611237-02072012,Winter,6200,1,Office Hours,apartment,Work_days,0,6,0,100
611252-02072012,Winter,6100,1,Cooking-time,school,Work_days,0,22,0,100
611267-02072012,Winter,6990,0,Cooking-time,tansport,Work_days,0,18,0,100
611309-02072012,Winter,6900,2,Cooking-time,office,Work_days,0,2,0,100
611320-02072012,Winter,6120,0,Cooking-time,industry_facility,Work_days,0,4,0,100
611321-02072012,Winter,1170,0,Cooking-time,industry_facility,Work_days,0,1,0,100
611333-02072012,Winter,6900,2,Cooking-time,apartment,Work_days,0,4,0,100
611403-03072012,Winter,6900,3,Night-time,apartment,Work_days,0,3,0,100
611408-03072012,Winter,6120,1,Night-time,industry_facility,Work_days,0,1,0,100
611409-03072012,Winter,1170,1,Night-time,industry_facility,Work_days,0,1,0,100
611424-03072012,Winter,6110,0,Night-time,office,Work_days,0,8,0,100
