incident_number,season,alarm_type,repeat_count,time_of_day2,build_type,true_alarm,false_alarm,true_percentage,false_percentage
602192-16062012,Winter,6200,1,Night-time,others,0,8,0,100
602311-16062012,Winter,6990,1,Office Hours,apartment,0,36,0,100
602380-16062012,Winter,1100,1,Cooking-time,school,0,12,0,100
602461-16062012,Winter,6110,1,Office Hours,others,0,9,0,100
602491-16062012,Winter,6100,1,Office Hours,public_facility,0,15,0,100
602552-16062012,Winter,6100,1,Cooking-time,hospital,0,47,0,100
602600-16062012,Winter,6900,0,Cooking-time,restaurant,0,22,0,100
602622-16062012,Winter,6200,0,Night-time,rest_home,0,11,0,100
602675-17062012,Winter,6100,0,Night-time,rest_home,0,79,0,100
602686-17062012,Winter,6990,1,Night-time,school,0,23,0,100
602690-17062012,Winter,1120,0,Night-time,industry_facility,0,1,0,100
602707-17062012,Winter,6990,2,Night-time,school,0,3,0,100
602708-17062012,Winter,1100,0,Night-time,office,0,23,0,100
602804-17062012,Winter,6990,1,Office Hours,hotel,0,19,0,100
602829-17062012,Winter,6200,0,Cooking-time,office,0,27,0,100
602844-17062012,Winter,6900,1,Cooking-time,shopping_mall,0,26,0,100
602900-17062012,Winter,6200,0,Office Hours,industry_facility,0,7,0,100
602906-17062012,Winter,6990,1,Office Hours,shopping_mall,0,39,0,100
602944-17062012,Winter,6990,1,Office Hours,hospital,0,20,0,100
602989-17062012,Winter,6900,2,Cooking-time,apartment,0,10,0,100
603033-17062012,Winter,6900,3,Cooking-time,apartment,0,3,0,100
603190-18062012,Winter,6100,2,Cooking-time,hospital,0,11,0,100
603219-18062012,Winter,6110,0,Cooking-time,rest_home,0,9,0,100
603236-18062012,Winter,6990,1,Cooking-time,hotel,0,45,0,100
603279-18062012,Winter,6990,0,Office Hours,industry_facility,0,50,0,100
603309-18062012,Winter,6900,1,Office Hours,office,0,14,0,100
603405-18062012,Winter,1100,0,Office Hours,hospital,0,2,0,100
603434-18062012,Winter,6200,0,Office Hours,public_facility,0,27,0,100
603444-18062012,Winter,1100,0,Office Hours,industry_facility,0,4,0,100
