incident_number,season,alarm_type,repeat_count,time_of_day2,true_alarm,false_alarm,true_percentage,false_percentage
602192-16062012,Winter,6200,1,Night-time,0,43,0,100
602380-16062012,Winter,1100,1,Cooking-time,0,67,0,100
602461-16062012,Winter,6110,1,Office Hours,0,38,0,100
602690-17062012,Winter,1120,0,Night-time,0,18,0,100
602707-17062012,Winter,6990,2,Night-time,0,77,0,100
603461-18062012,Winter,1120,1,Office Hours,0,2,0,100
603477-18062012,Winter,1100,1,Office Hours,0,23,0,100
604850-21062012,Winter,0,0,Cooking-time,0,46,0,100
605258-22062012,Winter,1370,0,Office Hours,0,1,0,100
606087-23062012,Winter,0,0,Office Hours,0,18,0,100
606929-25062012,Winter,7100,0,Cooking-time,0,1,0,100
607197-25062012,Winter,6110,2,Office Hours,0,7,0,100
608004-26062012,Winter,0,0,Night-time,0,18,0,100
608439-27062012,Winter,6290,0,Cooking-time,0,4,0,100
609536-29062012,Winter,6110,2,Cooking-time,0,17,0,100
609712-30062012,Winter,1900,0,Night-time,0,6,0,100
609733-30062012,Winter,1100,1,Night-time,0,59,0,100
609746-30062012,Winter,1900,1,Night-time,0,1,0,100
609765-30062012,Winter,1900,2,Night-time,0,1,0,100
610292-30062012,Winter,1900,3,Night-time,0,1,0,100
610434-01072012,Winter,1900,4,Cooking-time,0,1,0,100
610471-01072012,Winter,1100,2,Office Hours,0,9,0,100
610836-01072012,Winter,0,1,Night-time,0,1,0,100
610861-02072012,Winter,7110,0,Night-time,0,4,0,100
611237-02072012,Winter,6200,1,Office Hours,0,36,0,100
611320-02072012,Winter,6120,0,Cooking-time,0,8,0,100
611321-02072012,Winter,1170,0,Cooking-time,0,2,0,100
611403-03072012,Winter,6900,3,Night-time,0,16,0,100
611408-03072012,Winter,6120,1,Night-time,0,1,0,100
611409-03072012,Winter,1170,1,Night-time,0,1,0,100
611562-03072012,Winter,6900,3,Office Hours,0,13,0,100
611691-03072012,Winter,6200,2,Office Hours,0,4,0,100
611808-03072012,Winter,6200,3,Cooking-time,0,3,0,100
611828-03072012,Winter,6200,4,Cooking-time,0,1,0,100
611912-03072012,Winter,6900,4,Night-time,0,8,0,100
611946-04072012,Winter,6100,3,Night-time,0,8,0,100
612022-04072012,Winter,6900,5,Cooking-time,0,5,0,100
612533-05072012,Winter,6100,4,Night-time,0,6,0,100
612694-05072012,Winter,6110,3,Office Hours,0,2,0,100
613102-06072012,Winter,6110,1,Night-time,0,32,0,100
613265-06072012,Winter,6100,3,Office Hours,0,12,0,100
613761-07072012,Winter,7110,0,Office Hours,0,11,0,100
