incident_number,season,alarm_type,repeat_count,work_end,true_alarm,false_alarm,true_percentage,false_percentage
602192-16062012,Winter,6200,1,Week_ends,0,38,0,100
602380-16062012,Winter,1100,1,Week_ends,0,48,0,100
602690-17062012,Winter,1120,0,Week_ends,0,12,0,100
603033-17062012,Winter,6900,3,Week_ends,0,13,0,100
603461-18062012,Winter,1120,1,Work_days,0,7,0,100
603477-18062012,Winter,1100,1,Work_days,0,101,0,100
604850-21062012,Winter,0,0,Work_days,0,74,0,100
605258-22062012,Winter,1370,0,Work_days,0,2,0,100
606087-23062012,Winter,0,0,Week_ends,0,8,0,100
606929-25062012,Winter,7100,0,Work_days,0,1,0,100
607197-25062012,Winter,6110,2,Work_days,0,26,0,100
608439-27062012,Winter,6290,0,Work_days,0,5,0,100
609712-30062012,Winter,1900,0,Week_ends,0,9,0,100
609746-30062012,Winter,1900,1,Week_ends,0,1,0,100
609765-30062012,Winter,1900,2,Week_ends,0,1,0,100
609922-30062012,Winter,6100,2,Week_ends,0,36,0,100
609974-30062012,Winter,1100,2,Week_ends,0,21,0,100
610292-30062012,Winter,1900,3,Week_ends,0,1,0,100
610434-01072012,Winter,1900,4,Week_ends,0,1,0,100
610836-01072012,Winter,0,1,Week_ends,0,1,0,100
611321-02072012,Winter,1170,0,Work_days,0,4,0,100
611408-03072012,Winter,6120,1,Work_days,0,3,0,100
611409-03072012,Winter,1170,1,Work_days,0,1,0,100
611691-03072012,Winter,6200,2,Work_days,0,13,0,100
611808-03072012,Winter,6200,3,Work_days,0,3,0,100
611828-03072012,Winter,6200,4,Work_days,0,1,0,100
611912-03072012,Winter,6900,4,Work_days,0,16,0,100
611946-04072012,Winter,6100,3,Work_days,0,27,0,100
612022-04072012,Winter,6900,5,Work_days,0,6,0,100
612533-05072012,Winter,6100,4,Work_days,0,10,0,100
612694-05072012,Winter,6110,3,Work_days,0,9,0,100
616729-13072012,Winter,1100,3,Work_days,0,9,0,100
616870-13072012,Winter,1900,0,Work_days,0,17,0,100
617019-13072012,Winter,1100,4,Work_days,0,4,0,100
617472-14072012,Winter,6110,3,Week_ends,0,3,0,100
617531-14072012,Winter,6990,3,Week_ends,0,12,0,100
619332-17072012,Winter,6990,4,Work_days,0,21,0,100
619336-17072012,Winter,6990,6,Work_days,0,8,0,100
619344-17072012,Winter,6990,7,Work_days,0,5,0,100
619610-18072012,Winter,6990,8,Work_days,0,3,0,100
621302-21072012,Winter,6110,2,Week_ends,0,5,0,100
621628-22072012,Winter,1200,0,Week_ends,0,2,0,100
621642-22072012,Winter,1200,1,Week_ends,0,1,0,100
624151-27072012,Winter,1120,2,Work_days,0,2,0,100
624621-28072012,Winter,6990,4,Week_ends,0,6,0,100
626786-01082012,Winter,6100,5,Work_days,0,3,0,100
627055-01082012,Winter,1200,0,Work_days,0,10,0,100
627197-01082012,Winter,1200,1,Work_days,0,4,0,100
627266-01082012,Winter,1200,2,Work_days,0,2,0,100
627308-02082012,Winter,1200,3,Work_days,0,1,0,100
627325-02082012,Winter,6100,6,Work_days,0,2,0,100
627652-02082012,Winter,6100,7,Work_days,0,1,0,100
627812-02082012,Winter,1200,4,Work_days,0,1,0,100
627895-03082012,Winter,6100,8,Work_days,0,1,0,100
629467-05082012,Winter,6990,5,Week_ends,0,1,0,100
634868-12082012,Winter,1100,3,Week_ends,0,9,0,100
635333-12082012,Winter,6120,0,Week_ends,0,3,0,100
635379-12082012,Winter,1100,4,Week_ends,0,7,0,100
637517-16082012,Winter,1190,0,Work_days,0,1,0,100
639005-18082012,Winter,6110,4,Week_ends,0,1,0,100
644735-25082012,Winter,6100,3,Week_ends,0,8,0,100
644757-25082012,Winter,6100,4,Week_ends,0,2,0,100
648630-31082012,Winter,1120,3,Work_days,0,1,0,100
649184-01092012,Spring,1900,1,Week_ends,0,3,0,100
649287-01092012,Spring,1900,0,Week_ends,0,17,0,100
649288-01092012,Spring,1120,0,Week_ends,0,16,0,100
649298-01092012,Spring,6990,2,Week_ends,0,59,0,100
649480-01092012,Spring,6990,3,Week_ends,0,13,0,100
649644-01092012,Spring,6290,0,Week_ends,0,2,0,100
650300-02092012,Spring,1100,1,Week_ends,0,33,0,100
651659-03092012,Spring,6110,1,Work_days,0,116,0,100
652277-04092012,Spring,6200,2,Work_days,0,17,0,100
653329-05092012,Spring,6100,2,Work_days,0,109,0,100
653376-05092012,Spring,6100,3,Work_days,0,25,0,100
653703-05092012,Spring,1900,1,Work_days,0,4,0,100
653814-05092012,Spring,6990,3,Work_days,0,38,0,100
653976-06092012,Spring,6990,4,Work_days,0,15,0,100
655863-07092012,Spring,0,1,Work_days,0,2,0,100
657419-09092012,Spring,6100,2,Week_ends,0,22,0,100
657446-09092012,Spring,6100,3,Week_ends,0,8,0,100
657544-09092012,Spring,6100,4,Week_ends,0,3,0,100
657941-09092012,Spring,0,0,Week_ends,0,27,0,100
660022-12092012,Spring,6900,4,Work_days,0,13,0,100
661276-14092012,Spring,1100,3,Work_days,0,16,0,100
661282-14092012,Spring,1100,4,Work_days,0,8,0,100
661790-14092012,Spring,6900,5,Work_days,0,6,0,100
661987-15092012,Spring,6900,6,Week_ends,0,2,0,100
662003-15092012,Spring,6900,7,Week_ends,0,1,0,100
662162-15092012,Spring,6900,8,Week_ends,0,1,0,100
662531-15092012,Spring,6900,9,Week_ends,0,1,0,100
662782-16092012,Spring,0,1,Week_ends,0,2,0,100
664065-18092012,Spring,1120,1,Work_days,0,7,0,100
664420-18092012,Spring,1120,2,Work_days,0,1,0,100
668093-23092012,Spring,1100,2,Week_ends,0,6,0,100
671475-28092012,Spring,6900,6,Work_days,0,5,0,100
671480-28092012,Spring,6900,7,Work_days,0,2,0,100
671483-28092012,Spring,6900,8,Work_days,0,2,0,100
671487-28092012,Spring,6900,9,Work_days,0,1,0,100
671909-28092012,Spring,6900,10,Work_days,0,1,0,100
671932-28092012,Spring,6900,11,Work_days,0,1,0,100
672864-29092012,Spring,6200,2,Week_ends,0,9,0,100
673560-30092012,Spring,6100,5,Week_ends,0,1,0,100
679050-06102012,Spring,6110,2,Week_ends,0,4,0,100
679312-06102012,Spring,6900,3,Week_ends,0,17,0,100
680780-09102012,Spring,6200,3,Work_days,0,6,0,100
681404-10102012,Spring,6200,4,Work_days,0,4,0,100
681475-10102012,Spring,6110,3,Work_days,0,4,0,100
683592-13102012,Spring,7110,0,Week_ends,0,13,0,100
685522-16102012,Spring,1170,0,Work_days,0,2,0,100
689881-22102012,Spring,6110,4,Work_days,0,1,0,100
697576-01112012,Spring,1200,0,Work_days,0,8,0,100
702563-07112012,Spring,6290,1,Work_days,0,1,0,100
703152-08112012,Spring,1900,2,Work_days,0,2,0,100
703171-08112012,Spring,1900,3,Work_days,0,2,0,100
704497-10112012,Spring,1160,0,Week_ends,0,1,0,100
704574-10112012,Spring,6110,3,Week_ends,0,1,0,100
708026-15112012,Spring,6600,0,Work_days,0,2,0,100
713294-24112012,Spring,7110,1,Week_ends,0,3,0,100
713869-25112012,Spring,7110,2,Week_ends,0,1,0,100
714238-25112012,Spring,1170,0,Week_ends,0,2,0,100
714349-25112012,Spring,1200,0,Week_ends,0,3,0,100
718671-01122012,Summer,6900,4,Week_ends,0,7,0,100
719078-01122012,Summer,6110,2,Week_ends,0,7,0,100
719305-02122012,Summer,6200,1,Week_ends,0,55,0,100
719309-02122012,Summer,1100,1,Week_ends,0,48,0,100
719887-03122012,Summer,1160,0,Work_days,0,1,0,100
719904-03122012,Summer,6110,1,Work_days,0,140,0,100
721370-05122012,Summer,6100,2,Work_days,0,123,0,100
721415-05122012,Summer,6100,3,Work_days,0,36,0,100
721428-05122012,Summer,1170,0,Work_days,0,4,0,100
721427-05122012,Summer,6120,0,Work_days,0,12,0,100
721698-05122012,Summer,6900,3,Work_days,0,48,0,100
722516-05122012,Summer,6900,5,Work_days,0,4,0,100
722592-06122012,Summer,6900,6,Work_days,0,4,0,100
722656-06122012,Summer,6900,7,Work_days,0,3,0,100
722684-06122012,Summer,6900,8,Work_days,0,2,0,100
722982-06122012,Summer,6990,3,Work_days,0,57,0,100
723610-07122012,Summer,7110,0,Work_days,0,21,0,100
724558-08122012,Summer,1100,2,Week_ends,0,11,0,100
724713-08122012,Summer,6200,2,Week_ends,0,8,0,100
728207-13122012,Summer,1100,2,Work_days,0,31,0,100
732427-19122012,Summer,1100,3,Work_days,0,7,0,100
732434-19122012,Summer,1100,4,Work_days,0,3,0,100
732716-19122012,Summer,6100,4,Work_days,0,15,0,100
732764-20122012,Summer,1100,5,Work_days,0,4,0,100
733094-20122012,Summer,6110,3,Work_days,0,9,0,100
733651-21122012,Summer,6110,4,Work_days,0,3,0,100
733666-21122012,Summer,6110,5,Work_days,0,2,0,100
733749-21122012,Summer,6110,6,Work_days,0,3,0,100
734218-21122012,Summer,6110,7,Work_days,0,1,0,100
734355-22122012,Summer,1160,0,Week_ends,0,1,0,100
734416-22122012,Summer,1100,3,Week_ends,0,3,0,100
735050-22122012,Summer,6120,0,Week_ends,0,4,0,100
735051-22122012,Summer,1170,0,Week_ends,0,1,0,100
735196-23122012,Summer,1900,0,Week_ends,0,12,0,100
735408-23122012,Summer,1120,0,Week_ends,0,8,0,100
735528-23122012,Summer,0,0,Week_ends,0,7,0,100
735869-23122012,Summer,1120,1,Week_ends,0,2,0,100
738391-27122012,Summer,6100,5,Work_days,0,8,0,100
738432-27122012,Summer,6100,6,Work_days,0,4,0,100
