incident_number,season,alarm_type,repeat_count,true_alarm,false_alarm,true_percentage,false_percentage
602380-16062012,Winter,1100,1,0,149,0,100
603461-18062012,Winter,1120,1,0,7,0,100
604850-21062012,Winter,0,0,0,82,0,100
605258-22062012,Winter,1370,0,0,2,0,100
606929-25062012,Winter,7100,0,0,1,0,100
607197-25062012,Winter,6110,2,0,31,0,100
608439-27062012,Winter,6290,0,0,8,0,100
609712-30062012,Winter,1900,0,0,26,0,100
609746-30062012,Winter,1900,1,0,2,0,100
609765-30062012,Winter,1900,2,0,1,0,100
610292-30062012,Winter,1900,3,0,1,0,100
610434-01072012,Winter,1900,4,0,1,0,100
610836-01072012,Winter,0,1,0,2,0,100
611321-02072012,Winter,1170,0,0,5,0,100
611408-03072012,Winter,6120,1,0,3,0,100
611409-03072012,Winter,1170,1,0,1,0,100
611691-03072012,Winter,6200,2,0,18,0,100
611808-03072012,Winter,6200,3,0,4,0,100
611828-03072012,Winter,6200,4,0,1,0,100
611912-03072012,Winter,6900,4,0,19,0,100
611946-04072012,Winter,6100,3,0,35,0,100
612022-04072012,Winter,6900,5,0,6,0,100
612533-05072012,Winter,6100,4,0,12,0,100
612694-05072012,Winter,6110,3,0,12,0,100
616729-13072012,Winter,1100,3,0,18,0,100
617019-13072012,Winter,1100,4,0,11,0,100
619332-17072012,Winter,6990,4,0,27,0,100
619336-17072012,Winter,6990,6,0,8,0,100
619344-17072012,Winter,6990,7,0,5,0,100
619610-18072012,Winter,6990,8,0,4,0,100
621628-22072012,Winter,1200,0,0,12,0,100
621642-22072012,Winter,1200,1,0,5,0,100
624151-27072012,Winter,1120,2,0,2,0,100
626786-01082012,Winter,6100,5,0,4,0,100
627266-01082012,Winter,1200,2,0,2,0,100
627308-02082012,Winter,1200,3,0,1,0,100
627325-02082012,Winter,6100,6,0,2,0,100
627652-02082012,Winter,6100,7,0,1,0,100
627812-02082012,Winter,1200,4,0,1,0,100
627895-03082012,Winter,6100,8,0,1,0,100
637517-16082012,Winter,1190,0,0,1,0,100
639005-18082012,Winter,6110,4,0,6,0,100
648630-31082012,Winter,1120,3,0,1,0,100
649184-01092012,Spring,1900,1,0,7,0,100
649480-01092012,Spring,6990,3,0,51,0,100
652277-04092012,Spring,6200,2,0,26,0,100
653329-05092012,Spring,6100,2,0,131,0,100
653376-05092012,Spring,6100,3,0,33,0,100
655863-07092012,Spring,0,1,0,4,0,100
657544-09092012,Spring,6100,4,0,5,0,100
660022-12092012,Spring,6900,4,0,19,0,100
661276-14092012,Spring,1100,3,0,17,0,100
661282-14092012,Spring,1100,4,0,8,0,100
661790-14092012,Spring,6900,5,0,9,0,100
661987-15092012,Spring,6900,6,0,7,0,100
662003-15092012,Spring,6900,7,0,3,0,100
662162-15092012,Spring,6900,8,0,3,0,100
662531-15092012,Spring,6900,9,0,2,0,100
664065-18092012,Spring,1120,1,0,8,0,100
664420-18092012,Spring,1120,2,0,1,0,100
671909-28092012,Spring,6900,10,0,1,0,100
671932-28092012,Spring,6900,11,0,1,0,100
673560-30092012,Spring,6100,5,0,2,0,100
680780-09102012,Spring,6200,3,0,7,0,100
681404-10102012,Spring,6200,4,0,5,0,100
681475-10102012,Spring,6110,3,0,5,0,100
685522-16102012,Spring,1170,0,0,4,0,100
689881-22102012,Spring,6110,4,0,1,0,100
697576-01112012,Spring,1200,0,0,11,0,100
702563-07112012,Spring,6290,1,0,1,0,100
703152-08112012,Spring,1900,2,0,3,0,100
703171-08112012,Spring,1900,3,0,2,0,100
704497-10112012,Spring,1160,0,0,1,0,100
708026-15112012,Spring,6600,0,0,2,0,100
713294-24112012,Spring,7110,1,0,4,0,100
713869-25112012,Spring,7110,2,0,1,0,100
719887-03122012,Summer,1160,0,0,2,0,100
721415-05122012,Summer,6100,3,0,44,0,100
721428-05122012,Summer,1170,0,0,5,0,100
721427-05122012,Summer,6120,0,0,16,0,100
722516-05122012,Summer,6900,5,0,8,0,100
722592-06122012,Summer,6900,6,0,4,0,100
722656-06122012,Summer,6900,7,0,3,0,100
722684-06122012,Summer,6900,8,0,2,0,100
722982-06122012,Summer,6990,3,0,72,0,100
724558-08122012,Summer,1100,2,0,42,0,100
732427-19122012,Summer,1100,3,0,10,0,100
732434-19122012,Summer,1100,4,0,4,0,100
732716-19122012,Summer,6100,4,0,15,0,100
732764-20122012,Summer,1100,5,0,4,0,100
733094-20122012,Summer,6110,3,0,12,0,100
733651-21122012,Summer,6110,4,0,5,0,100
733666-21122012,Summer,6110,5,0,3,0,100
733749-21122012,Summer,6110,6,0,3,0,100
734218-21122012,Summer,6110,7,0,1,0,100
735869-23122012,Summer,1120,1,0,6,0,100
738391-27122012,Summer,6100,5,0,10,0,100
738432-27122012,Summer,6100,6,0,7,0,100
738598-27122012,Summer,1900,1,0,10,0,100
738765-27122012,Summer,6100,7,0,3,0,100
738964-28122012,Summer,1900,2,0,3,0,100
739340-28122012,Summer,6100,8,0,3,0,100
013764-14012013,Summer,1100,6,0,1,0,100
013782-14012013,Summer,1100,7,0,1,0,100
014862-15012013,Summer,1200,0,0,10,0,100
015150-16012013,Summer,6990,4,0,20,0,100
026282-28012013,Summer,6990,5,0,8,0,100
026475-28012013,Summer,6990,6,0,4,0,100
026598-28012013,Summer,6990,7,0,4,0,100
027209-29012013,Summer,6990,8,0,4,0,100
027216-29012013,Summer,6990,9,0,1,0,100
035262-11022013,Summer,6200,3,0,2,0,100
046535-01032013,Autumn,6100,2,0,192,0,100
046596-01032013,Autumn,6200,1,0,176,0,100
047193-02032013,Autumn,6100,3,0,55,0,100
047574-02032013,Autumn,1120,1,0,6,0,100
047658-03032013,Autumn,6990,3,0,57,0,100
048677-05032013,Autumn,6200,2,0,24,0,100
049002-05032013,Autumn,6200,3,0,10,0,100
049154-06032013,Autumn,1100,2,0,39,0,100
049181-06032013,Autumn,1100,3,0,9,0,100
051549-10032013,Autumn,6110,2,0,48,0,100
052187-11032013,Autumn,1200,0,0,17,0,100
054130-15032013,Autumn,6990,4,0,15,0,100
054698-16032013,Autumn,6990,5,0,6,0,100
054702-16032013,Autumn,6990,6,0,5,0,100
054713-16032013,Autumn,6990,7,0,3,0,100
054727-16032013,Autumn,6990,8,0,2,0,100
054752-16032013,Autumn,6990,9,0,1,0,100
054928-16032013,Autumn,6990,10,0,1,0,100
054988-16032013,Autumn,6990,11,0,1,0,100
055001-16032013,Autumn,6990,12,0,1,0,100
055016-16032013,Autumn,6990,13,0,1,0,100
055058-16032013,Autumn,6990,14,0,1,0,100
055073-16032013,Autumn,6990,15,0,1,0,100
056478-19032013,Autumn,6110,3,0,11,0,100
056616-19032013,Autumn,6110,4,0,5,0,100
056702-19032013,Autumn,6110,5,0,4,0,100
057285-20032013,Autumn,6110,6,0,4,0,100
059360-23032013,Autumn,6110,7,0,2,0,100
059625-24032013,Autumn,6110,8,0,1,0,100
061389-26032013,Autumn,6120,0,0,8,0,100
063896-30032013,Autumn,6210,0,0,10,0,100
063962-30032013,Autumn,6100,4,0,18,0,100
064267-31032013,Autumn,6210,1,0,3,0,100
064340-31032013,Autumn,6210,2,0,1,0,100
064759-31032013,Autumn,6900,3,0,54,0,100
064850-01042013,Autumn,6900,5,0,17,0,100
066998-04042013,Autumn,1100,4,0,4,0,100
067018-04042013,Autumn,1100,5,0,4,0,100
067048-05042013,Autumn,1100,6,0,3,0,100
067362-05042013,Autumn,1100,7,0,3,0,100
067780-06042013,Autumn,1100,8,0,3,0,100
074592-18042013,Autumn,1170,0,0,2,0,100
083785-03052013,Autumn,1900,1,0,3,0,100
094407-20052013,Autumn,6900,6,0,7,0,100
095050-21052013,Autumn,6200,4,0,4,0,100
096952-24052013,Autumn,6900,7,0,4,0,100
097298-25052013,Autumn,6900,8,0,2,0,100
099348-28052013,Autumn,7110,1,0,2,0,100
107115-12062013,Winter,7110,1,0,4,0,100
108877-16062013,Winter,6290,1,0,1,0,100
111802-22062013,Winter,1100,5,0,2,0,100
113849-25062013,Winter,6210,0,0,2,0,100
114037-25062013,Winter,6110,5,0,1,0,100
118473-04072013,Winter,6990,9,0,1,0,100
121869-10072013,Winter,8990,0,0,1,0,100
162869-11092013,Spring,6210,0,0,5,0,100
202740-23102013,Spring,6990,5,0,5,0,100
203013-23102013,Spring,6990,6,0,2,0,100
203398-24102013,Spring,6990,7,0,1,0,100
209014-30102013,Spring,1100,5,0,2,0,100
209016-30102013,Spring,1100,6,0,2,0,100
209018-30102013,Spring,1100,7,0,2,0,100
209019-30102013,Spring,1100,8,0,1,0,100
209020-30102013,Spring,1100,9,0,1,0,100
209021-30102013,Spring,1100,10,0,1,0,100
209022-30102013,Spring,1100,11,0,1,0,100
209023-30102013,Spring,1100,12,0,1,0,100
209024-30102013,Spring,1100,13,0,1,0,100
209025-30102013,Spring,1100,14,0,1,0,100
209026-30102013,Spring,1100,15,0,1,0,100
209027-30102013,Spring,1100,16,0,1,0,100
209028-30102013,Spring,1100,17,0,1,0,100
209029-30102013,Spring,1100,18,0,1,0,100
209030-30102013,Spring,1100,19,0,1,0,100
209031-30102013,Spring,1100,20,0,1,0,100
209032-30102013,Spring,1100,21,0,1,0,100
209033-30102013,Spring,1100,22,0,1,0,100
209034-30102013,Spring,1100,23,0,1,0,100
209035-30102013,Spring,1100,24,0,1,0,100
209036-30102013,Spring,1100,25,0,1,0,100
209037-30102013,Spring,1100,26,0,1,0,100
209038-30102013,Spring,1100,27,0,1,0,100
209039-30102013,Spring,1100,28,0,1,0,100
209040-30102013,Spring,1100,29,0,1,0,100
209041-30102013,Spring,1100,30,0,1,0,100
209042-30102013,Spring,1100,31,0,1,0,100
209043-30102013,Spring,1100,32,0,1,0,100
209044-30102013,Spring,1100,33,0,1,0,100
209045-30102013,Spring,1100,34,0,1,0,100
209046-30102013,Spring,1100,35,0,1,0,100
209047-30102013,Spring,1100,36,0,1,0,100
209048-30102013,Spring,1100,37,0,1,0,100
209049-30102013,Spring,1100,38,0,1,0,100
209050-30102013,Spring,1100,39,0,1,0,100
209051-30102013,Spring,1100,40,0,1,0,100
209052-30102013,Spring,1100,41,0,1,0,100
209053-30102013,Spring,1100,42,0,1,0,100
209054-30102013,Spring,1100,43,0,1,0,100
209064-30102013,Spring,1100,44,0,1,0,100
209067-30102013,Spring,1100,45,0,1,0,100
209564-31102013,Spring,1900,4,0,1,0,100
209565-31102013,Spring,1900,5,0,1,0,100
209566-31102013,Spring,1900,6,0,1,0,100
209567-31102013,Spring,1900,7,0,1,0,100
209568-31102013,Spring,1900,8,0,1,0,100
209569-31102013,Spring,1900,9,0,1,0,100
209570-31102013,Spring,1900,10,0,1,0,100
210965-02112013,Spring,6120,1,0,1,0,100
234780-06122013,Summer,1200,1,0,1,0,100
235343-07122013,Summer,1200,2,0,1,0,100
235854-08122013,Summer,1200,3,0,1,0,100
236069-08122013,Summer,1200,4,0,1,0,100
236726-09122013,Summer,1200,5,0,1,0,100
236786-09122013,Summer,1200,6,0,1,0,100
009964-16012014,Summer,6210,0,0,2,0,100
032701-17022014,Summer,7110,1,0,3,0,100
034641-20022014,Summer,6900,9,0,1,0,100
035151-21022014,Summer,6900,10,0,1,0,100
037114-25022014,Summer,2270,0,0,3,0,100
062375-12042014,Autumn,1110,0,0,1,0,100
068080-23042014,Autumn,6200,5,0,3,0,100
075447-07052014,Autumn,1100,9,0,1,0,100
075454-07052014,Autumn,1100,10,0,1,0,100
075565-07052014,Autumn,1100,11,0,1,0,100
100675-23062014,Winter,6900,6,0,4,0,100
100733-24062014,Winter,6900,7,0,4,0,100
105216-01072014,Winter,2270,0,0,4,0,100
109629-08072014,Winter,6900,8,0,2,0,100
115841-18072014,Winter,1130,0,0,1,0,100
144797-05092014,Spring,1200,1,0,2,0,100
164972-08102014,Spring,6210,1,0,1,0,100
170676-15102014,Spring,1110,0,0,1,0,100
170973-16102014,Spring,1110,1,0,1,0,100
176281-25102014,Spring,2350,0,0,2,0,100
186509-06112014,Spring,6100,6,0,1,0,100
188291-09112014,Spring,6200,5,0,1,0,100
188498-09112014,Spring,6200,6,0,1,0,100
213596-14122014,Summer,4310,0,0,1,0,100
029430-22022015,Summer,6100,9,0,2,0,100
033018-01032015,Autumn,6100,10,0,2,0,100
033458-01032015,Autumn,6100,11,0,1,0,100
046509-24032015,Autumn,2350,0,0,1,0,100
050931-31032015,Autumn,6100,5,0,5,0,100
056552-11042015,Autumn,6100,6,0,2,0,100
056669-11042015,Autumn,6100,7,0,2,0,100
056731-12042015,Autumn,6100,8,0,2,0,100
056971-12042015,Autumn,6100,9,0,2,0,100
058408-15042015,Autumn,1140,0,0,1,0,100
058492-15042015,Autumn,1140,1,0,1,0,100
068161-22042015,Autumn,4110,0,0,1,0,100
070286-25042015,Autumn,2270,0,0,2,0,100
076165-04052015,Autumn,6900,9,0,1,0,100
076184-04052015,Autumn,6900,10,0,1,0,100
