incident_number,season,alarm_type,time_of_day2,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
602172-16062012,Winter,6900,Night-time,hotel,Week_ends,0,74,0,100
602181-16062012,Winter,6990,Night-time,shopping_mall,Week_ends,0,64,0,100
602246-16062012,Winter,1100,Cooking-time,school,Week_ends,0,23,0,100
602299-16062012,Winter,6110,Office Hours,school,Week_ends,0,15,0,100
602334-16062012,Winter,6990,Office Hours,hotel,Week_ends,0,72,0,100
602335-16062012,Winter,6100,Office Hours,school,Week_ends,0,43,0,100
602397-16062012,Winter,6110,Cooking-time,others,Week_ends,0,38,0,100
602461-16062012,Winter,6110,Office Hours,others,Week_ends,0,16,0,100
602502-16062012,Winter,6990,Office Hours,rest_home,Week_ends,0,36,0,100
602591-16062012,Winter,6990,Cooking-time,hospital,Week_ends,0,70,0,100
602600-16062012,Winter,6900,Cooking-time,restaurant,Week_ends,0,10,0,100
602622-16062012,Winter,6200,Night-time,rest_home,Week_ends,0,6,0,100
602673-17062012,Winter,6990,Night-time,school,Week_ends,0,34,0,100
602675-17062012,Winter,6100,Night-time,rest_home,Week_ends,0,26,0,100
602676-17062012,Winter,6100,Night-time,school,Week_ends,0,37,0,100
602690-17062012,Winter,1120,Night-time,industry_facility,Week_ends,0,1,0,100
602708-17062012,Winter,1100,Night-time,office,Week_ends,0,6,0,100
602735-17062012,Winter,1100,Night-time,shopping_mall,Week_ends,0,14,0,100
602759-17062012,Winter,1100,Cooking-time,others,Week_ends,0,71,0,100
602805-17062012,Winter,6100,Office Hours,office,Week_ends,0,18,0,100
602829-17062012,Winter,6200,Cooking-time,office,Week_ends,0,8,0,100
602900-17062012,Winter,6200,Office Hours,industry_facility,Week_ends,0,2,0,100
603022-17062012,Winter,1100,Cooking-time,office,Week_ends,0,11,0,100
603158-18062012,Winter,6900,Night-time,industry_facility,Work_days,0,35,0,100
603219-18062012,Winter,6110,Cooking-time,rest_home,Work_days,0,8,0,100
603279-18062012,Winter,6990,Office Hours,industry_facility,Work_days,0,45,0,100
603363-18062012,Winter,6200,Cooking-time,office,Work_days,0,21,0,100
