incident_number,season,alarm_type,time_of_day2,build_type,true_alarm,false_alarm,true_percentage,false_percentage
602600-16062012,Winter,6900,Cooking-time,restaurant,0,24,0,100
602622-16062012,Winter,6200,Night-time,rest_home,0,15,0,100
602675-17062012,Winter,6100,Night-time,rest_home,0,92,0,100
602690-17062012,Winter,1120,Night-time,industry_facility,0,1,0,100
602708-17062012,Winter,1100,Night-time,office,0,37,0,100
602829-17062012,Winter,6200,Cooking-time,office,0,29,0,100
602900-17062012,Winter,6200,Office Hours,industry_facility,0,8,0,100
603219-18062012,Winter,6110,Cooking-time,rest_home,0,10,0,100
603279-18062012,Winter,6990,Office Hours,industry_facility,0,57,0,100
603405-18062012,Winter,1100,Office Hours,hospital,0,2,0,100
603434-18062012,Winter,6200,Office Hours,public_facility,0,29,0,100
603444-18062012,Winter,1100,Office Hours,industry_facility,0,5,0,100
603510-18062012,Winter,1100,Cooking-time,hospital,0,8,0,100
603595-19062012,Winter,6200,Night-time,school,0,19,0,100
603859-19062012,Winter,1100,Cooking-time,house,0,4,0,100
603860-19062012,Winter,6100,Cooking-time,house,0,36,0,100
603865-19062012,Winter,1100,Office Hours,house,0,4,0,100
603955-19062012,Winter,6200,Cooking-time,hospital,0,27,0,100
604352-20062012,Winter,6200,Office Hours,shopping_mall,0,37,0,100
604354-20062012,Winter,6110,Office Hours,hospital,0,12,0,100
604423-20062012,Winter,6100,Office Hours,house,0,15,0,100
604681-21062012,Winter,1100,Night-time,industry_facility,0,9,0,100
604692-21062012,Winter,1100,Night-time,hospital,0,3,0,100
604850-21062012,Winter,0,Cooking-time,others,0,18,0,100
605105-22062012,Winter,6110,Night-time,rest_home,0,5,0,100
605258-22062012,Winter,1370,Office Hours,others,0,1,0,100
605328-22062012,Winter,6110,Cooking-time,hotel,0,30,0,100
605600-22062012,Winter,0,Cooking-time,rest_home,0,3,0,100
605638-22062012,Winter,6110,Night-time,public_facility,0,25,0,100
606087-23062012,Winter,0,Office Hours,others,0,7,0,100
606292-23062012,Winter,6100,Night-time,industry_facility,0,28,0,100
606465-24062012,Winter,6200,Night-time,industry_facility,0,12,0,100
606580-24062012,Winter,1100,Office Hours,restaurant,0,2,0,100
606611-24062012,Winter,6200,Cooking-time,industry_facility,0,13,0,100
606929-25062012,Winter,7100,Cooking-time,others,0,1,0,100
607005-25062012,Winter,1100,Office Hours,office,0,16,0,100
607460-26062012,Winter,6200,Cooking-time,tansport,0,10,0,100
607524-26062012,Winter,1100,Cooking-time,industry_facility,0,10,0,100
607669-26062012,Winter,0,Office Hours,office,0,1,0,100
607671-26062012,Winter,0,Office Hours,rest_home,0,2,0,100
607674-26062012,Winter,0,Cooking-time,tansport,0,1,0,100
607692-26062012,Winter,0,Cooking-time,hotel,0,2,0,100
607697-26062012,Winter,0,Cooking-time,apartment,0,4,0,100
607725-26062012,Winter,0,Cooking-time,office,0,4,0,100
607729-26062012,Winter,0,Cooking-time,hospital,0,3,0,100
607746-26062012,Winter,0,Cooking-time,school,0,5,0,100
607806-26062012,Winter,0,Office Hours,public_facility,0,2,0,100
607820-26062012,Winter,0,Office Hours,house,0,1,0,100
607849-26062012,Winter,0,Office Hours,shopping_mall,0,1,0,100
607867-26062012,Winter,0,Cooking-time,house,0,2,0,100
607903-26062012,Winter,0,Cooking-time,industry_facility,0,1,0,100
607922-26062012,Winter,0,Cooking-time,public_facility,0,3,0,100
608004-26062012,Winter,0,Night-time,others,0,5,0,100
608021-27062012,Winter,0,Night-time,public_facility,0,3,0,100
608055-27062012,Winter,0,Night-time,apartment,0,4,0,100
608065-27062012,Winter,0,Night-time,shopping_mall,0,1,0,100
608068-27062012,Winter,0,Night-time,house,0,2,0,100
608439-27062012,Winter,6290,Cooking-time,school,0,4,0,100
608580-28062012,Winter,1100,Night-time,hotel,0,10,0,100
608653-28062012,Winter,1100,Cooking-time,public_facility,0,34,0,100
608772-28062012,Winter,6900,Office Hours,tansport,0,55,0,100
609368-29062012,Winter,7110,Cooking-time,others,0,7,0,100
609712-30062012,Winter,1900,Night-time,apartment,0,4,0,100
609767-30062012,Winter,6110,Night-time,hospital,0,8,0,100
610320-01072012,Winter,6990,Night-time,tansport,0,16,0,100
610414-01072012,Winter,1100,Night-time,school,0,28,0,100
610434-01072012,Winter,1900,Cooking-time,apartment,0,2,0,100
610836-01072012,Winter,0,Night-time,industry_facility,0,1,0,100
610861-02072012,Winter,7110,Night-time,others,0,2,0,100
611267-02072012,Winter,6990,Cooking-time,tansport,0,26,0,100
611320-02072012,Winter,6120,Cooking-time,industry_facility,0,6,0,100
611321-02072012,Winter,1170,Cooking-time,industry_facility,0,1,0,100
611408-03072012,Winter,6120,Night-time,industry_facility,0,3,0,100
611409-03072012,Winter,1170,Night-time,industry_facility,0,3,0,100
611424-03072012,Winter,6110,Night-time,office,0,14,0,100
611511-03072012,Winter,6110,Office Hours,rest_home,0,6,0,100
612314-04072012,Winter,6200,Office Hours,office,0,21,0,100
612591-05072012,Winter,6990,Night-time,house,0,15,0,100
613156-06072012,Winter,1120,Night-time,others,0,17,0,100
613435-06072012,Winter,6200,Office Hours,tansport,0,7,0,100
613591-07072012,Winter,6110,Night-time,shopping_mall,0,9,0,100
613761-07072012,Winter,7110,Office Hours,others,0,3,0,100
614644-08072012,Winter,1900,Cooking-time,shopping_mall,0,2,0,100
614860-09072012,Winter,6200,Office Hours,hospital,0,10,0,100
614907-09072012,Winter,6900,Office Hours,restaurant,0,9,0,100
615681-10072012,Winter,6120,Cooking-time,office,0,1,0,100
615997-11072012,Winter,6110,Cooking-time,industry_facility,0,15,0,100
616653-12072012,Winter,6110,Cooking-time,shopping_mall,0,9,0,100
616870-13072012,Winter,1900,Office Hours,public_facility,0,1,0,100
618411-16072012,Winter,6200,Night-time,office,0,11,0,100
618547-16072012,Winter,6110,Office Hours,hotel,0,14,0,100
620110-19072012,Winter,1100,Office Hours,hotel,0,11,0,100
620889-20072012,Winter,1100,Cooking-time,restaurant,0,2,0,100
621628-22072012,Winter,1200,Night-time,apartment,0,1,0,100
621642-22072012,Winter,1200,Cooking-time,apartment,0,2,0,100
622375-23072012,Winter,1100,Office Hours,tansport,0,9,0,100
622533-24072012,Winter,1900,Night-time,others,0,4,0,100
622537-24072012,Winter,1100,Night-time,house,0,5,0,100
622650-24072012,Winter,6110,Office Hours,shopping_mall,0,7,0,100
623214-25072012,Winter,1370,Cooking-time,others,0,1,0,100
624312-27072012,Winter,6200,Office Hours,house,0,6,0,100
624540-28072012,Winter,6100,Night-time,house,0,17,0,100
625668-30072012,Winter,0,Night-time,hospital,0,2,0,100
626267-31072012,Winter,1120,Night-time,hotel,0,2,0,100
626364-31072012,Winter,6110,Office Hours,industry_facility,0,4,0,100
627055-01082012,Winter,1200,Office Hours,office,0,1,0,100
627197-01082012,Winter,1200,Cooking-time,office,0,4,0,100
627308-02082012,Winter,1200,Night-time,others,0,2,0,100
627383-02082012,Winter,6100,Cooking-time,restaurant,0,9,0,100
634407-11082012,Winter,6100,Office Hours,restaurant,0,3,0,100
634746-11082012,Winter,6990,Night-time,restaurant,0,5,0,100
637517-16082012,Winter,1190,Cooking-time,office,0,1,0,100
638166-17082012,Winter,1900,Cooking-time,others,0,13,0,100
639817-19082012,Winter,1100,Night-time,restaurant,0,3,0,100
642032-22082012,Winter,0,Office Hours,apartment,0,3,0,100
649184-01092012,Spring,1900,Night-time,others,0,8,0,100
649287-01092012,Spring,1900,Night-time,industry_facility,0,1,0,100
649311-01092012,Spring,6100,Night-time,tansport,0,48,0,100
649314-01092012,Spring,1100,Cooking-time,restaurant,0,6,0,100
649472-01092012,Spring,1100,Office Hours,hotel,0,8,0,100
649491-01092012,Spring,6990,Office Hours,public_facility,0,187,0,100
649564-01092012,Spring,6100,Cooking-time,tansport,0,58,0,100
649819-01092012,Spring,1100,Office Hours,apartment,0,47,0,100
649822-01092012,Spring,6110,Office Hours,rest_home,0,5,0,100
649839-01092012,Spring,6900,Office Hours,public_facility,0,143,0,100
650022-01092012,Spring,6990,Cooking-time,restaurant,0,9,0,100
650023-01092012,Spring,6110,Cooking-time,hotel,0,28,0,100
650413-02092012,Spring,6200,Office Hours,public_facility,0,20,0,100
650651-02092012,Spring,6990,Office Hours,tansport,0,12,0,100
650652-02092012,Spring,1100,Office Hours,tansport,0,8,0,100
650655-02092012,Spring,6100,Office Hours,industry_facility,0,27,0,100
650814-02092012,Spring,1120,Cooking-time,hotel,0,3,0,100
650905-03092012,Spring,6990,Night-time,industry_facility,0,45,0,100
650988-03092012,Spring,6200,Cooking-time,school,0,36,0,100
651062-03092012,Spring,6110,Office Hours,hospital,0,14,0,100
651326-03092012,Spring,6110,Office Hours,industry_facility,0,13,0,100
651390-03092012,Spring,6200,Office Hours,apartment,0,94,0,100
651711-03092012,Spring,6290,Night-time,school,0,2,0,100
651955-04092012,Spring,6200,Night-time,office,0,18,0,100
651966-04092012,Spring,6200,Night-time,public_facility,0,17,0,100
652400-04092012,Spring,6110,Office Hours,hotel,0,20,0,100
652817-05092012,Spring,6110,Night-time,public_facility,0,13,0,100
653483-05092012,Spring,1100,Office Hours,public_facility,0,26,0,100
653506-05092012,Spring,6200,Office Hours,shopping_mall,0,44,0,100
653703-05092012,Spring,1900,Cooking-time,others,0,26,0,100
653912-05092012,Spring,1100,Night-time,public_facility,0,17,0,100
653994-06092012,Spring,1100,Night-time,apartment,0,47,0,100
654834-06092012,Spring,6100,Office Hours,house,0,17,0,100
654856-06092012,Spring,6100,Cooking-time,house,0,22,0,100
655154-07092012,Spring,0,Night-time,hotel,0,4,0,100
655437-07092012,Spring,6110,Cooking-time,shopping_mall,0,9,0,100
655863-07092012,Spring,0,Cooking-time,public_facility,0,4,0,100
657539-09092012,Spring,6110,Office Hours,shopping_mall,0,9,0,100
657626-09092012,Spring,6990,Office Hours,house,0,17,0,100
657941-09092012,Spring,0,Cooking-time,hospital,0,8,0,100
658555-10092012,Spring,0,Cooking-time,house,0,4,0,100
658570-10092012,Spring,1100,Cooking-time,hospital,0,14,0,100
658686-10092012,Spring,0,Office Hours,others,0,8,0,100
658779-10092012,Spring,0,Cooking-time,shopping_mall,0,1,0,100
658786-10092012,Spring,0,Cooking-time,school,0,5,0,100
659319-11092012,Spring,6100,Cooking-time,restaurant,0,7,0,100
659893-11092012,Spring,6110,Night-time,house,0,3,0,100
661261-14092012,Spring,1100,Night-time,hotel,0,17,0,100
661293-14092012,Spring,6100,Night-time,industry_facility,0,15,0,100
661444-14092012,Spring,1100,Cooking-time,tansport,0,20,0,100
661524-14092012,Spring,0,Cooking-time,rest_home,0,3,0,100
662094-15092012,Spring,6200,Office Hours,hotel,0,33,0,100
662157-15092012,Spring,6200,Office Hours,hospital,0,24,0,100
662590-15092012,Spring,6200,Cooking-time,tansport,0,3,0,100
662853-16092012,Spring,6110,Office Hours,public_facility,0,21,0,100
662889-16092012,Spring,0,Office Hours,hospital,0,2,0,100
663398-16092012,Spring,0,Night-time,others,0,10,0,100
663405-16092012,Spring,1100,Night-time,industry_facility,0,18,0,100
664192-18092012,Spring,1120,Office Hours,hotel,0,3,0,100
664420-18092012,Spring,1120,Office Hours,others,0,9,0,100
664657-19092012,Spring,1120,Night-time,hotel,0,2,0,100
665149-19092012,Spring,6200,Office Hours,office,0,13,0,100
665942-20092012,Spring,6110,Cooking-time,hospital,0,13,0,100
665956-20092012,Spring,1100,Cooking-time,hotel,0,25,0,100
666275-21092012,Spring,6200,Cooking-time,house,0,4,0,100
668175-23092012,Spring,0,Night-time,public_facility,0,2,0,100
668995-24092012,Spring,1100,Cooking-time,house,0,8,0,100
669832-26092012,Spring,1900,Night-time,apartment,0,10,0,100
672889-29092012,Spring,1900,Office Hours,others,0,11,0,100
673129-29092012,Spring,1100,Night-time,tansport,0,11,0,100
673322-30092012,Spring,6200,Night-time,industry_facility,0,5,0,100
673343-30092012,Spring,6200,Night-time,school,0,19,0,100
674655-01102012,Spring,6120,Cooking-time,others,0,2,0,100
674792-01102012,Spring,6990,Night-time,house,0,14,0,100
675966-03102012,Spring,6200,Office Hours,house,0,10,0,100
676819-04102012,Spring,1100,Office Hours,industry_facility,0,9,0,100
677158-04102012,Spring,6110,Night-time,office,0,13,0,100
680220-08102012,Spring,6200,Office Hours,rest_home,0,29,0,100
681760-10102012,Spring,1100,Office Hours,house,0,3,0,100
683592-13102012,Spring,7110,Cooking-time,others,0,4,0,100
683838-14102012,Spring,6110,Office Hours,house,0,2,0,100
684934-16102012,Spring,6110,Night-time,shopping_mall,0,7,0,100
685488-16102012,Spring,6900,Cooking-time,restaurant,0,18,0,100
685522-16102012,Spring,1170,Cooking-time,others,0,1,0,100
685686-17102012,Spring,6110,Night-time,hospital,0,6,0,100
685785-17102012,Spring,1120,Cooking-time,hospital,0,2,0,100
686381-17102012,Spring,7110,Night-time,others,0,3,0,100
687235-19102012,Spring,6100,Office Hours,restaurant,0,6,0,100
687975-20102012,Spring,6110,Night-time,rest_home,0,8,0,100
689078-21102012,Spring,6120,Night-time,others,0,7,0,100
690003-22102012,Spring,1900,Office Hours,shopping_mall,0,1,0,100
690583-22102012,Spring,6100,Night-time,house,0,13,0,100
693272-26102012,Spring,6200,Cooking-time,industry_facility,0,11,0,100
693567-26102012,Spring,6110,Cooking-time,house,0,2,0,100
693846-27102012,Spring,1120,Cooking-time,shopping_mall,0,1,0,100
695967-29102012,Spring,6110,Night-time,industry_facility,0,5,0,100
697576-01112012,Spring,1200,Cooking-time,public_facility,0,1,0,100
698754-02112012,Spring,1100,Cooking-time,rest_home,0,15,0,100
698907-02112012,Spring,1900,Office Hours,public_facility,0,4,0,100
701518-06112012,Spring,1100,Night-time,hospital,0,3,0,100
701632-06112012,Spring,1900,Cooking-time,public_facility,0,5,0,100
702563-07112012,Spring,6290,Office Hours,school,0,1,0,100
703055-08112012,Spring,6120,Office Hours,industry_facility,0,4,0,100
703649-08112012,Spring,1100,Night-time,house,0,3,0,100
704497-10112012,Spring,1160,Cooking-time,office,0,1,0,100
707465-14112012,Spring,6110,Night-time,restaurant,0,1,0,100
708026-15112012,Spring,6600,Cooking-time,apartment,0,2,0,100
710009-19112012,Spring,1120,Night-time,industry_facility,0,3,0,100
711088-21112012,Spring,1100,Night-time,rest_home,0,4,0,100
713869-25112012,Spring,7110,Night-time,public_facility,0,5,0,100
714238-25112012,Spring,1170,Cooking-time,industry_facility,0,1,0,100
714349-25112012,Spring,1200,Office Hours,others,0,1,0,100
714900-26112012,Spring,6990,Night-time,restaurant,0,5,0,100
717563-29112012,Spring,0,Night-time,house,0,1,0,100
718465-01122012,Summer,6100,Night-time,shopping_mall,0,101,0,100
718474-01122012,Summer,6990,Night-time,house,0,12,0,100
718524-01122012,Summer,6200,Night-time,hotel,0,37,0,100
718590-01122012,Summer,6200,Night-time,industry_facility,0,3,0,100
718763-01122012,Summer,6900,Office Hours,rest_home,0,207,0,100
