incident_number,season,alarm_type,time_of_day2,work_end,true_alarm,false_alarm,true_percentage,false_percentage
602690-17062012,Winter,1120,Night-time,Week_ends,0,4,0,100
604850-21062012,Winter,0,Cooking-time,Work_days,0,44,0,100
605258-22062012,Winter,1370,Office Hours,Work_days,0,1,0,100
606087-23062012,Winter,0,Office Hours,Week_ends,0,5,0,100
606198-23062012,Winter,0,Cooking-time,Week_ends,0,2,0,100
606929-25062012,Winter,7100,Cooking-time,Work_days,0,1,0,100
607669-26062012,Winter,0,Office Hours,Work_days,0,14,0,100
608004-26062012,Winter,0,Night-time,Work_days,0,17,0,100
608439-27062012,Winter,6290,Cooking-time,Work_days,0,4,0,100
609712-30062012,Winter,1900,Night-time,Week_ends,0,5,0,100
610434-01072012,Winter,1900,Cooking-time,Week_ends,0,6,0,100
610836-01072012,Winter,0,Night-time,Week_ends,0,2,0,100
610861-02072012,Winter,7110,Night-time,Work_days,0,4,0,100
611320-02072012,Winter,6120,Cooking-time,Work_days,0,8,0,100
611321-02072012,Winter,1170,Cooking-time,Work_days,0,2,0,100
611409-03072012,Winter,1170,Night-time,Work_days,0,2,0,100
613156-06072012,Winter,1120,Night-time,Work_days,0,18,0,100
613761-07072012,Winter,7110,Office Hours,Week_ends,0,5,0,100
616870-13072012,Winter,1900,Office Hours,Work_days,0,3,0,100
621628-22072012,Winter,1200,Night-time,Week_ends,0,1,0,100
621642-22072012,Winter,1200,Cooking-time,Week_ends,0,1,0,100
622533-24072012,Winter,1900,Night-time,Work_days,0,4,0,100
623214-25072012,Winter,1370,Cooking-time,Work_days,0,1,0,100
627055-01082012,Winter,1200,Office Hours,Work_days,0,3,0,100
627197-01082012,Winter,1200,Cooking-time,Work_days,0,9,0,100
627308-02082012,Winter,1200,Night-time,Work_days,0,6,0,100
630369-06082012,Winter,7110,Office Hours,Work_days,0,6,0,100
635333-12082012,Winter,6120,Cooking-time,Week_ends,0,2,0,100
637517-16082012,Winter,1190,Cooking-time,Work_days,0,1,0,100
638166-17082012,Winter,1900,Cooking-time,Work_days,0,11,0,100
644239-25082012,Winter,1120,Cooking-time,Week_ends,0,8,0,100
649184-01092012,Spring,1900,Night-time,Week_ends,0,8,0,100
649288-01092012,Spring,1120,Night-time,Week_ends,0,5,0,100
649644-01092012,Spring,6290,Cooking-time,Week_ends,0,1,0,100
650814-02092012,Spring,1120,Cooking-time,Week_ends,0,10,0,100
651711-03092012,Spring,6290,Night-time,Work_days,0,1,0,100
655154-07092012,Spring,0,Night-time,Work_days,0,13,0,100
657941-09092012,Spring,0,Cooking-time,Week_ends,0,16,0,100
658686-10092012,Spring,0,Office Hours,Work_days,0,16,0,100
662889-16092012,Spring,0,Office Hours,Week_ends,0,5,0,100
663398-16092012,Spring,0,Night-time,Week_ends,0,8,0,100
664192-18092012,Spring,1120,Office Hours,Work_days,0,20,0,100
669832-26092012,Spring,1900,Night-time,Work_days,0,11,0,100
672889-29092012,Spring,1900,Office Hours,Week_ends,0,6,0,100
674655-01102012,Spring,6120,Cooking-time,Work_days,0,5,0,100
680455-08102012,Spring,1900,Office Hours,Work_days,0,11,0,100
683223-13102012,Spring,1900,Cooking-time,Week_ends,0,7,0,100
683592-13102012,Spring,7110,Cooking-time,Week_ends,0,7,0,100
685522-16102012,Spring,1170,Cooking-time,Work_days,0,1,0,100
686381-17102012,Spring,7110,Night-time,Work_days,0,3,0,100
697576-01112012,Spring,1200,Cooking-time,Work_days,0,8,0,100
702563-07112012,Spring,6290,Office Hours,Work_days,0,1,0,100
704497-10112012,Spring,1160,Cooking-time,Week_ends,0,1,0,100
708026-15112012,Spring,6600,Cooking-time,Work_days,0,2,0,100
713869-25112012,Spring,7110,Night-time,Week_ends,0,5,0,100
714238-25112012,Spring,1170,Cooking-time,Week_ends,0,1,0,100
714349-25112012,Spring,1200,Office Hours,Week_ends,0,1,0,100
714421-25112012,Spring,6120,Office Hours,Week_ends,0,5,0,100
718924-01122012,Summer,6200,Office Hours,Week_ends,0,101,0,100
719876-03122012,Summer,1120,Night-time,Work_days,0,11,0,100
719887-03122012,Summer,1160,Night-time,Work_days,0,1,0,100
721428-05122012,Summer,1170,Night-time,Work_days,0,2,0,100
721427-05122012,Summer,6120,Night-time,Work_days,0,3,0,100
723610-07122012,Summer,7110,Office Hours,Work_days,0,8,0,100
723620-07122012,Summer,1120,Office Hours,Work_days,0,16,0,100
726281-11122012,Summer,1900,Night-time,Work_days,0,21,0,100
731243-18122012,Summer,7110,Cooking-time,Work_days,0,14,0,100
734355-22122012,Summer,1160,Night-time,Week_ends,0,1,0,100
735050-22122012,Summer,6120,Cooking-time,Week_ends,0,2,0,100
735051-22122012,Summer,1170,Cooking-time,Week_ends,0,1,0,100
735196-23122012,Summer,1900,Night-time,Week_ends,0,8,0,100
735408-23122012,Summer,1120,Office Hours,Week_ends,0,3,0,100
735528-23122012,Summer,0,Cooking-time,Week_ends,0,5,0,100
735819-23122012,Summer,7110,Office Hours,Week_ends,0,2,0,100
