incident_number,season,repeat_count,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
602822-17062012,Winter,1,shopping_mall,Week_ends,0,74,0,100
602989-17062012,Winter,2,apartment,Week_ends,0,26,0,100
603033-17062012,Winter,3,apartment,Week_ends,0,7,0,100
603190-18062012,Winter,2,hospital,Work_days,0,56,0,100
603477-18062012,Winter,1,industry_facility,Work_days,0,52,0,100
603972-19062012,Winter,0,restaurant,Work_days,0,56,0,100
604813-21062012,Winter,1,rest_home,Work_days,0,119,0,100
605302-22062012,Winter,2,apartment,Work_days,0,55,0,100
606039-23062012,Winter,1,house,Week_ends,0,6,0,100
606459-24062012,Winter,1,office,Week_ends,0,50,0,100
606521-24062012,Winter,1,industry_facility,Week_ends,0,18,0,100
606885-25062012,Winter,2,industry_facility,Work_days,0,8,0,100
606917-25062012,Winter,2,school,Work_days,0,53,0,100
610434-01072012,Winter,4,apartment,Week_ends,0,4,0,100
611309-02072012,Winter,2,office,Work_days,0,20,0,100
611562-03072012,Winter,3,office,Work_days,0,6,0,100
611808-03072012,Winter,3,shopping_mall,Work_days,0,12,0,100
611828-03072012,Winter,4,shopping_mall,Work_days,0,6,0,100
611912-03072012,Winter,4,apartment,Work_days,0,6,0,100
612022-04072012,Winter,5,apartment,Work_days,0,3,0,100
612533-05072012,Winter,4,others,Work_days,0,25,0,100
612694-05072012,Winter,3,school,Work_days,0,15,0,100
613265-06072012,Winter,3,hospital,Work_days,0,22,0,100
613957-07072012,Winter,2,shopping_mall,Week_ends,0,14,0,100
616364-12072012,Winter,1,house,Work_days,0,28,0,100
617019-13072012,Winter,4,office,Work_days,0,4,0,100
617472-14072012,Winter,3,school,Week_ends,0,4,0,100
617531-14072012,Winter,3,others,Week_ends,0,23,0,100
617744-14072012,Winter,2,public_facility,Week_ends,0,10,0,100
617797-14072012,Winter,1,rest_home,Week_ends,0,27,0,100
619240-17072012,Winter,2,rest_home,Work_days,0,19,0,100
619336-17072012,Winter,6,apartment,Work_days,0,2,0,100
619344-17072012,Winter,7,apartment,Work_days,0,2,0,100
619610-18072012,Winter,8,apartment,Work_days,0,2,0,100
622656-24072012,Winter,3,rest_home,Work_days,0,7,0,100
624537-28072012,Winter,2,office,Week_ends,0,8,0,100
624582-28072012,Winter,3,office,Week_ends,0,2,0,100
624621-28072012,Winter,4,office,Week_ends,0,3,0,100
625734-30072012,Winter,2,public_facility,Work_days,0,14,0,100
627325-02082012,Winter,6,others,Work_days,0,10,0,100
627652-02082012,Winter,7,others,Work_days,0,8,0,100
627895-03082012,Winter,8,others,Work_days,0,4,0,100
627919-03082012,Winter,3,public_facility,Work_days,0,6,0,100
629238-04082012,Winter,3,shopping_mall,Week_ends,0,5,0,100
629438-05082012,Winter,4,shopping_mall,Week_ends,0,3,0,100
629467-05082012,Winter,5,shopping_mall,Week_ends,0,1,0,100
632839-10082012,Winter,5,shopping_mall,Work_days,0,2,0,100
634103-11082012,Winter,2,rest_home,Week_ends,0,3,0,100
634684-11082012,Winter,1,restaurant,Week_ends,0,2,0,100
635379-12082012,Winter,4,others,Week_ends,0,4,0,100
639005-18082012,Winter,4,public_facility,Week_ends,0,2,0,100
642430-22082012,Winter,4,hospital,Work_days,0,7,0,100
645140-26082012,Winter,2,industry_facility,Week_ends,0,1,0,100
649298-01092012,Spring,2,others,Week_ends,0,51,0,100
649324-01092012,Spring,1,rest_home,Week_ends,0,40,0,100
649480-01092012,Spring,3,others,Week_ends,0,10,0,100
649607-01092012,Spring,2,apartment,Week_ends,0,14,0,100
649774-01092012,Spring,4,others,Week_ends,0,2,0,100
649951-01092012,Spring,1,shopping_mall,Week_ends,0,70,0,100
650581-02092012,Spring,1,tansport,Week_ends,0,13,0,100
650965-03092012,Spring,1,industry_facility,Work_days,0,55,0,100
651257-03092012,Spring,2,apartment,Work_days,0,44,0,100
651617-03092012,Spring,1,house,Work_days,0,19,0,100
651687-03092012,Spring,2,others,Work_days,0,167,0,100
652087-04092012,Spring,2,house,Work_days,0,2,0,100
652106-04092012,Spring,2,office,Work_days,0,23,0,100
653376-05092012,Spring,3,others,Work_days,0,51,0,100
653741-05092012,Spring,2,hotel,Work_days,0,27,0,100
653814-05092012,Spring,3,apartment,Work_days,0,10,0,100
653868-05092012,Spring,3,hotel,Work_days,0,8,0,100
653976-06092012,Spring,4,apartment,Work_days,0,6,0,100
654129-06092012,Spring,1,rest_home,Work_days,0,153,0,100
656291-08092012,Spring,2,office,Week_ends,0,6,0,100
657419-09092012,Spring,2,tansport,Week_ends,0,3,0,100
657446-09092012,Spring,3,tansport,Week_ends,0,2,0,100
657544-09092012,Spring,4,tansport,Week_ends,0,1,0,100
659927-12092012,Spring,3,school,Work_days,0,9,0,100
660022-12092012,Spring,4,school,Work_days,0,2,0,100
660523-12092012,Spring,2,industry_facility,Work_days,0,7,0,100
661099-13092012,Spring,2,rest_home,Work_days,0,21,0,100
661282-14092012,Spring,4,hotel,Work_days,0,3,0,100
661528-14092012,Spring,3,office,Work_days,0,6,0,100
661785-14092012,Spring,4,office,Work_days,0,3,0,100
661790-14092012,Spring,5,office,Work_days,0,1,0,100
661917-15092012,Spring,2,rest_home,Week_ends,0,7,0,100
661987-15092012,Spring,6,office,Week_ends,0,1,0,100
662003-15092012,Spring,7,office,Week_ends,0,1,0,100
662162-15092012,Spring,8,office,Week_ends,0,1,0,100
662422-15092012,Spring,1,school,Week_ends,0,57,0,100
662531-15092012,Spring,9,office,Week_ends,0,1,0,100
664716-19092012,Spring,3,public_facility,Work_days,0,10,0,100
667404-22092012,Spring,2,hospital,Week_ends,0,18,0,100
668093-23092012,Spring,2,hotel,Week_ends,0,10,0,100
669917-26092012,Spring,3,rest_home,Work_days,0,5,0,100
669921-26092012,Spring,4,rest_home,Work_days,0,1,0,100
670891-27092012,Spring,5,apartment,Work_days,0,1,0,100
671454-28092012,Spring,4,hospital,Work_days,0,4,0,100
671463-28092012,Spring,5,hospital,Work_days,0,2,0,100
671475-28092012,Spring,6,hospital,Work_days,0,3,0,100
671480-28092012,Spring,7,hospital,Work_days,0,2,0,100
671483-28092012,Spring,8,hospital,Work_days,0,1,0,100
671487-28092012,Spring,9,hospital,Work_days,0,1,0,100
671909-28092012,Spring,10,hospital,Work_days,0,1,0,100
671932-28092012,Spring,11,hospital,Work_days,0,1,0,100
673558-30092012,Spring,3,school,Week_ends,0,3,0,100
673559-30092012,Spring,4,school,Week_ends,0,1,0,100
