incident_number,season,repeat_count,build_type,true_alarm,false_alarm,true_percentage,false_percentage
602989-17062012,Winter,2,apartment,0,81,0,100
603477-18062012,Winter,1,industry_facility,0,70,0,100
604813-21062012,Winter,1,rest_home,0,146,0,100
606039-23062012,Winter,1,house,0,34,0,100
606885-25062012,Winter,2,industry_facility,0,9,0,100
610434-01072012,Winter,4,apartment,0,10,0,100
611309-02072012,Winter,2,office,0,28,0,100
611562-03072012,Winter,3,office,0,8,0,100
611808-03072012,Winter,3,shopping_mall,0,17,0,100
611828-03072012,Winter,4,shopping_mall,0,9,0,100
612022-04072012,Winter,5,apartment,0,5,0,100
612533-05072012,Winter,4,others,0,29,0,100
612694-05072012,Winter,3,school,0,19,0,100
613265-06072012,Winter,3,hospital,0,24,0,100
617019-13072012,Winter,4,office,0,7,0,100
617744-14072012,Winter,2,public_facility,0,24,0,100
619240-17072012,Winter,2,rest_home,0,22,0,100
619336-17072012,Winter,6,apartment,0,2,0,100
619344-17072012,Winter,7,apartment,0,2,0,100
619610-18072012,Winter,8,apartment,0,2,0,100
622656-24072012,Winter,3,rest_home,0,8,0,100
627325-02082012,Winter,6,others,0,10,0,100
627652-02082012,Winter,7,others,0,8,0,100
627895-03082012,Winter,8,others,0,5,0,100
627919-03082012,Winter,3,public_facility,0,7,0,100
629467-05082012,Winter,5,shopping_mall,0,3,0,100
634684-11082012,Winter,1,restaurant,0,8,0,100
639005-18082012,Winter,4,public_facility,0,3,0,100
642430-22082012,Winter,4,hospital,0,8,0,100
649298-01092012,Spring,2,others,0,218,0,100
649324-01092012,Spring,1,rest_home,0,193,0,100
649480-01092012,Spring,3,others,0,61,0,100
649607-01092012,Spring,2,apartment,0,58,0,100
649774-01092012,Spring,4,others,0,22,0,100
650965-03092012,Spring,1,industry_facility,0,73,0,100
651617-03092012,Spring,1,house,0,22,0,100
652087-04092012,Spring,2,house,0,3,0,100
652106-04092012,Spring,2,office,0,29,0,100
653741-05092012,Spring,2,hotel,0,37,0,100
653814-05092012,Spring,3,apartment,0,16,0,100
653868-05092012,Spring,3,hotel,0,10,0,100
657419-09092012,Spring,2,tansport,0,6,0,100
657446-09092012,Spring,3,tansport,0,4,0,100
657544-09092012,Spring,4,tansport,0,1,0,100
659927-12092012,Spring,3,school,0,12,0,100
660022-12092012,Spring,4,school,0,3,0,100
660523-12092012,Spring,2,industry_facility,0,8,0,100
661099-13092012,Spring,2,rest_home,0,28,0,100
661282-14092012,Spring,4,hotel,0,4,0,100
661528-14092012,Spring,3,office,0,9,0,100
661785-14092012,Spring,4,office,0,5,0,100
661790-14092012,Spring,5,office,0,1,0,100
661987-15092012,Spring,6,office,0,1,0,100
662003-15092012,Spring,7,office,0,1,0,100
662162-15092012,Spring,8,office,0,1,0,100
662531-15092012,Spring,9,office,0,1,0,100
664716-19092012,Spring,3,public_facility,0,14,0,100
669917-26092012,Spring,3,rest_home,0,6,0,100
669921-26092012,Spring,4,rest_home,0,1,0,100
670891-27092012,Spring,5,apartment,0,2,0,100
671454-28092012,Spring,4,hospital,0,7,0,100
671463-28092012,Spring,5,hospital,0,4,0,100
671475-28092012,Spring,6,hospital,0,3,0,100
671480-28092012,Spring,7,hospital,0,2,0,100
671483-28092012,Spring,8,hospital,0,1,0,100
671487-28092012,Spring,9,hospital,0,1,0,100
671909-28092012,Spring,10,hospital,0,1,0,100
671932-28092012,Spring,11,hospital,0,1,0,100
673560-30092012,Spring,5,school,0,1,0,100
676303-04102012,Spring,3,shopping_mall,0,17,0,100
676365-04102012,Spring,4,shopping_mall,0,4,0,100
685572-16102012,Spring,1,restaurant,0,11,0,100
709998-19112012,Spring,4,public_facility,0,3,0,100
720052-03122012,Summer,2,shopping_mall,0,59,0,100
722516-05122012,Summer,5,others,0,9,0,100
722592-06122012,Summer,6,others,0,6,0,100
722656-06122012,Summer,7,others,0,3,0,100
722684-06122012,Summer,8,others,0,3,0,100
722982-06122012,Summer,3,apartment,0,15,0,100
724512-08122012,Summer,1,house,0,32,0,100
725036-09122012,Summer,2,school,0,94,0,100
725131-09122012,Summer,2,industry_facility,0,18,0,100
726361-11122012,Summer,1,restaurant,0,10,0,100
726937-12122012,Summer,1,tansport,0,64,0,100
728351-14122012,Summer,2,rest_home,0,38,0,100
729762-16122012,Summer,3,shopping_mall,0,21,0,100
730552-17122012,Summer,3,rest_home,0,9,0,100
732427-19122012,Summer,3,public_facility,0,6,0,100
732434-19122012,Summer,4,public_facility,0,1,0,100
732621-19122012,Summer,3,hospital,0,18,0,100
732716-19122012,Summer,4,hospital,0,5,0,100
732764-20122012,Summer,5,public_facility,0,1,0,100
733094-20122012,Summer,3,school,0,25,0,100
733651-21122012,Summer,4,school,0,9,0,100
