incident_number,season,repeat_count,time_of_day2,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
602324-16062012,Winter,1,Office Hours,school,Week_ends,0,18,0,100
602491-16062012,Winter,1,Office Hours,public_facility,Week_ends,0,17,0,100
602600-16062012,Winter,0,Cooking-time,restaurant,Week_ends,0,12,0,100
602686-17062012,Winter,1,Night-time,school,Week_ends,0,22,0,100
602804-17062012,Winter,1,Office Hours,hotel,Week_ends,0,13,0,100
602822-17062012,Winter,1,Cooking-time,shopping_mall,Week_ends,0,34,0,100
602906-17062012,Winter,1,Office Hours,shopping_mall,Week_ends,0,17,0,100
602989-17062012,Winter,2,Cooking-time,apartment,Week_ends,0,16,0,100
603033-17062012,Winter,3,Cooking-time,apartment,Week_ends,0,3,0,100
603190-18062012,Winter,2,Cooking-time,hospital,Work_days,0,33,0,100
603236-18062012,Winter,1,Cooking-time,hotel,Work_days,0,65,0,100
603309-18062012,Winter,1,Office Hours,office,Work_days,0,35,0,100
603477-18062012,Winter,1,Office Hours,industry_facility,Work_days,0,8,0,100
603491-18062012,Winter,1,Office Hours,apartment,Work_days,0,70,0,100
603754-19062012,Winter,1,Office Hours,shopping_mall,Work_days,0,52,0,100
603785-19062012,Winter,1,Office Hours,public_facility,Work_days,0,33,0,100
603972-19062012,Winter,0,Cooking-time,restaurant,Work_days,0,29,0,100
604097-20062012,Winter,2,Night-time,hospital,Work_days,0,17,0,100
604103-20062012,Winter,1,Night-time,office,Work_days,0,43,0,100
604132-20062012,Winter,1,Cooking-time,industry_facility,Work_days,0,17,0,100
604602-20062012,Winter,1,Night-time,public_facility,Work_days,0,51,0,100
604813-21062012,Winter,1,Office Hours,rest_home,Work_days,0,39,0,100
605302-22062012,Winter,2,Cooking-time,apartment,Work_days,0,19,0,100
605730-23062012,Winter,0,Night-time,house,Week_ends,0,11,0,100
605734-23062012,Winter,1,Night-time,shopping_mall,Week_ends,0,23,0,100
606038-23062012,Winter,0,Office Hours,house,Week_ends,0,20,0,100
606039-23062012,Winter,1,Office Hours,house,Week_ends,0,2,0,100
606399-24062012,Winter,1,Night-time,hotel,Week_ends,0,21,0,100
606401-24062012,Winter,1,Night-time,apartment,Week_ends,0,31,0,100
606455-24062012,Winter,1,Night-time,hospital,Week_ends,0,20,0,100
606459-24062012,Winter,1,Night-time,office,Week_ends,0,15,0,100
606521-24062012,Winter,1,Cooking-time,industry_facility,Week_ends,0,9,0,100
606531-24062012,Winter,2,Cooking-time,hotel,Week_ends,0,5,0,100
606885-25062012,Winter,2,Night-time,industry_facility,Work_days,0,6,0,100
606917-25062012,Winter,2,Night-time,school,Work_days,0,14,0,100
607032-25062012,Winter,2,Office Hours,shopping_mall,Work_days,0,7,0,100
607197-25062012,Winter,2,Office Hours,apartment,Work_days,0,13,0,100
607437-26062012,Winter,1,Night-time,industry_facility,Work_days,0,27,0,100
608469-27062012,Winter,1,Cooking-time,rest_home,Work_days,0,54,0,100
609265-29062012,Winter,2,Office Hours,others,Work_days,0,33,0,100
609765-30062012,Winter,2,Night-time,apartment,Week_ends,0,5,0,100
