incident_number,season,repeat_count,time_of_day2,build_type,true_alarm,false_alarm,true_percentage,false_percentage
602491-16062012,Winter,1,Office Hours,public_facility,0,50,0,100
602600-16062012,Winter,0,Cooking-time,restaurant,0,41,0,100
602906-17062012,Winter,1,Office Hours,shopping_mall,0,69,0,100
602989-17062012,Winter,2,Cooking-time,apartment,0,35,0,100
603190-18062012,Winter,2,Cooking-time,hospital,0,38,0,100
603309-18062012,Winter,1,Office Hours,office,0,48,0,100
603477-18062012,Winter,1,Office Hours,industry_facility,0,12,0,100
604097-20062012,Winter,2,Night-time,hospital,0,27,0,100
604103-20062012,Winter,1,Night-time,office,0,58,0,100
604132-20062012,Winter,1,Cooking-time,industry_facility,0,26,0,100
604602-20062012,Winter,1,Night-time,public_facility,0,73,0,100
604813-21062012,Winter,1,Office Hours,rest_home,0,45,0,100
606039-23062012,Winter,1,Office Hours,house,0,9,0,100
606531-24062012,Winter,2,Cooking-time,hotel,0,15,0,100
606885-25062012,Winter,2,Night-time,industry_facility,0,6,0,100
607032-25062012,Winter,2,Office Hours,shopping_mall,0,12,0,100
607197-25062012,Winter,2,Office Hours,apartment,0,18,0,100
607437-26062012,Winter,1,Night-time,industry_facility,0,32,0,100
608469-27062012,Winter,1,Cooking-time,rest_home,0,69,0,100
609765-30062012,Winter,2,Night-time,apartment,0,28,0,100
610292-30062012,Winter,3,Night-time,apartment,0,9,0,100
610434-01072012,Winter,4,Cooking-time,apartment,0,3,0,100
610471-01072012,Winter,2,Office Hours,school,0,21,0,100
611309-02072012,Winter,2,Cooking-time,office,0,11,0,100
611562-03072012,Winter,3,Office Hours,office,0,1,0,100
611808-03072012,Winter,3,Cooking-time,shopping_mall,0,11,0,100
611828-03072012,Winter,4,Cooking-time,shopping_mall,0,2,0,100
611912-03072012,Winter,4,Night-time,apartment,0,4,0,100
611946-04072012,Winter,3,Night-time,others,0,28,0,100
612022-04072012,Winter,5,Cooking-time,apartment,0,4,0,100
612533-05072012,Winter,4,Night-time,others,0,13,0,100
612694-05072012,Winter,3,Office Hours,school,0,7,0,100
613265-06072012,Winter,3,Office Hours,hospital,0,7,0,100
615138-09072012,Winter,3,Cooking-time,office,0,1,0,100
615413-10072012,Winter,3,Office Hours,apartment,0,5,0,100
616304-12072012,Winter,2,Night-time,hotel,0,6,0,100
616364-12072012,Winter,1,Cooking-time,house,0,16,0,100
616677-12072012,Winter,2,Night-time,office,0,13,0,100
616708-13072012,Winter,1,Night-time,rest_home,0,32,0,100
616729-13072012,Winter,3,Night-time,office,0,6,0,100
616956-13072012,Winter,2,Cooking-time,industry_facility,0,2,0,100
617019-13072012,Winter,4,Office Hours,office,0,1,0,100
617472-14072012,Winter,3,Cooking-time,school,0,11,0,100
617744-14072012,Winter,2,Office Hours,public_facility,0,1,0,100
619240-17072012,Winter,2,Office Hours,rest_home,0,5,0,100
619332-17072012,Winter,4,Office Hours,apartment,0,3,0,100
619336-17072012,Winter,6,Cooking-time,apartment,0,2,0,100
619344-17072012,Winter,7,Cooking-time,apartment,0,2,0,100
619610-18072012,Winter,8,Cooking-time,apartment,0,1,0,100
622656-24072012,Winter,3,Office Hours,rest_home,0,2,0,100
622802-24072012,Winter,2,Office Hours,office,0,4,0,100
623059-25072012,Winter,2,Cooking-time,rest_home,0,7,0,100
624621-28072012,Winter,4,Night-time,office,0,3,0,100
625734-30072012,Winter,2,Cooking-time,public_facility,0,17,0,100
626426-31072012,Winter,3,Cooking-time,hospital,0,11,0,100
626544-31072012,Winter,3,Office Hours,others,0,12,0,100
626716-31072012,Winter,4,Cooking-time,others,0,9,0,100
626786-01082012,Winter,5,Night-time,others,0,5,0,100
627325-02082012,Winter,6,Night-time,others,0,2,0,100
627652-02082012,Winter,7,Office Hours,others,0,3,0,100
