incident_number,season,repeat_count,work_end,true_alarm,false_alarm,true_percentage,false_percentage
603033-17062012,Winter,3,Week_ends,0,47,0,100
610434-01072012,Winter,4,Week_ends,0,20,0,100
611828-03072012,Winter,4,Work_days,0,58,0,100
619336-17072012,Winter,6,Work_days,0,14,0,100
619344-17072012,Winter,7,Work_days,0,10,0,100
619610-18072012,Winter,8,Work_days,0,6,0,100
629467-05082012,Winter,5,Week_ends,0,4,0,100
649480-01092012,Spring,3,Week_ends,0,41,0,100
653976-06092012,Spring,4,Work_days,0,44,0,100
661790-14092012,Spring,5,Work_days,0,14,0,100
661987-15092012,Spring,6,Week_ends,0,4,0,100
662003-15092012,Spring,7,Week_ends,0,1,0,100
662162-15092012,Spring,8,Week_ends,0,1,0,100
662531-15092012,Spring,9,Week_ends,0,1,0,100
671475-28092012,Spring,6,Work_days,0,10,0,100
671480-28092012,Spring,7,Work_days,0,6,0,100
671483-28092012,Spring,8,Work_days,0,4,0,100
671487-28092012,Spring,9,Work_days,0,3,0,100
671909-28092012,Spring,10,Work_days,0,3,0,100
671932-28092012,Spring,11,Work_days,0,2,0,100
673560-30092012,Spring,5,Week_ends,0,6,0,100
718671-01122012,Summer,4,Week_ends,0,17,0,100
721415-05122012,Summer,3,Work_days,0,159,0,100
722516-05122012,Summer,5,Work_days,0,24,0,100
722592-06122012,Summer,6,Work_days,0,15,0,100
722656-06122012,Summer,7,Work_days,0,9,0,100
722684-06122012,Summer,8,Work_days,0,7,0,100
740864-30122012,Summer,5,Week_ends,0,10,0,100
027216-29012013,Summer,9,Work_days,0,2,0,100
030360-02022013,Summer,6,Week_ends,0,5,0,100
030431-02022013,Summer,7,Week_ends,0,3,0,100
030460-03022013,Summer,8,Week_ends,0,2,0,100
047193-02032013,Autumn,3,Week_ends,0,62,0,100
048662-05032013,Autumn,3,Work_days,0,134,0,100
054130-15032013,Autumn,4,Work_days,0,49,0,100
054698-16032013,Autumn,5,Week_ends,0,11,0,100
054702-16032013,Autumn,6,Week_ends,0,9,0,100
054713-16032013,Autumn,7,Week_ends,0,7,0,100
054727-16032013,Autumn,8,Week_ends,0,7,0,100
054752-16032013,Autumn,9,Week_ends,0,3,0,100
054928-16032013,Autumn,10,Week_ends,0,3,0,100
054988-16032013,Autumn,11,Week_ends,0,2,0,100
055001-16032013,Autumn,12,Week_ends,0,1,0,100
055016-16032013,Autumn,13,Week_ends,0,1,0,100
055058-16032013,Autumn,14,Week_ends,0,1,0,100
055073-16032013,Autumn,15,Week_ends,0,1,0,100
056702-19032013,Autumn,5,Work_days,0,28,0,100
057285-20032013,Autumn,6,Work_days,0,12,0,100
067362-05042013,Autumn,7,Work_days,0,7,0,100
118473-04072013,Winter,9,Work_days,0,1,0,100
209023-30102013,Spring,12,Work_days,0,1,0,100
209024-30102013,Spring,13,Work_days,0,1,0,100
209025-30102013,Spring,14,Work_days,0,1,0,100
209026-30102013,Spring,15,Work_days,0,1,0,100
209027-30102013,Spring,16,Work_days,0,1,0,100
209028-30102013,Spring,17,Work_days,0,1,0,100
209029-30102013,Spring,18,Work_days,0,1,0,100
209030-30102013,Spring,19,Work_days,0,1,0,100
209031-30102013,Spring,20,Work_days,0,1,0,100
209032-30102013,Spring,21,Work_days,0,1,0,100
209033-30102013,Spring,22,Work_days,0,1,0,100
209034-30102013,Spring,23,Work_days,0,1,0,100
209035-30102013,Spring,24,Work_days,0,1,0,100
209036-30102013,Spring,25,Work_days,0,1,0,100
209037-30102013,Spring,26,Work_days,0,1,0,100
209038-30102013,Spring,27,Work_days,0,1,0,100
209039-30102013,Spring,28,Work_days,0,1,0,100
209040-30102013,Spring,29,Work_days,0,1,0,100
209041-30102013,Spring,30,Work_days,0,1,0,100
209042-30102013,Spring,31,Work_days,0,1,0,100
209043-30102013,Spring,32,Work_days,0,1,0,100
209044-30102013,Spring,33,Work_days,0,1,0,100
209045-30102013,Spring,34,Work_days,0,1,0,100
209046-30102013,Spring,35,Work_days,0,1,0,100
209047-30102013,Spring,36,Work_days,0,1,0,100
209048-30102013,Spring,37,Work_days,0,1,0,100
209049-30102013,Spring,38,Work_days,0,1,0,100
209050-30102013,Spring,39,Work_days,0,1,0,100
209051-30102013,Spring,40,Work_days,0,1,0,100
209052-30102013,Spring,41,Work_days,0,1,0,100
209053-30102013,Spring,42,Work_days,0,1,0,100
209054-30102013,Spring,43,Work_days,0,1,0,100
209064-30102013,Spring,44,Work_days,0,1,0,100
209067-30102013,Spring,45,Work_days,0,1,0,100
035151-21022014,Summer,10,Work_days,0,1,0,100
075421-06052014,Autumn,8,Work_days,0,3,0,100
075447-07052014,Autumn,9,Work_days,0,2,0,100
075454-07052014,Autumn,10,Work_days,0,2,0,100
075565-07052014,Autumn,11,Work_days,0,1,0,100
116189-19072014,Winter,8,Week_ends,0,1,0,100
029430-22022015,Summer,9,Week_ends,0,2,0,100
