incident_number,season,repeat_count,true_alarm,false_alarm,true_percentage,false_percentage
610434-01072012,Winter,4,0,78,0,100
619336-17072012,Winter,6,0,14,0,100
619344-17072012,Winter,7,0,10,0,100
619610-18072012,Winter,8,0,7,0,100
661790-14092012,Spring,5,0,20,0,100
661987-15092012,Spring,6,0,14,0,100
662003-15092012,Spring,7,0,7,0,100
662162-15092012,Spring,8,0,5,0,100
662531-15092012,Spring,9,0,4,0,100
671909-28092012,Spring,10,0,3,0,100
671932-28092012,Spring,11,0,2,0,100
722516-05122012,Summer,5,0,34,0,100
722592-06122012,Summer,6,0,20,0,100
722656-06122012,Summer,7,0,12,0,100
722684-06122012,Summer,8,0,9,0,100
027216-29012013,Summer,9,0,4,0,100
047193-02032013,Autumn,3,0,196,0,100
054698-16032013,Autumn,5,0,39,0,100
054702-16032013,Autumn,6,0,21,0,100
054713-16032013,Autumn,7,0,14,0,100
054727-16032013,Autumn,8,0,10,0,100
054752-16032013,Autumn,9,0,5,0,100
054928-16032013,Autumn,10,0,5,0,100
054988-16032013,Autumn,11,0,3,0,100
055001-16032013,Autumn,12,0,1,0,100
055016-16032013,Autumn,13,0,1,0,100
055058-16032013,Autumn,14,0,1,0,100
055073-16032013,Autumn,15,0,1,0,100
118473-04072013,Winter,9,0,1,0,100
209023-30102013,Spring,12,0,1,0,100
209024-30102013,Spring,13,0,1,0,100
209025-30102013,Spring,14,0,1,0,100
209026-30102013,Spring,15,0,1,0,100
209027-30102013,Spring,16,0,1,0,100
209028-30102013,Spring,17,0,1,0,100
209029-30102013,Spring,18,0,1,0,100
209030-30102013,Spring,19,0,1,0,100
209031-30102013,Spring,20,0,1,0,100
209032-30102013,Spring,21,0,1,0,100
209033-30102013,Spring,22,0,1,0,100
209034-30102013,Spring,23,0,1,0,100
209035-30102013,Spring,24,0,1,0,100
209036-30102013,Spring,25,0,1,0,100
209037-30102013,Spring,26,0,1,0,100
209038-30102013,Spring,27,0,1,0,100
209039-30102013,Spring,28,0,1,0,100
209040-30102013,Spring,29,0,1,0,100
209041-30102013,Spring,30,0,1,0,100
209042-30102013,Spring,31,0,1,0,100
209043-30102013,Spring,32,0,1,0,100
209044-30102013,Spring,33,0,1,0,100
209045-30102013,Spring,34,0,1,0,100
209046-30102013,Spring,35,0,1,0,100
209047-30102013,Spring,36,0,1,0,100
209048-30102013,Spring,37,0,1,0,100
209049-30102013,Spring,38,0,1,0,100
209050-30102013,Spring,39,0,1,0,100
209051-30102013,Spring,40,0,1,0,100
209052-30102013,Spring,41,0,1,0,100
209053-30102013,Spring,42,0,1,0,100
209054-30102013,Spring,43,0,1,0,100
209064-30102013,Spring,44,0,1,0,100
209067-30102013,Spring,45,0,1,0,100
035151-21022014,Summer,10,0,1,0,100
